"anio","iso3","pais_nombre","ncm6","desc_ncm6","expo","share","ranking"
"2024","AFG","Afganistán","020230","Carne deshuesada, de bovinos, congelada","0.66300","0.00000","120"
"2024","AFG","Afganistán","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","131.37000","0.00000","68"
"2024","AFG","Afganistán","100590","Maíz (exc. para siembra)","237.38200","0.00100","90"
"2024","AFG","Afganistán","120190","La soja, incluso quebrantadas, excepto para siembra","0.27700","0.00000","116"
"2024","AFG","Afganistán","120242","Cacahuetes sin cáscara, incluso quebrantados","52.22600","0.00100","90"
"2024","AFG","Afganistán","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","0.00200","0.00000","120"
"2024","AFG","Afganistán","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","38.33000","0.00000","94"
"2024","ALB","Albania","030617","Otros gambas, congelados","2082.57400","0.01100","71"
"2024","ALB","Albania","100590","Maíz (exc. para siembra)","7.52700","0.00000","132"
"2024","ALB","Albania","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","268.90500","0.00100","77"
"2024","DZA","Argelia","020130","Carne deshuesada, de bovinos, fresca o refrigerada","13.63800","0.00000","94"
"2024","DZA","Argelia","020230","Carne deshuesada, de bovinos, congelada","108.75000","0.00000","89"
"2024","DZA","Argelia","030617","Otros gambas, congelados","415.94200","0.00200","90"
"2024","DZA","Argelia","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","3.09500","0.00000","96"
"2024","DZA","Argelia","100590","Maíz (exc. para siembra)","2.24200","0.00000","139"
"2024","DZA","Argelia","120190","La soja, incluso quebrantadas, excepto para siembra","0.05100","0.00000","127"
"2024","DZA","Argelia","120242","Cacahuetes sin cáscara, incluso quebrantados","2.54300","0.00000","123"
"2024","DZA","Argelia","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","844.62900","0.02900","57"
"2024","DZA","Argelia","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","0.00100","0.00000","126"
"2024","ASM","Samoa Americana","030617","Otros gambas, congelados","3.03900","0.00000","132"
"2024","ASM","Samoa Americana","100590","Maíz (exc. para siembra)","0.10500","0.00000","148"
"2024","ASM","Samoa Americana","120190","La soja, incluso quebrantadas, excepto para siembra","0.01300","0.00000","133"
"2024","AND","Andorra","020130","Carne deshuesada, de bovinos, fresca o refrigerada","1.52600","0.00000","109"
"2024","AND","Andorra","030617","Otros gambas, congelados","4.52000","0.00000","129"
"2024","AND","Andorra","100590","Maíz (exc. para siembra)","2.42500","0.00000","138"
"2024","AGO","Angola","020130","Carne deshuesada, de bovinos, fresca o refrigerada","0.24300","0.00000","113"
"2024","AGO","Angola","020230","Carne deshuesada, de bovinos, congelada","2.19900","0.00000","116"
"2024","AGO","Angola","030617","Otros gambas, congelados","16978.36800","0.09000","39"
"2024","AGO","Angola","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.87600","0.00000","100"
"2024","AGO","Angola","100590","Maíz (exc. para siembra)","268.72700","0.00100","86"
"2024","AGO","Angola","120190","La soja, incluso quebrantadas, excepto para siembra","1.34500","0.00000","110"
"2024","AGO","Angola","120242","Cacahuetes sin cáscara, incluso quebrantados","23.37400","0.00100","99"
"2024","AGO","Angola","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","2.79900","0.00000","86"
"2024","AGO","Angola","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","34.39400","0.00100","89"
"2024","ATG","Antigua y Barbuda","020130","Carne deshuesada, de bovinos, fresca o refrigerada","19.66300","0.00000","91"
"2024","ATG","Antigua y Barbuda","020230","Carne deshuesada, de bovinos, congelada","16.05000","0.00000","108"
"2024","ATG","Antigua y Barbuda","030617","Otros gambas, congelados","330.27800","0.00200","95"
"2024","ATG","Antigua y Barbuda","100590","Maíz (exc. para siembra)","1844.33800","0.00500","61"
