"iso3","iso3_desc_fundar","tipo_carne","valor"
"AFG","Afganistán","pescado_mariscos",0.35959464
"AFG","Afganistán","otras_carnes",0.2996622
"AFG","Afganistán","aviar",1.7080745
"AFG","Afganistán","caprina_ovina",4.035451
"AFG","Afganistán","porcina",0
"AFG","Afganistán","vacuna",3.226363
"AGO","Angola","pescado_mariscos",13.902185
"AGO","Angola","caprina_ovina",0.73738605
"AGO","Angola","otras_carnes",0.29495442
"AGO","Angola","aviar",8.268556
"AGO","Angola","porcina",6.921597
"AGO","Angola","vacuna",3.3723123
"ALB","Albania","porcina",5.2700524
"ALB","Albania","vacuna",11.694497
"ALB","Albania","otras_carnes",0
"ALB","Albania","pescado_mariscos",8.683039
"ALB","Albania","caprina_ovina",8.29155
"ALB","Albania","aviar",13.993244
"ARE","Emiratos Árabes Unidos","caprina_ovina",7.944451
"ARE","Emiratos Árabes Unidos","porcina",NA
"ARE","Emiratos Árabes Unidos","vacuna",7.145746
"ARE","Emiratos Árabes Unidos","pescado_mariscos",27.017523
"ARE","Emiratos Árabes Unidos","otras_carnes",3.0883255
"ARE","Emiratos Árabes Unidos","aviar",33.162224
"ARG","Argentina","pescado_mariscos",6.804048
"ARG","Argentina","caprina_ovina",1.4250365
"ARG","Argentina","porcina",14.471147
"ARG","Argentina","aviar",46.39397
"ARG","Argentina","vacuna",47.096455
"ARG","Argentina","otras_carnes",1.1540788
"ARM","Armenia","aviar",16.149052
"ARM","Armenia","caprina_ovina",3.7917
"ARM","Armenia","otras_carnes",0.021123677
"ARM","Armenia","pescado_mariscos",5.7878876
"ARM","Armenia","porcina",8.586775
"ARM","Armenia","vacuna",25.242794
"ATG","Antigua y Barbuda","aviar",65.26412
"ATG","Antigua y Barbuda","vacuna",5.3259583
"ATG","Antigua y Barbuda","otras_carnes",0.052836888
"ATG","Antigua y Barbuda","caprina_ovina",1.035603
"ATG","Antigua y Barbuda","porcina",15.121918
"ATG","Antigua y Barbuda","pescado_mariscos",57.116673
"AUS","Australia","pescado_mariscos",23.940237
"AUS","Australia","caprina_ovina",10.549598
"AUS","Australia","porcina",24.07931
"AUS","Australia","vacuna",36.77459
"AUS","Australia","aviar",48.40696
"AUS","Australia","otras_carnes",0.9139012
"AUT","Austria","caprina_ovina",1.051514
"AUT","Austria","porcina",45.528538
"AUT","Austria","vacuna",15.024519
"AUT","Austria","pescado_mariscos",14.448209
"AUT","Austria","otras_carnes",0.33365354
"AUT","Austria","aviar",15.833376
"AZE","Azerbaiyán","aviar",14.21562
"AZE","Azerbaiyán","caprina_ovina",8.290802
"AZE","Azerbaiyán","vacuna",13.279085
"AZE","Azerbaiyán","otras_carnes",0
"AZE","Azerbaiyán","pescado_mariscos",2.0110862
"AZE","Azerbaiyán","porcina",0.57177943
"BDI","Burundi","caprina_ovina",0.70058936
"BDI","Burundi","porcina",0.8270846
"BDI","Burundi","vacuna",0.89519745
"BDI","Burundi","aviar",0.5449028
"BDI","Burundi","pescado_mariscos",2.5299058
"BDI","Burundi","otras_carnes",0.06811285
"BEL","Bélgica","aviar",12.470023
"BEL","Bélgica","caprina_ovina",1.2830893
"BEL","Bélgica","otras_carnes",1.3532583
"BEL","Bélgica","pescado_mariscos",22.754787
"BEL","Bélgica","porcina",32.87916
"BEL","Bélgica","vacuna",14.013741
"BEN","Benin","caprina_ovina",0.76710176
"BEN","Benin","porcina",0.7095691
"BEN","Benin","aviar",8.332643
"BEN","Benin","pescado_mariscos",15.552987
"BEN","Benin","vacuna",3.490313
"BEN","Benin","otras_carnes",0.6520365
"BFA","Burkina Faso","aviar",9.207191
"BFA","Burkina Faso","caprina_ovina",3.7392075
"BFA","Burkina Faso","otras_carnes",0.3884891
"BFA","Burkina Faso","pescado_mariscos",8.663307
"BFA","Burkina Faso","porcina",14.772298
"BFA","Burkina Faso","vacuna",5.1571927
"BGD","Bangladesh","pescado_mariscos",26.27421
"BGD","Bangladesh","vacuna",1.2296056
"BGD","Bangladesh","otras_carnes",0
"BGD","Bangladesh","aviar",1.6132424
"BGD","Bangladesh","caprina_ovina",1.4165056
"BGD","Bangladesh","porcina",0
"BGR","Bulgaria","pescado_mariscos",7.327582
"BGR","Bulgaria","caprina_ovina",1.284318
"BGR","Bulgaria","porcina",29.907684
"BGR","Bulgaria","aviar",21.385387
"BGR","Bulgaria","vacuna",3.434804
"BGR","Bulgaria","otras_carnes",0.6770048
"BHR","Bahrein","caprina_ovina",24.680475
"BHR","Bahrein","porcina",0.86375904
"BHR","Bahrein","aviar",50.61628
"BHR","Bahrein","otras_carnes",0.9328598
"BHR","Bahrein","pescado_mariscos",18.74933
"BHR","Bahrein","vacuna",15.766481
"BHS","Bahamas","porcina",22.995869
