"geocodigoFundar","geonombreFundar","pescado_mariscos"
"AFG","Afganistán","0.38000"
"AGO","Angola","14.35000"
"ALB","Albania","8.61000"
"ARE","Emiratos Árabes Unidos","23.11000"
"ARG","Argentina","7.12000"
"ARM","Armenia","4.86000"
"ATG","Antigua y Barbuda","54.52000"
"AUS","Australia","24.24000"
"AUT","Austria","14.12000"
"AZE","Azerbaiyán","2.13000"
"BEL","Bélgica","23.93000"
"BFA","Burkina Faso","10.50000"
"BGD","Bangladesh","26.98000"
"BGR","Bulgaria","7.18000"
"BHR","Bahrein","19.77000"
"BHS","Bahamas","27.68000"
"BIH","Bosnia y Herzegovina","5.86000"
"BLR","Belarús","12.46000"
"BLZ","Belice","16.94000"
"BOL","Bolivia","2.13000"
"BRA","Brasil","8.19000"
"BRB","Barbados","43.16000"
"BTN","Bhután","6.26000"
"BWA","Botswana","2.22000"
"CAN","Canadá","20.81000"
"CHE","Suiza","16.46000"
"CHL","Chile","14.37000"
"CHN","China","41.68000"
"CIV","Costa de Marfil","23.70000"
"CMR","Camerún","18.11000"
"COD","Rep. Dem. Congo","3.28000"
"COG","Congo","23.18000"
"COL","Colombia","10.31000"
"COM","Comoras","16.98000"
"CPV","Cabo Verde","10.67000"
"CRI","Costa Rica","17.83000"
"CUB","Cuba","0.00000"
"CYP","Chipre","17.97000"
"CZE","Chequia","10.36000"
"DEU","Alemania","12.97000"
"DJI","Djibouti","5.31000"
"DNK","Dinamarca","28.81000"
"DOM","Rep. Dominicana","17.13000"
"DZA","Argelia","2.76000"
"ECU","Ecuador","6.45000"
"EGY","Egipto","20.49000"
"ESP","España","36.80000"
"EST","Estonia","12.70000"
"ETH","Etiopía","0.50000"
"FIN","Finlandia","31.49000"
"FJI","Fiji","27.95000"
"FRA","Francia","32.90000"
"FSM","Micronesia","49.00000"
"GAB","Gabón","27.03000"
"GBR","Reino Unido","17.69000"
"GEO","Georgia","10.34000"
"GHA","Ghana","23.61000"
"GIN","Guinea","10.65000"
"GMB","Gambia","20.18000"
"GNB","Guinea-Bissau","2.34000"
"GRC","Grecia","19.64000"
"GRD","Granada","20.32000"
"GTM","Guatemala","3.76000"
"GUY","Guyana","24.76000"
"HKG","Hong Kong","69.12000"
"HND","Honduras","4.38000"
"HRV","Croacia","19.89000"
"HTI","Haití","5.41000"
"HUN","Hungría","6.46000"
"IDN","Indonesia","40.42000"
"IND","India","8.73000"
"IRL","Irlanda","19.26000"
"IRN","Irán","11.30000"
"IRQ","Iraq","2.65000"
"ISL","Islandia","83.80000"
"ISR","Israel","24.76000"
"ITA","Italia","29.39000"
"JAM","Jamaica","27.85000"
"JOR","Jordania","4.76000"
"KAZ","Kazajstán","3.94000"
"KEN","Kenia","2.86000"
"KGZ","Kirguistán","1.45000"
"KHM","Camboya","39.41000"
"KIR","Kiribati","72.29000"
"KNA","Saint Kitts y Nevis","36.43000"
"KOR","Corea del Sur","52.82000"
"KWT","Kuwait","12.97000"
"LAO","Laos","28.52000"
"LBN","Líbano","4.74000"
"LBR","Liberia","4.74000"
"LBY","Libia","12.87000"
"LCA","Santa Lucía","24.95000"
"LKA","Sri Lanka","22.73000"
"LSO","Lesotho","1.93000"
"LTU","Lituania","28.52000"
"LUX","Luxemburgo","30.30000"
"LVA","Letonia","24.49000"
"MAC","Macao","61.12000"
"MAR","Marruecos","16.70000"
"MDA","Moldavia","19.47000"
"MDG","Madagascar","3.66000"
"MDV","Maldivas","79.74000"
"MEX","México","13.54000"
"MHL","Islas Marshall","44.56000"
"MKD","Macedonia del Norte","8.01000"
"MLT","Malta","31.09000"
"MMR","Myanmar","40.34000"
"MNE","Montenegro","11.93000"
"MNG","Mongolia","1.04000"
"MOZ","Mozambique","12.88000"
"MRT","Mauritania","7.59000"
"MUS","Mauricio","29.40000"
"MWI","Malawi","8.77000"
"MYS","Malasia","51.03000"
"NAM","Namibia","9.67000"
"NCL","Nueva Caledonia","22.50000"
"NER","Níger","1.86000"
"NGA","Nigeria","6.90000"
"NIC","Nicaragua","7.34000"
"NLD","Países Bajos","19.10000"
"NOR","Noruega","49.12000"
"NPL","Nepal","4.30000"
"NRU","Nauru","26.06000"
"NZL","Nueva Zelanda","24.60000"
"OMN","Omán","28.15000"
"PAK","Pakistán","1.36000"
