"cultivo","campania","q_total","share"
"Arroz","1992/93","608300","1.08528"
"Avena","1992/93","600200","1.07083"
"Banana","1992/93","181220","0.32332"
"Caña de azúcar","1992/93","10304400","18.38435"
"Cebada cervecera","1992/93","580100","1.03497"
"Cebada forrajera","1992/93","3100","0.00553"
"Cebolla total","1992/93","441932","0.78846"
"Centeno","1992/93","34000","0.06066"
"Colza","1992/93","30090","0.05368"
"Cártamo","1992/93","15697","0.02801"
"Girasol","1992/93","2955900","5.27370"
"Limón","1992/93","612200","1.09224"
"Lino","1992/93","176500","0.31490"
"Mandarina","1992/93","321330","0.57329"
"Maní","1992/93","233400","0.41642"
"Maíz","1992/93","10895500","19.43895"
"Mijo","1992/93","59300","0.10580"
"Naranja","1992/93","708900","1.26477"
"Papa total","1992/93","2104907","3.75542"
"Pomelo","1992/93","196540","0.35065"
"Poroto total","1992/93","164440","0.29338"
"Soja total","1992/93","11043400","19.70282"
"Sorgo","1992/93","2859700","5.10207"
"Trigo total","1992/93","9874400","17.61717"
"Tung","1992/93","47381","0.08453"
"Té","1992/93","235395","0.41997"
"Yerba mate","1992/93","221321","0.39486"
"Ajo","1993/94","88193","0.15374"
"Algodón","1993/94","705880","1.23053"
"Alpiste","1993/94","23059","0.04020"
"Arroz","1993/94","607600","1.05920"
"Avena","1993/94","436540","0.76100"
"Banana","1993/94","142190","0.24787"
"Caña de azúcar","1993/94","10853645","18.92065"
"Cebada cervecera","1993/94","455602","0.79423"
"Cebada forrajera","1993/94","3837","0.00669"
"Cebolla total","1993/94","453366","0.79033"
"Centeno","1993/94","63700","0.11105"
"Colza","1993/94","11575","0.02018"
"Cártamo","1993/94","6700","0.01168"
"Girasol","1993/94","4094900","7.13845"
"Limón","1993/94","681275","1.18763"
"Lino","1993/94","112560","0.19622"
"Mandarina","1993/94","421605","0.73496"
"Maní","1993/94","208100","0.36277"
"Maíz","1993/94","10357200","18.05522"
"Mijo","1993/94","52500","0.09152"
"Naranja","1993/94","746576","1.30147"
"Papa total","1993/94","2422577","4.22316"
"Pomelo","1993/94","228671","0.39863"
"Poroto total","1993/94","195626","0.34103"
"Soja total","1993/94","11719900","20.43075"
"Sorgo","1993/94","2148000","3.74451"
"Trigo total","1993/94","9658300","16.83686"
"Tung","1993/94","4602","0.00802"
"Té","1993/94","219324","0.38234"
"Yerba mate","1993/94","240414","0.41910"
"Ajo","1994/95","73596","0.11427"
"Algodón","1994/95","1125147","1.74690"
"Alpiste","1994/95","22717","0.03527"
"Arroz","1994/95","926200","1.43802"
"Avena","1994/95","357286","0.55472"
"Banana","1994/95","171084","0.26562"
"Caña de azúcar","1994/95","12850209","19.95123"
"Cebada cervecera","1994/95","341340","0.52996"
"Cebada forrajera","1994/95","3352","0.00520"
"Cebolla total","1994/95","455895","0.70782"
"Centeno","1994/95","54030","0.08389"
"Colza","1994/95","21316","0.03310"
"Cártamo","1994/95","7252","0.01126"
"Girasol","1994/95","5799540","9.00436"
"Limón","1994/95","755604","1.17315"
"Lino","1994/95","152182","0.23628"
"Mandarina","1994/95","387931","0.60230"
"Maní","1994/95","237817","0.36923"
"Maíz","1994/95","11402541","17.70358"
"Mijo","1994/95","65450","0.10162"
"Naranja","1994/95","760097","1.18013"
"Papa total","1994/95","2427742","3.76931"
"Pomelo","1994/95","195918","0.30418"
"Poroto total","1994/95","236285","0.36686"
"Soja total","1994/95","12133000","18.83769"
"Sorgo","1994/95","1649482","2.56099"
"Trigo total","1994/95","11306210","17.55402"
"Tung","1994/95","6741","0.01047"
"Té","1994/95","221422","0.34378"
"Yerba mate","1994/95","260718","0.40479"
"Ajo","1995/96","91571","0.14977"
"Algodón","1995/96","1346940","2.20307"
"Alpiste","1995/96","17697","0.02895"
"Arroz","1995/96","986000","1.61271"
"Avena","1995/96","260280","0.42572"
"Banana","1995/96","117350","0.19194"
"Caña de azúcar","1995/96","11814002","19.32308"
"Cebada cervecera","1995/96","384705","0.62923"
"Cebada forrajera","1995/96","1143","0.00187"
"Cebolla total","1995/96","604582","0.98886"
"Centeno","1995/96","40200","0.06575"
"Colza","1995/96","9305","0.01522"
"Cártamo","1995/96","6320","0.01034"
"Girasol","1995/96","5557800","9.09038"
"Limón","1995/96","800654","1.30956"
"Lino","1995/96","152660","0.24969"
"Mandarina","1995/96","252574","0.41311"
"Maní","1995/96","462390","0.75629"
"Maíz","1995/96","10517630","17.20272"
"Mijo","1995/96","46819","0.07658"
"Naranja","1995/96","504429","0.82505"
"Papa total","1995/96","2274945","3.72092"
"Pomelo","1995/96","166784","0.27279"
"Poroto total","1995/96","218313","0.35707"
"Soja total","1995/96","12448200","20.36038"
"Sorgo","1995/96","2131720","3.48666"
"Trigo total","1995/96","9445015","15.44834"
"Tung","1995/96","6911","0.01130"
"Té","1995/96","202425","0.33109"
"Yerba mate","1995/96","269970","0.44157"
"Ajo","1996/97","116598","0.14894"
"Algodón","1996/97","1029866","1.31550"
"Alpiste","1996/97","24976","0.03190"
"Arroz","1996/97","1205140","1.53939"
"Avena","1996/97","309500","0.39534"
"Banana","1996/97","160800","0.20540"
"Caña de azúcar","1996/97","16553272","21.14434"
"Cebada cervecera","1996/97","532700","0.68045"
"Cebada forrajera","1996/97","3743","0.00478"
"Cebolla total","1996/97","1155955","1.47656"
"Centeno","1996/97","36340","0.04642"
"Cártamo","1996/97","13300","0.01699"
"Girasol","1996/97","5450000","6.96156"
"Limón","1996/97","968763","1.23745"
"Lino","1996/97","71707","0.09160"
"Mandarina","1996/97","399829","0.51072"
"Maní","1996/97","280856","0.35875"
"Maíz","1996/97","15536120","19.84508"
"Mijo","1996/97","44224","0.05649"
"Naranja","1996/97","918461","1.17320"
"Papa total","1996/97","3011328","3.84652"
"Pomelo","1996/97","232766","0.29732"
"Poroto total","1996/97","268279","0.34269"
"Soja total","1996/97","11004890","14.05711"
"Sorgo","1996/97","2499000","3.19210"
"Trigo total","1996/97","15913600","20.32726"
"Tung","1996/97","30620","0.03911"
"Té","1996/97","232794","0.29736"
"Yerba mate","1996/97","281573","0.35967"
"Ajo","1997/98","148120","0.16510"
"Algodón","1997/98","986230","1.09926"
"Alpiste","1997/98","29493","0.03287"
"Arroz","1997/98","1011135","1.12702"
"Avena","1997/98","512100","0.57079"
"Banana","1997/98","172850","0.19266"
"Caña de azúcar","1997/98","17088781","19.04724"
"Cebada cervecera","1997/98","921200","1.02677"
"Cebada forrajera","1997/98","4590","0.00512"
"Cebolla total","1997/98","1493850","1.66505"
"Centeno","1997/98","61740","0.06882"
"Colza","1997/98","2173","0.00242"
"Cártamo","1997/98","24600","0.02742"
"Girasol","1997/98","5599880","6.24165"
"Lino","1997/98","75148","0.08376"
"Maní","1997/98","627695","0.69963"
"Maíz","1997/98","19360655","21.57948"
"Mijo","1997/98","46185","0.05148"
"Papa total","1997/98","3406761","3.79719"
"Poroto total","1997/98","303245","0.33800"
"Soja total","1997/98","18732172","20.87897"
"Sorgo","1997/98","3762335","4.19352"
"Trigo total","1997/98","14800230","16.49641"
"Tung","1997/98","14140","0.01576"
"Té","1997/98","245798","0.27397"
"Yerba mate","1997/98","286770","0.31964"
"Algodón","1998/99","617542","1.00557"
"Alpiste","1998/99","23917","0.03895"
"Arroz","1998/99","1658200","2.70012"
"Avena","1998/99","383395","0.62430"
"Cebada cervecera","1998/99","534758","0.87077"
"Cebada forrajera","1998/99","3650","0.00594"
"Centeno","1998/99","66240","0.10786"
"Colza","1998/99","2200","0.00358"
"Cártamo","1998/99","9550","0.01555"
"Girasol","1998/99","7125140","11.60217"
"Lino","1998/99","85673","0.13951"
"Maní","1998/99","340207","0.55397"
"Maíz","1998/99","13503400","21.98817"
"Mijo","1998/99","45660","0.07435"
"Poroto total","1998/99","340214","0.55399"
"Soja total","1998/99","20000000","32.56686"
"Sorgo","1998/99","3221750","5.24611"
"Trigo total","1998/99","12443000","20.26147"
"Tung","1998/99","10772","0.01754"
"Té","1998/99","293402","0.47776"
"Yerba mate","1998/99","703448","1.14545"
"Algodón","1999/00","417680","0.63373"
"Alpiste","1999/00","22217","0.03371"
"Arroz","1999/00","903410","1.37072"
"Avena","1999/00","554708","0.84164"
"Cebada cervecera","1999/00","414160","0.62839"
"Cebada forrajera","1999/00","5396","0.00819"
"Centeno","1999/00","120345","0.18260"
"Colza","1999/00","6015","0.00913"
"Cártamo","1999/00","30850","0.04681"
"Girasol","1999/00","6069655","9.20933"
"Jojoba","1999/00","908","0.00138"
"Lino","1999/00","46917","0.07119"
"Maní","1999/00","419600","0.63665"
"Maíz","1999/00","16780650","25.46084"
"Mijo","1999/00","47620","0.07225"
"Poroto total","1999/00","297157","0.45087"
"Soja total","1999/00","20131510","30.54501"
"Sorgo","1999/00","3344493","5.07451"
"Trigo total","1999/00","15302560","23.21817"
"Tung","1999/00","2051","0.00311"
"Té","1999/00","319383","0.48459"
"Yerba mate","1999/00","670399","1.01718"
"Algodón","2000/01","509405","0.73460"
"Alpiste","2000/01","19255","0.02777"
"Arroz","2000/01","873184","1.25919"
"Avena","2000/01","644150","0.92891"
"Cebada cervecera","2000/01","717300","1.03440"
"Cebada forrajera","2000/01","5190","0.00748"
"Centeno","2000/01","129750","0.18711"
"Colza","2000/01","15380","0.02218"
"Cártamo","2000/01","43680","0.06299"
"Girasol","2000/01","3179043","4.58441"
"Jojoba","2000/01","765","0.00110"
"Lino","2000/01","22300","0.03216"
"Maní","2000/01","394800","0.56933"
"Maíz","2000/01","15359397","22.14936"
"Mijo","2000/01","31210","0.04501"
"Poroto total","2000/01","262985","0.37924"
"Soja total","2000/01","27266252","39.31990"
"Sorgo","2000/01","2908775","4.19466"
"Trigo total","2000/01","15959352","23.01454"
"Tung","2000/01","12010","0.01732"
"Té","2000/01","305880","0.44110"
"Yerba mate","2000/01","684597","0.98724"
"Algodón","2001/02","218159","0.30930"
"Alpiste","2001/02","16660","0.02362"
"Arroz","2001/02","709297","1.00561"
"Avena","2001/02","644760","0.91411"
"Cebada cervecera","2001/02","521150","0.73886"
"Cebada forrajera","2001/02","8895","0.01261"
"Centeno","2001/02","86530","0.12268"
"Colza","2001/02","2320","0.00329"
"Cártamo","2001/02","23500","0.03332"
"Girasol","2001/02","3843579","5.44925"
"Jojoba","2001/02","895","0.00127"
"Lino","2001/02","15500","0.02198"
"Maní","2001/02","361900","0.51308"
"Maíz","2001/02","14712080","20.85810"
"Mijo","2001/02","28070","0.03980"
"Poroto total","2001/02","278100","0.39428"
"Soja total","2001/02","29962194","42.47900"
"Sorgo","2001/02","2804725","3.97641"
"Trigo total","2001/02","15291660","21.67980"
"Tung","2001/02","5720","0.00811"
"Té","2001/02","303041","0.42964"
"Yerba mate","2001/02","695400","0.98591"
"Algodón","2002/03","201505","0.27947"
"Alpiste","2002/03","18216","0.02526"
"Arroz","2002/03","717632","0.99531"
"Avena","2002/03","487510","0.67614"
"Cebada cervecera","2002/03","543420","0.75369"
"Cebada forrajera","2002/03","6410","0.00889"
"Centeno","2002/03","79150","0.10978"
"Colza","2002/03","10450","0.01449"
"Cártamo","2002/03","13300","0.01845"
"Girasol","2002/03","3714000","5.15106"
"Jojoba","2002/03","2242","0.00311"
"Lino","2002/03","11250","0.01560"
"Maní","2002/03","220900","0.30637"
"Maíz","2002/03","15002219","20.80703"
"Mijo","2002/03","21850","0.03030"
"Poroto total","2002/03","215552","0.29896"
"Soja total","2002/03","34785121","48.24454"
"Sorgo","2002/03","2663550","3.69416"
"Trigo total","2002/03","12301442","17.06124"
"Tung","2002/03","9861","0.01368"
"Té","2002/03","300502","0.41678"
"Yerba mate","2002/03","775591","1.07569"
"Algodón","2003/04","353802","0.39999"
"Alpiste","2003/04","17456","0.01973"
"Arroz","2003/04","1060083","1.19847"
"Avena","2003/04","331993","0.37533"
"Caña de azúcar","2003/04","17823478","20.15026"
"Cebada cervecera","2003/04","1001730","1.13250"
"Cebada forrajera","2003/04","3730","0.00422"
"Centeno","2003/04","36670","0.04146"
"Colza","2003/04","20285","0.02293"
"Cártamo","2003/04","18000","0.02035"
"Girasol","2003/04","3176472","3.59115"
"Jojoba","2003/04","1821","0.00206"
"Lino","2003/04","29280","0.03310"
"Maní","2003/04","292950","0.33119"
"Maíz","2003/04","14818788","16.75332"
"Mijo","2003/04","11375","0.01286"
"Poroto total","2003/04","151278","0.17103"
"Soja total","2003/04","31560148","35.68020"
"Sorgo","2003/04","2121733","2.39872"
"Trigo total","2003/04","14562955","16.46409"
"Tung","2003/04","6861","0.00776"
"Té","2003/04","302752","0.34228"
"Yerba mate","2003/04","749200","0.84701"
"Algodón","2004/05","448315","0.42767"
"Alpiste","2004/05","16502","0.01574"
"Arroz","2004/05","956255","0.91222"
"Avena","2004/05","536091","0.51141"
"Caña de azúcar","2004/05","18799055","17.93341"
"Cebada cervecera","2004/05","886260","0.84545"
"Cebada forrajera","2004/05","8350","0.00797"
"Centeno","2004/05","91870","0.08764"
"Colza","2004/05","26050","0.02485"
"Cártamo","2004/05","50760","0.04842"
"Girasol","2004/05","3662108","3.49348"
"Jojoba","2004/05","2348","0.00224"
"Lino","2004/05","36100","0.03444"
"Maní","2004/05","444800","0.42432"
"Maíz","2004/05","20482572","19.53941"
"Mijo","2004/05","16276","0.01553"
"Poroto total","2004/05","169257","0.16146"
"Soja total","2004/05","38287103","36.52410"
"Sorgo","2004/05","2894250","2.76098"
"Trigo total","2004/05","15925025","15.19173"
"Tung","2004/05","12901","0.01231"
"Té","2004/05","291920","0.27848"
"Yerba mate","2004/05","782801","0.74676"
"Algodón","2005/06","417771","0.53443"
"Alpiste","2005/06","14704","0.01881"
"Arroz","2005/06","1193492","1.52675"
"Avena","2005/06","226910","0.29027"
"Cebada cervecera","2005/06","796190","1.01851"
"Cebada forrajera","2005/06","3233","0.00414"
"Centeno","2005/06","33070","0.04230"
"Colza","2005/06","9140","0.01169"
"Cártamo","2005/06","17800","0.02277"
"Girasol","2005/06","3759737","4.80958"
"Jojoba","2005/06","1535","0.00196"
"Lino","2005/06","53780","0.06880"
"Maní","2005/06","347323","0.44431"
"Maíz","2005/06","14445538","18.47919"
"Mijo","2005/06","15518","0.01985"
"Poroto total","2005/06","322775","0.41290"
"Soja total","2005/06","40489266","51.79516"
"Sorgo","2005/06","2327865","2.97788"
"Trigo total","2005/06","12593396","16.10987"
"Té","2005/06","314971","0.40292"
"Yerba mate","2005/06","787900","1.00791"
"Algodón","2006/07","545382","0.57133"
"Alpiste","2006/07","8930","0.00935"
"Arroz","2006/07","1080071","1.13145"
"Avena","2006/07","242960","0.25452"
"Cebada cervecera","2006/07","1265660","1.32587"
"Cebada forrajera","2006/07","2805","0.00294"
"Centeno","2006/07","17483","0.01831"
"Colza","2006/07","11230","0.01176"
"Cártamo","2006/07","58000","0.06076"
"Girasol","2006/07","3497733","3.66413"
"Jojoba","2006/07","1724","0.00181"
"Lino","2006/07","34065","0.03569"
"Maní","2006/07","600035","0.62858"
"Maíz","2006/07","21755365","22.79031"
"Mijo","2006/07","14484","0.01517"
"Poroto total","2006/07","327689","0.34328"
"Soja total","2006/07","47431082","49.68746"
"Sorgo","2006/07","2794967","2.92793"
"Trigo total","2006/07","14547960","15.24003"
"Té","2006/07","404630","0.42388"
"Yerba mate","2006/07","816600","0.85545"
"Algodón","2007/08","489633","0.49945"
"Alpiste","2007/08","9050","0.00923"
"Arroz","2007/08","1255015","1.28018"
"Avena","2007/08","472420","0.48189"
"Cebada cervecera","2007/08","1474510","1.50407"
"Cebada forrajera","2007/08","7180","0.00732"
"Centeno","2007/08","77180","0.07873"
"Colza","2007/08","20411","0.02082"
"Cártamo","2007/08","33480","0.03415"
"Girasol","2007/08","4650365","4.74361"
"Jojoba","2007/08","1618","0.00165"
"Lino","2007/08","9564","0.00976"
"Maní","2007/08","625349","0.63789"
"Maíz","2007/08","22026803","22.46844"
"Mijo","2007/08","14824","0.01512"
"Poroto total","2007/08","336779","0.34353"
"Soja total","2007/08","46150651","47.07598"
"Sorgo","2007/08","2940788","2.99975"
"Trigo total","2007/08","16354091","16.68199"
"Tung","2007/08","5470","0.00558"
"Té","2007/08","349021","0.35602"
"Yerba mate","2007/08","730190","0.74483"
"Algodón","2008/09","386676","0.62018"
"Alpiste","2008/09","10023","0.01608"
"Arroz","2008/09","1338865","2.14738"
"Avena","2008/09","290525","0.46597"
"Cebada cervecera","2008/09","1681880","2.69753"
"Cebada forrajera","2008/09","8205","0.01316"
"Centeno","2008/09","33859","0.05431"
"Colza","2008/09","61167","0.09810"
"Cártamo","2008/09","86991","0.13952"
"Girasol","2008/09","2483438","3.98314"
"Lino","2008/09","19505","0.03128"
"Maní","2008/09","605491","0.97113"
"Maíz","2008/09","13134436","21.06605"
"Mijo","2008/09","5880","0.00943"
"Poroto total","2008/09","312998","0.50201"
"Soja total","2008/09","30945404","49.63270"
"Sorgo","2008/09","1475870","2.36712"
"Trigo total","2008/09","8376452","13.43482"
"Tung","2008/09","6812","0.01093"
"Té","2008/09","342657","0.54958"
"Yerba mate","2008/09","741686","1.18958"
"Algodón","2009/10","753503","0.77940"
"Alpiste","2009/10","9765","0.01010"
"Arroz","2009/10","1243259","1.28599"
"Avena","2009/10","181990","0.18825"
"Cebada cervecera","2009/10","1355801","1.40240"
"Cebada forrajera","2009/10","9648","0.00998"
"Centeno","2009/10","25135","0.02600"
"Colza","2009/10","17215","0.01781"
"Cártamo","2009/10","43850","0.04536"
"Girasol","2009/10","2223937","2.30037"
"Lino","2009/10","52075","0.05386"
"Maní","2009/10","611040","0.63204"
"Maíz","2009/10","22663096","23.44203"
"Mijo","2009/10","9115","0.00943"
"Poroto total","2009/10","338120","0.34974"
"Soja total","2009/10","53247361","55.07749"
"Sorgo","2009/10","3637427","3.76245"
"Trigo total","2009/10","9023139","9.33327"
"Tung","2009/10","3443","0.00356"
"Té","2009/10","423800","0.43837"
"Yerba mate","2009/10","804458","0.83211"
"Algodón","2010/11","1032545","0.97879"
"Alpiste","2010/11","27421","0.02599"
"Arroz","2010/11","1748076","1.65706"
"Avena","2010/11","660200","0.62583"
"Cebada cervecera","2010/11","2964075","2.80975"
"Cebada forrajera","2010/11","18978","0.01799"
"Centeno","2010/11","44460","0.04215"
"Colza","2010/11","23336","0.02212"
"Cártamo","2010/11","56086","0.05317"
"Girasol","2010/11","3671748","3.48058"
"Lino","2010/11","32170","0.03050"
"Maní","2010/11","701535","0.66501"
"Maíz","2010/11","23799830","22.56071"
"Mijo","2010/11","7990","0.00757"
"Poroto total","2010/11","332782","0.31546"
"Soja total","2010/11","48846100","46.30296"
"Sorgo","2010/11","4458442","4.22632"
"Trigo total","2010/11","15875653","15.04910"
"Té","2010/11","415364","0.39374"
"Yerba mate","2010/11","775600","0.73522"
"Algodón","2011/12","708650","0.76532"
"Alpiste","2011/12","23280","0.02514"
"Arroz","2011/12","1567971","1.69336"
"Avena","2011/12","414990","0.44818"
"Cebada cervecera","2011/12","4085772","4.41250"
"Cebada forrajera","2011/12","16459","0.01778"
"Centeno","2011/12","43110","0.04656"
"Colza","2011/12","50620","0.05467"
"Cártamo","2011/12","108250","0.11691"
"Girasol","2011/12","3340520","3.60766"
"Lino","2011/12","21390","0.02310"
"Maní","2011/12","685722","0.74056"
"Maíz","2011/12","21196637","22.89170"
"Mijo","2011/12","17414","0.01881"
"Poroto total","2011/12","361153","0.39003"
"Soja total","2011/12","40097644","43.30418"
"Sorgo","2011/12","4252310","4.59236"
"Trigo total","2011/12","14500519","15.66010"
"Té","2011/12","384711","0.41548"
"Yerba mate","2011/12","718190","0.77562"
"Algodón","2012/13","543008","0.51148"
"Alpiste","2012/13","18204","0.01715"
"Arroz","2012/13","1563450","1.47267"
"Avena","2012/13","495940","0.46714"
"Cebada cervecera","2012/13","5158190","4.85867"
"Cebada forrajera","2012/13","14750","0.01389"
"Centeno","2012/13","39700","0.03739"
"Colza","2012/13","128320","0.12087"
"Cártamo","2012/13","49770","0.04688"
"Girasol","2012/13","3104420","2.92416"
"Lino","2012/13","17070","0.01608"
"Maní","2012/13","1025857","0.96629"
"Maíz","2012/13","32045751","30.18498"
"Mijo","2012/13","11192","0.01054"
"Poroto total","2012/13","95741","0.09018"
"Soja total","2012/13","49117029","46.26500"
"Sorgo","2012/13","3635837","3.42472"
"Trigo total","2012/13","8024996","7.55902"
"Té","2012/13","382566","0.36035"
"Yerba mate","2012/13","692770","0.65254"
"Algodón","2013/14","1019654","0.91004"
"Alpiste","2013/14","52970","0.04728"
"Arroz","2013/14","1581810","1.41176"
"Avena","2013/14","444820","0.39700"
"Cebada cervecera","2013/14","4705160","4.19934"
"Cebada forrajera","2013/14","24790","0.02212"
"Centeno","2013/14","52130","0.04653"
"Colza","2013/14","111900","0.09987"
"Cártamo","2013/14","3090","0.00276"
"Girasol","2013/14","2063410","1.84159"
"Lino","2013/14","20430","0.01823"
"Maní","2013/14","1165924","1.04058"
"Maíz","2013/14","33087165","29.53018"
"Mijo","2013/14","2670","0.00238"
"Poroto total","2013/14","429832","0.38362"
"Soja total","2013/14","53398720","47.65817"
"Sorgo","2013/14","3466410","3.09376"
"Trigo total","2013/14","9188339","8.20056"
"Té","2013/14","376212","0.33577"
"Yerba mate","2013/14","849825","0.75847"
"Algodón","2014/15","795345","0.63993"
"Alpiste","2014/15","31657","0.02547"
"Arroz","2014/15","1558100","1.25365"
"Avena","2014/15","524716","0.42219"
"Cebada cervecera","2014/15","2901495","2.33454"
"Cebada forrajera","2014/15","23308","0.01875"
"Centeno","2014/15","97398","0.07837"
"Colza","2014/15","104849","0.08436"
"Cártamo","2014/15","28680","0.02308"
"Girasol","2014/15","3158290","2.54116"
"Lino","2014/15","17255","0.01388"
"Maní","2014/15","1010777","0.81327"
"Maíz","2014/15","33817449","27.20951"
"Mijo","2014/15","4640","0.00373"
"Poroto total","2014/15","604817","0.48664"
"Soja total","2014/15","61398276","49.40103"
"Sorgo","2014/15","3098148","2.49277"
"Trigo total","2014/15","13930078","11.20814"
"Té","2014/15","371044","0.29854"
"Yerba mate","2014/15","809100","0.65100"
"Algodón","2015/16","673145","0.53166"
"Alpiste","2015/16","29479","0.02328"
"Arroz","2015/16","1404980","1.10968"
"Avena","2015/16","553435","0.43712"
"Cebada cervecera","2015/16","4938723","3.90071"
"Cebada forrajera","2015/16","14510","0.01146"
"Centeno","2015/16","60676","0.04792"
"Colza","2015/16","67382","0.05322"
"Cártamo","2015/16","51550","0.04072"
"Girasol","2015/16","3000367","2.36976"
"Lino","2015/16","20085","0.01586"
"Maní","2015/16","1001113","0.79070"
"Maíz","2015/16","39792854","31.42926"
"Mijo","2015/16","6867","0.00542"
"Poroto total","2015/16","366588","0.28954"
"Soja total","2015/16","59095247","46.67471"
"Sorgo","2015/16","3029330","2.39263"
"Trigo total","2015/16","11314952","8.93680"
"Té","2015/16","382618","0.30220"
"Yerba mate","2015/16","806936","0.63734"
"Algodón","2016/17","616160","0.44736"
"Alpiste","2016/17","44354","0.03220"
"Arroz","2016/17","1328340","0.96443"
"Avena","2016/17","784981","0.56993"
"Cebada total","2016/17","3308384","2.40203"
"Centeno","2016/17","78810","0.05722"
"Colza","2016/17","49840","0.03619"
"Cártamo","2016/17","17584","0.01277"
"Girasol","2016/17","3546707","2.57506"
"Lino","2016/17","16610","0.01206"
"Maní","2016/17","1081032","0.78488"
"Maíz","2016/17","49490326","35.93210"
"Mijo","2016/17","5328","0.00387"
"Poroto total","2016/17","413605","0.30029"
"Soja total","2016/17","54972546","39.91243"
"Sorgo","2016/17","2526931","1.83466"
"Trigo total","2016/17","18395106","13.35564"
"Té","2016/17","366159","0.26585"
"Yerba mate","2016/17","690100","0.50104"
"Algodón","2017/18","813692","0.71350"
"Alpiste","2017/18","22278","0.01953"
"Arroz","2017/18","1367968","1.19952"
"Avena","2017/18","491713","0.43117"
"Cebada total","2017/18","3741158","3.28048"
"Centeno","2017/18","86098","0.07550"
"Colza","2017/18","35449","0.03108"
"Cártamo","2017/18","27839","0.02441"
"Girasol","2017/18","3537545","3.10194"
"Lino","2017/18","13575","0.01190"
"Maní","2017/18","921231","0.80779"
"Maíz","2017/18","43462323","38.11052"
"Mijo","2017/18","2254","0.00198"
"Poroto total","2017/18","473389","0.41510"
"Soja total","2017/18","37785927","33.13310"
"Sorgo","2017/18","1563445","1.37093"
"Trigo total","2017/18","18518045","16.23780"
"Té","2017/18","369613","0.32410"
"Yerba mate","2017/18","809302","0.70965"
"Algodón","2018/19","872721","0.59097"
"Alpiste","2018/19","41137","0.02786"
"Arroz","2018/19","1189866","0.80573"
"Arveja","2018/19","136243","0.09226"
"Avena","2018/19","571630","0.38708"
"Cebada total","2018/19","4636957","3.13995"
"Centeno","2018/19","86566","0.05862"
"Colza","2018/19","39689","0.02688"
"Cártamo","2018/19","24327","0.01647"
"Garbanzo","2018/19","189860","0.12857"
"Girasol","2018/19","3530157","2.39048"
"Lenteja","2018/19","19252","0.01304"
"Lino","2018/19","19515","0.01321"
"Maní","2018/19","1337229","0.90552"
"Maíz","2018/19","56860704","38.50371"
"Mijo","2018/19","4140","0.00280"
"Poroto total","2018/19","578713","0.39188"
"Soja total","2018/19","55263891","37.42241"
"Sorgo","2018/19","1601435","1.08443"
"Trigo total","2018/19","19459727","13.17732"
"Té","2018/19","375115","0.25401"
"Yerba mate","2018/19","837054","0.56682"
"Algodón","2019/20","1046044","0.73712"
"Alpiste","2019/20","20544","0.01448"
"Arroz","2019/20","1222910","0.86175"
"Arveja","2019/20","195676","0.13789"
"Avena","2019/20","600105","0.42288"
"Cebada total","2019/20","3612804","2.54585"
"Centeno","2019/20","221201","0.15587"
"Colza","2019/20","32514","0.02291"
"Cártamo","2019/20","22565","0.01590"
"Garbanzo","2019/20","177061","0.12477"
"Girasol","2019/20","2857413","2.01354"
"Lenteja","2019/20","34476","0.02429"
"Lino","2019/20","9950","0.00701"
"Maní","2019/20","1285431","0.90581"
"Maíz","2019/20","58395811","41.14997"
"Mijo","2019/20","5442","0.00383"
"Poroto total","2019/20","633823","0.44664"
"Soja total","2019/20","48780412","34.37426"
"Sorgo","2019/20","1829914","1.28949"
"Trigo total","2019/20","19776942","13.93628"
"Té","2019/20","335225","0.23622"
"Yerba mate","2019/20","813454","0.57322"
"Algodón","2020/21","1040334","0.73846"
"Alpiste","2020/21","44328","0.03147"
"Arroz","2020/21","1453187","1.03152"
"Arveja","2020/21","193999","0.13771"
"Avena","2020/21","506718","0.35968"
"Cebada total","2020/21","4036130","2.86496"
"Centeno","2020/21","135945","0.09650"
"Colza","2020/21","17865","0.01268"
"Cártamo","2020/21","4344","0.00308"
"Garbanzo","2020/21","84708","0.06013"
"Girasol","2020/21","3247366","2.30508"
"Lenteja","2020/21","20207","0.01434"
"Lino","2020/21","19515","0.01385"
"Maní","2020/21","1267242","0.89953"
"Maíz","2020/21","60525805","42.96301"
"Mijo","2020/21","9508","0.00675"
"Poroto total","2020/21","758752","0.53858"
"Soja total","2020/21","46217911","32.80684"
"Sorgo","2020/21","3314616","2.35281"
"Trigo total","2020/21","17644277","12.52443"
"Té","2020/21","336130","0.23860"
"Algodón","2021/22","1115510","0.77728"
"Alpiste","2021/22","36114","0.02516"
"Arroz","2021/22","1222426","0.85178"
"Arveja","2021/22","296957","0.20692"
"Avena","2021/22","723154","0.50389"
"Cebada total","2021/22","5279608","3.67880"
"Centeno","2021/22","225510","0.15713"
"Colza","2021/22","52916","0.03687"
"Cártamo","2021/22","2794","0.00195"
"Garbanzo","2021/22","102099","0.07114"
"Girasol","2021/22","4050362","2.82227"
"Lenteja","2021/22","72318","0.05039"
"Lino","2021/22","12358","0.00861"
"Maní","2021/22","1346167","0.93800"
"Maíz","2021/22","59037179","41.13676"
"Mijo","2021/22","9480","0.00661"
"Poroto total","2021/22","679744","0.47364"
"Soja total","2021/22","43861066","30.56214"
