"ano","variable","valor"
"1992","AmericaLatina","3.53901"
"1992","Argentina","6.18233"
"1993","AmericaLatina","3.90049"
"1993","Argentina","6.20766"
"1994","AmericaLatina","4.13837"
"1994","Argentina","6.98653"
"1995","AmericaLatina","4.21220"
"1995","Argentina","6.79535"
"1996","AmericaLatina","4.18943"
"1996","Argentina","6.70406"
"1997","AmericaLatina","4.24130"
"1997","Argentina","6.56514"
"1998","AmericaLatina","4.37529"
"1998","Argentina","6.87656"
"1999","AmericaLatina","4.25163"
"1999","Argentina","6.64787"
"2000","AmericaLatina","4.21815"
"2000","Argentina","6.61636"
"2001","AmericaLatina","4.17271"
"2001","Argentina","6.60600"
"2002","AmericaLatina","4.03827"
"2002","Argentina","4.66270"
"2003","AmericaLatina","3.91917"
"2003","Argentina","4.56530"
"2004","AmericaLatina","3.77259"
"2004","Argentina","4.53235"
"2005","AmericaLatina","3.89344"
"2005","Argentina","5.00627"
"2006","AmericaLatina","4.01240"
"2006","Argentina","5.54121"
"2007","AmericaLatina","4.11442"
"2007","Argentina","5.44011"
"2008","AmericaLatina","4.17923"
"2008","Argentina","5.53972"
"2009","AmericaLatina","4.28691"
"2009","Argentina","5.73683"
"2010","AmericaLatina","4.40338"
"2010","Argentina","5.89469"
"2011","AmericaLatina","4.54845"
"2011","Argentina","6.22898"
"2012","AmericaLatina","4.66771"
"2012","Argentina","6.18964"
"2013","AmericaLatina","4.76167"
"2013","Argentina","6.22786"
"2014","AmericaLatina","4.81158"
"2014","Argentina","5.89618"
"2015","AmericaLatina","4.79310"
"2015","Argentina","5.93549"
"2016","AmericaLatina","4.89810"
"2016","Argentina","5.99079"
"2017","AmericaLatina","4.93782"
"2017","Argentina","6.13277"
"2018","AmericaLatina","4.96447"
"2018","Argentina","5.49695"
"2019","AmericaLatina","4.93746"
"2019","Argentina","5.19552"
"2020","AmericaLatina","4.96667"
"2020","Argentina","5.40933"
"2021","AmericaLatina","4.95782"
"2021","Argentina","5.26603"
"2022","AmericaLatina","4.91471"
"2022","Argentina","4.66445"
"2023","AmericaLatina","4.95153"
"2023","Argentina","4.51729"
"2024","AmericaLatina","4.95740"
"2024","Argentina","4.74540"
