country_code,year,ipcf_promedio,geocodigoFundar,geonombreFundar
ARG,2022,695.30576,ARG,Argentina
BOL,2021,594.3109,BOL,Bolivia
BRA,2022,648.7573104,BRA,Brasil
CHL,2022,865.2939872,CHL,Chile
COL,2022,525.8253952,COL,Colombia
CRI,2022,744.1133856,CRI,Costa Rica
DOM,2022,447.6119104,DOM,Rep. Dominicana
ECU,2022,461.552712,ECU,Ecuador
MEX,2022,502.3775104,MEX,México
PAN,2023,916.528688,PAN,Panamá
PER,2022,378.4175888,PER,Perú
PRY,2022,563.293,PRY,Paraguay
SLV,2022,398.5512048,SLV,El Salvador
URY,2022,845.4450064,URY,Uruguay
