"year","semestre","genero","proporcion"
"2003","2","Mujer","0.72766322"
"2004","1","Mujer","0.74644262"
"2004","2","Mujer","0.7197805"
"2005","1","Mujer","0.72434783"
"2005","2","Mujer","0.73831457"
"2006","1","Mujer","0.7470392"
"2006","2","Mujer","0.75646955"
"2007","1","Mujer","0.74749476"
"2007","2","Mujer","0.77975076"
"2008","1","Mujer","0.7775718"
"2008","2","Mujer","0.76309866"
"2009","1","Mujer","0.77234596"
"2009","2","Mujer","0.77611619"
"2010","1","Mujer","0.77503145"
"2010","2","Mujer","0.77255678"
"2011","1","Mujer","0.7658605"
"2011","2","Mujer","0.76927561"
"2012","1","Mujer","0.77584785"
"2012","2","Mujer","0.77059293"
"2013","1","Mujer","0.7624352"
"2013","2","Mujer","0.76167959"
"2014","1","Mujer","0.74713063"
"2014","2","Mujer","0.74238044"
"2015","1","Mujer","0.74621111"
"2015","2","Mujer",
"2016","1","Mujer",
"2016","2","Mujer","0.73943329"
"2017","1","Mujer","0.72331673"
"2017","2","Mujer","0.73838431"
"2018","1","Mujer","0.73626482"
"2018","2","Mujer","0.74373871"
"2019","1","Mujer","0.7204172"
"2019","2","Mujer","0.72357339"
"2020","1","Mujer","0.68810964"
"2020","2","Mujer","0.68151391"
"2021","1","Mujer","0.74813902"
"2021","2","Mujer","0.7586838"
"2022","1","Mujer","0.74144071"
"2022","2","Mujer","0.75803626"
"2023","1","Mujer","0.75862443"
"2003","2","Varon","0.85660434"
"2004","1","Varon","0.89449143"
"2004","2","Varon","0.86696738"
"2005","1","Varon","0.88237625"
"2005","2","Varon","0.88993311"
"2006","1","Varon","0.88888621"
"2006","2","Varon","0.89181018"
"2007","1","Varon","0.88662308"
"2007","2","Varon","0.86463976"
"2008","1","Varon","0.8786273"
"2008","2","Varon","0.86937326"
"2009","1","Varon","0.87604737"
"2009","2","Varon","0.87246507"
"2010","1","Varon","0.87286013"
"2010","2","Varon","0.87520754"
"2011","1","Varon","0.86900902"
"2011","2","Varon","0.86808479"
"2012","1","Varon","0.86798185"
"2012","2","Varon","0.86852425"
"2013","1","Varon","0.86309099"
"2013","2","Varon","0.86213219"
"2014","1","Varon","0.85399365"
"2014","2","Varon","0.8518061"
"2015","1","Varon","0.84091979"
"2015","2","Varon",
"2016","1","Varon",
"2016","2","Varon","0.81545228"
"2017","1","Varon","0.8231228"
"2017","2","Varon","0.81594908"
"2018","1","Varon","0.81201774"
"2018","2","Varon","0.79506475"
"2019","1","Varon","0.80404413"
"2019","2","Varon","0.78427345"
"2020","1","Varon","0.77475202"
"2020","2","Varon","0.76659673"
"2021","1","Varon","0.82364863"
"2021","2","Varon","0.82907414"
"2022","1","Varon","0.8255378"
"2022","2","Varon","0.8293041"
"2023","1","Varon","0.82449651"
