"edad","variable","valor"
"25","hombres1","848068.62500"
"25","hombres2","863437.18750"
"25","mujeres1","601547.00000"
"25","mujeres2","671476.43750"
"26","hombres1","949109.31250"
"26","hombres2","901799.50000"
"26","mujeres1","744639.50000"
"26","mujeres2","702021.25000"
"27","hombres1","948014.75000"
"27","hombres2","938703.00000"
"27","mujeres1","707411.62500"
"27","mujeres2","731152.62500"
"28","hombres1","989881.12500"
"28","hombres2","974147.75000"
"28","mujeres1","814437.12500"
"28","mujeres2","758870.37500"
"29","hombres1","982955.18750"
"29","hombres2","1008133.68750"
"29","mujeres1","769525.62500"
"29","mujeres2","785174.68750"
"30","hombres1","1042834.75000"
"30","hombres2","1040660.81250"
"30","mujeres1","852021.62500"
"30","mujeres2","810065.43750"
"31","hombres1","947259.18750"
"31","hombres2","1071729.25000"
"31","mujeres1","843401.68750"
"31","mujeres2","833542.62500"
"32","hombres1","1055630.25000"
"32","hombres2","1101338.75000"
"32","mujeres1","730051.25000"
"32","mujeres2","855606.37500"
"33","hombres1","1026839.68750"
"33","hombres2","1129489.62500"
"33","mujeres1","816099.43750"
"33","mujeres2","876256.50000"
"34","hombres1","1280897.75000"
"34","hombres2","1156181.62500"
"34","mujeres1","867632.56250"
"34","mujeres2","895493.18750"
"35","hombres1","1215060.75000"
"35","hombres2","1181414.87500"
"35","mujeres1","883172.68750"
"35","mujeres2","913316.31250"
"36","hombres1","1242922.00000"
"36","hombres2","1205189.25000"
"36","mujeres1","970857.62500"
"36","mujeres2","929725.93750"
"37","hombres1","1141541.00000"
"37","hombres2","1227505.00000"
"37","mujeres1","1027417.43750"
"37","mujeres2","944722.00000"
"38","hombres1","1251183.37500"
"38","hombres2","1248361.87500"
"38","mujeres1","1079741.00000"
"38","mujeres2","958304.56250"
"39","hombres1","1536107.25000"
"39","hombres2","1267760.00000"
"39","mujeres1","855109.43750"
"39","mujeres2","970473.62500"
"40","hombres1","1351710.00000"
"40","hombres2","1285699.25000"
"40","mujeres1","1051828.87500"
"40","mujeres2","981229.12500"
"41","hombres1","1227988.25000"
"41","hombres2","1302179.75000"
"41","mujeres1","915033.43750"
"41","mujeres2","990571.12500"
"42","hombres1","1236721.50000"
"42","hombres2","1317201.50000"
"42","mujeres1","1158914.50000"
"42","mujeres2","998499.56250"
"43","hombres1","1255778.00000"
"43","hombres2","1330764.50000"
"43","mujeres1","971577.12500"
"43","mujeres2","1005014.50000"
"44","hombres1","1310883.37500"
"44","hombres2","1342868.62500"
"44","mujeres1","985545.56250"
"44","mujeres2","1010115.93750"
"45","hombres1","1413343.87500"
"45","hombres2","1353514.00000"
"45","mujeres1","960330.12500"
"45","mujeres2","1013803.87500"
"46","hombres1","1376213.87500"
"46","hombres2","1362700.62500"
"46","mujeres1","1166477.12500"
"46","mujeres2","1016078.25000"
"47","hombres1","1320881.37500"
"47","hombres2","1370428.50000"
"47","mujeres1","1315621.00000"
"47","mujeres2","1016939.06250"
"48","hombres1","1240014.50000"
"48","hombres2","1376697.50000"
"48","mujeres1","903477.56250"
"48","mujeres2","1016386.37500"
"49","hombres1","1484727.50000"
"49","hombres2","1381507.75000"
"49","mujeres1","875120.18750"
"49","mujeres2","1014420.18750"
"50","hombres1","1427874.87500"
"50","hombres2","1384859.25000"
"50","mujeres1","925295.62500"
"50","mujeres2","1011040.50000"
"51","hombres1","1261287.37500"
"51","hombres2","1386751.87500"
"51","mujeres1","1115247.25000"
"51","mujeres2","1006247.25000"
"52","hombres1","1290452.87500"
"52","hombres2","1387185.87500"
"52","mujeres1","984891.12500"
"52","mujeres2","1000040.50000"
"53","hombres1","1346670.25000"
"53","hombres2","1386161.00000"
"53","mujeres1","1012759.50000"
"53","mujeres2","992420.18750"
"54","hombres1","1301765.37500"
"54","hombres2","1383677.25000"
"54","mujeres1","815063.06250"
"54","mujeres2","983386.37500"
"55","hombres1","1738139.75000"
"55","hombres2","1379734.87500"
"55","mujeres1","868292.62500"
"55","mujeres2","972939.06250"
"56","hombres1","1233435.37500"
"56","hombres2","1374333.62500"
"56","mujeres1","803471.87500"
"56","mujeres2","961078.18750"
"57","hombres1","1456226.87500"
"57","hombres2","1367473.50000"
"57","mujeres1","1099804.25000"
"57","mujeres2","947803.81250"
"58","hombres1","1407827.62500"
"58","hombres2","1359154.75000"
"58","mujeres1","829467.31250"
"58","mujeres2","933115.87500"
"59","hombres1","1341315.62500"
"59","hombres2","1349377.12500"
"59","mujeres1","904743.62500"
"59","mujeres2","917014.43750"
"60","hombres1","1235209.50000"
"60","hombres2","1338140.75000"
"60","mujeres1","772795.87500"
"60","mujeres2","899499.50000"
"61","hombres1","1079455.62500"
"61","hombres2","1325445.62500"
"61","mujeres1","877999.00000"
"61","mujeres2","880571.06250"
"62","hombres1","1427775.87500"
"62","hombres2","1311291.62500"
"62","mujeres1","716981.56250"
"62","mujeres2","860229.06250"
"63","hombres1","1334319.00000"
"63","hombres2","1295679.00000"
"63","mujeres1","853152.06250"
"63","mujeres2","838473.50000"
"64","hombres1","1429917.87500"
"64","hombres2","1278607.37500"
"64","mujeres1","778423.12500"
"64","mujeres2","815304.43750"
"65","hombres1","1255249.25000"
"65","hombres2","1260077.12500"
"65","mujeres1","756883.50000"
"65","mujeres2","790721.87500"
"66","hombres1","1464346.87500"
"66","hombres2","1240088.00000"
"66","mujeres1","697071.06250"
"66","mujeres2","764725.81250"
"67","hombres1","1101238.00000"
"67","hombres2","1218640.12500"
"67","mujeres1","932692.93750"
"67","mujeres2","737316.18750"
"68","hombres1","1319809.50000"
"68","hombres2","1195733.50000"
"68","mujeres1","1366583.37500"
"68","mujeres2","708493.06250"
"69","hombres1","832048.18750"
"69","hombres2","1171368.12500"
"69","mujeres1","741301.06250"
"69","mujeres2","678256.37500"
"70","hombres1","1000996.62500"
