"ano","mes","variable","valor"
"2016","1","privadonoregistrado",""
"2016","1","privadoregistrado","100.00000"
"2016","1","sectorpublico","99.00000"
"2016","2","privadonoregistrado",""
"2016","2","privadoregistrado","99.00000"
"2016","2","sectorpublico","96.00000"
"2016","3","privadonoregistrado",""
"2016","3","privadoregistrado","96.00000"
"2016","3","sectorpublico","100.00000"
"2016","4","privadonoregistrado",""
"2016","4","privadoregistrado","98.00000"
"2016","4","sectorpublico","96.00000"
"2016","5","privadonoregistrado","99.10000"
"2016","5","privadoregistrado","96.80000"
"2016","5","sectorpublico","95.10000"
"2016","6","privadonoregistrado","96.90000"
"2016","6","privadoregistrado","95.40000"
"2016","6","sectorpublico","94.50000"
"2016","7","privadonoregistrado","97.30000"
"2016","7","privadoregistrado","96.80000"
"2016","7","sectorpublico","98.20000"
"2016","8","privadonoregistrado","95.90000"
"2016","8","privadoregistrado","98.40000"
"2016","8","sectorpublico","102.20000"
"2016","9","privadonoregistrado","97.60000"
"2016","9","privadoregistrado","98.90000"
"2016","9","sectorpublico","101.80000"
"2016","10","privadonoregistrado","100.00000"
"2016","10","privadoregistrado","100.00000"
"2016","10","sectorpublico","100.00000"
"2016","11","privadonoregistrado","102.50000"
"2016","11","privadoregistrado","100.20000"
"2016","11","sectorpublico","99.60000"
"2016","12","privadonoregistrado","102.30000"
"2016","12","privadoregistrado","100.10000"
"2016","12","sectorpublico","99.50000"
"2017","1","privadonoregistrado","101.10000"
"2017","1","privadoregistrado","101.80000"
"2017","1","sectorpublico","98.30000"
"2017","2","privadonoregistrado","102.90000"
"2017","2","privadoregistrado","101.00000"
"2017","2","sectorpublico","96.70000"
"2017","3","privadonoregistrado","104.90000"
"2017","3","privadoregistrado","100.10000"
"2017","3","sectorpublico","98.20000"
"2017","4","privadonoregistrado","103.50000"
"2017","4","privadoregistrado","100.80000"
"2017","4","sectorpublico","98.90000"
"2017","5","privadonoregistrado","102.70000"
"2017","5","privadoregistrado","101.30000"
"2017","5","sectorpublico","98.80000"
"2017","6","privadonoregistrado","104.20000"
"2017","6","privadoregistrado","101.90000"
"2017","6","sectorpublico","100.20000"
"2017","7","privadonoregistrado","105.40000"
"2017","7","privadoregistrado","104.90000"
"2017","7","sectorpublico","101.30000"
"2017","8","privadonoregistrado","104.60000"
"2017","8","privadoregistrado","105.00000"
"2017","8","sectorpublico","102.40000"
"2017","9","privadonoregistrado","103.80000"
"2017","9","privadoregistrado","104.20000"
"2017","9","sectorpublico","102.50000"
"2017","10","privadonoregistrado","104.10000"
"2017","10","privadoregistrado","104.50000"
"2017","10","sectorpublico","102.70000"
"2017","11","privadonoregistrado","105.10000"
"2017","11","privadoregistrado","104.50000"
"2017","11","sectorpublico","102.30000"
"2017","12","privadonoregistrado","101.00000"
"2017","12","privadoregistrado","102.10000"
"2017","12","sectorpublico","99.70000"
"2018","1","privadonoregistrado","98.10000"
"2018","1","privadoregistrado","102.00000"
"2018","1","sectorpublico","98.40000"
"2018","2","privadonoregistrado","98.50000"
"2018","2","privadoregistrado","100.40000"
"2018","2","sectorpublico","96.70000"
"2018","3","privadonoregistrado","98.80000"
"2018","3","privadoregistrado","99.50000"
"2018","3","sectorpublico","97.10000"
"2018","4","privadonoregistrado","99.50000"
"2018","4","privadoregistrado","100.30000"
"2018","4","sectorpublico","96.00000"
"2018","5","privadonoregistrado","99.10000"
"2018","5","privadoregistrado","100.60000"
"2018","5","sectorpublico","95.60000"
"2018","6","privadonoregistrado","100.60000"
"2018","6","privadoregistrado","98.40000"
"2018","6","sectorpublico","93.30000"
"2018","7","privadonoregistrado","102.10000"
"2018","7","privadoregistrado","97.70000"
"2018","7","sectorpublico","93.10000"
"2018","8","privadonoregistrado","100.90000"
"2018","8","privadoregistrado","96.70000"
"2018","8","sectorpublico","92.30000"
"2018","9","privadonoregistrado","97.10000"
"2018","9","privadoregistrado","92.90000"
"2018","9","sectorpublico","89.70000"
"2018","10","privadonoregistrado","94.70000"
"2018","10","privadoregistrado","91.50000"
"2018","10","sectorpublico","89.10000"
"2018","11","privadonoregistrado","92.90000"
"2018","11","privadoregistrado","91.00000"
"2018","11","sectorpublico","88.10000"
"2018","12","privadonoregistrado","90.30000"
"2018","12","privadoregistrado","90.20000"
"2018","12","sectorpublico","88.00000"
"2019","1","privadonoregistrado","88.00000"
"2019","1","privadoregistrado","90.70000"
"2019","1","sectorpublico","87.70000"
"2019","2","privadonoregistrado","87.80000"
"2019","2","privadoregistrado","89.80000"
"2019","2","sectorpublico","86.70000"
"2019","3","privadonoregistrado","86.00000"
"2019","3","privadoregistrado","88.90000"
"2019","3","sectorpublico","87.30000"
"2019","4","privadonoregistrado","84.30000"
"2019","4","privadoregistrado","88.30000"
"2019","4","sectorpublico","86.10000"
"2019","5","privadonoregistrado","83.50000"
"2019","5","privadoregistrado","89.30000"
"2019","5","sectorpublico","85.60000"
"2019","6","privadonoregistrado","83.10000"
"2019","6","privadoregistrado","89.20000"
"2019","6","sectorpublico","85.00000"
"2019","7","privadonoregistrado","85.70000"
"2019","7","privadoregistrado","91.10000"
"2019","7","sectorpublico","88.40000"
"2019","8","privadonoregistrado","85.80000"
"2019","8","privadoregistrado","90.00000"
"2019","8","sectorpublico","86.50000"
"2019","9","privadonoregistrado","83.60000"
"2019","9","privadoregistrado","87.30000"
"2019","9","sectorpublico","84.60000"
"2019","10","privadonoregistrado","83.80000"
"2019","10","privadoregistrado","87.70000"
"2019","10","sectorpublico","84.40000"
"2019","11","privadonoregistrado","80.90000"
"2019","11","privadoregistrado","86.40000"
"2019","11","sectorpublico","82.40000"
"2019","12","privadonoregistrado","77.60000"
"2019","12","privadoregistrado","84.60000"
"2019","12","sectorpublico","81.70000"
"2020","1","privadonoregistrado","77.00000"
"2020","1","privadoregistrado","89.80000"
"2020","1","sectorpublico","82.10000"
"2020","2","privadonoregistrado","78.70000"
"2020","2","privadoregistrado","92.10000"
"2020","2","sectorpublico","82.70000"
"2020","3","privadonoregistrado","79.00000"
"2020","3","privadoregistrado","91.10000"
"2020","3","sectorpublico","83.40000"
"2020","4","privadonoregistrado","79.70000"
"2020","4","privadoregistrado","89.60000"
"2020","4","sectorpublico","82.60000"
"2020","5","privadonoregistrado","80.20000"
"2020","5","privadoregistrado","88.00000"
"2020","5","sectorpublico","81.80000"
"2020","6","privadonoregistrado","84.20000"
"2020","6","privadoregistrado","86.20000"
"2020","6","sectorpublico","80.70000"
"2020","7","privadonoregistrado","83.60000"
"2020","7","privadoregistrado","85.70000"
"2020","7","sectorpublico","80.00000"
"2020","8","privadonoregistrado","83.50000"
"2020","8","privadoregistrado","85.10000"
"2020","8","sectorpublico","78.50000"
"2020","9","privadonoregistrado","83.40000"
"2020","9","privadoregistrado","84.60000"
"2020","9","sectorpublico","78.80000"
"2020","10","privadonoregistrado","83.80000"
"2020","10","privadoregistrado","85.90000"
"2020","10","sectorpublico","78.30000"
"2020","11","privadonoregistrado","82.50000"
"2020","11","privadoregistrado","85.50000"
"2020","11","sectorpublico","77.30000"
"2020","12","privadonoregistrado","80.00000"
"2020","12","privadoregistrado","83.50000"
"2020","12","sectorpublico","76.10000"
"2021","1","privadonoregistrado","77.80000"
"2021","1","privadoregistrado","83.50000"
"2021","1","sectorpublico","74.90000"
"2021","2","privadonoregistrado","76.90000"
"2021","2","privadoregistrado","84.70000"
"2021","2","sectorpublico","75.10000"
"2021","3","privadonoregistrado","75.20000"
"2021","3","privadoregistrado","84.00000"
"2021","3","sectorpublico","77.10000"
"2021","4","privadonoregistrado","72.90000"
"2021","4","privadoregistrado","84.60000"
"2021","4","sectorpublico","75.20000"
"2021","5","privadonoregistrado","74.50000"
"2021","5","privadoregistrado","84.70000"
"2021","5","sectorpublico","74.90000"
"2021","6","privadonoregistrado","75.40000"
"2021","6","privadoregistrado","83.60000"
"2021","6","sectorpublico","75.50000"
"2021","7","privadonoregistrado","77.50000"
"2021","7","privadoregistrado","85.30000"
"2021","7","sectorpublico","77.70000"
"2021","8","privadonoregistrado","77.50000"
"2021","8","privadoregistrado","86.00000"
"2021","8","sectorpublico","78.30000"
"2021","9","privadonoregistrado","76.50000"
"2021","9","privadoregistrado","86.10000"
"2021","9","sectorpublico","80.60000"
"2021","10","privadonoregistrado","78.00000"
"2021","10","privadoregistrado","86.30000"
"2021","10","sectorpublico","80.70000"
"2021","11","privadonoregistrado","81.50000"
"2021","11","privadoregistrado","87.90000"
"2021","11","sectorpublico","80.90000"
"2021","12","privadonoregistrado","81.00000"
"2021","12","privadoregistrado","85.90000"
"2021","12","sectorpublico","80.00000"
