"edad","variable","valor"
"25","Hombres1","5551.05322"
"25","Hombres2","5813.18115"
"25","Mujeres1","4635.82031"
"25","Mujeres2","5938.02002"
"26","Hombres1","5856.01611"
"26","Hombres2","5976.02588"
"26","Mujeres1","5741.12354"
"26","Mujeres2","6070.33838"
"27","Hombres1","6059.77832"
"27","Hombres2","6134.69287"
"27","Mujeres1","6182.26904"
"27","Mujeres2","6198.13281"
"28","Hombres1","6296.31250"
"28","Hombres2","6289.18311"
"28","Mujeres1","6259.88037"
"28","Mujeres2","6321.40234"
"29","Hombres1","6169.75977"
"29","Hombres2","6439.49658"
"29","Mujeres1","6538.29932"
"29","Mujeres2","6440.14795"
"30","Hombres1","6864.23242"
"30","Hombres2","6585.63281"
"30","Mujeres1","6358.77832"
"30","Mujeres2","6554.36914"
"31","Hombres1","5669.48096"
"31","Hombres2","6727.59180"
"31","Mujeres1","6999.06738"
"31","Mujeres2","6664.06641"
"32","Hombres1","6469.76904"
"32","Hombres2","6865.37402"
"32","Mujeres1","5449.15625"
"32","Mujeres2","6769.23877"
"33","Hombres1","6735.85840"
"33","Hombres2","6998.97900"
"33","Mujeres1","7471.90283"
"33","Mujeres2","6869.88721"
"34","Hombres1","8960.66309"
"34","Hombres2","7128.40674"
"34","Mujeres1","6515.33057"
"34","Mujeres2","6966.01074"
"35","Hombres1","7400.85791"
"35","Hombres2","7253.65771"
"35","Mujeres1","6689.39404"
"35","Mujeres2","7057.61035"
"36","Hombres1","7469.48291"
"36","Hombres2","7374.73145"
"36","Mujeres1","8800.11328"
"36","Mujeres2","7144.68555"
"37","Hombres1","6878.30811"
"37","Hombres2","7491.62842"
"37","Mujeres1","8605.50098"
"37","Mujeres2","7227.23633"
"38","Hombres1","6948.23438"
"38","Hombres2","7604.34814"
"38","Mujeres1","8512.32617"
"38","Mujeres2","7305.26318"
"39","Hombres1","9388.17773"
"39","Hombres2","7712.89062"
"39","Mujeres1","6155.10938"
"39","Mujeres2","7378.76514"
"40","Hombres1","8611.96484"
"40","Hombres2","7817.25635"
"40","Mujeres1","9615.45801"
"40","Mujeres2","7447.74316"
"41","Hombres1","6978.42480"
"41","Hombres2","7917.44482"
"41","Mujeres1","6645.02686"
"41","Mujeres2","7512.19678"
"42","Hombres1","7333.11475"
"42","Hombres2","8013.45654"
"42","Mujeres1","8555.74609"
"42","Mujeres2","7572.12598"
"43","Hombres1","7597.32324"
"43","Hombres2","8105.29053"
"43","Mujeres1","7126.70264"
"43","Mujeres2","7627.53076"
"44","Hombres1","9037.52148"
"44","Hombres2","8192.94824"
"44","Mujeres1","8112.33789"
"44","Mujeres2","7678.41162"
"45","Hombres1","9675.12988"
"45","Hombres2","8276.42871"
"45","Mujeres1","6738.04199"
"45","Mujeres2","7724.76758"
"46","Hombres1","8074.05371"
"46","Hombres2","8355.73145"
"46","Mujeres1","8223.66504"
"46","Mujeres2","7766.59961"
"47","Hombres1","8066.08838"
"47","Hombres2","8430.85840"
"47","Mujeres1","10258.00879"
"47","Mujeres2","7803.90723"
"48","Hombres1","7890.45068"
"48","Hombres2","8501.80762"
"48","Mujeres1","7046.12939"
"48","Mujeres2","7836.69043"
"49","Hombres1","9236.35840"
"49","Hombres2","8568.57910"
"49","Mujeres1","6455.13721"
"49","Mujeres2","7864.94922"
"50","Hombres1","8498.19922"
"50","Hombres2","8631.17480"
"50","Mujeres1","6806.17676"
"50","Mujeres2","7888.68359"
"51","Hombres1","7304.46387"
"51","Hombres2","8689.59277"
"51","Mujeres1","8366.71582"
"51","Mujeres2","7907.89404"
"52","Hombres1","8393.71973"
"52","Hombres2","8743.83301"
"52","Mujeres1","8238.34473"
"52","Mujeres2","7922.57959"
"53","Hombres1","7838.76953"
"53","Hombres2","8793.89746"
"53","Mujeres1","7836.59229"
"53","Mujeres2","7932.74121"
"54","Hombres1","8616.68457"
