"ano","variable","valor"
"1992","(15-24)","9325.04930"
"1992","(25-64)","15413.88538"
"1992","(65 +)","10078.08589"
"1992","Hombres","15652.05431"
"1992","Mujeres","11177.55411"
"1993","(15-24)","9611.79349"
"1993","(25-64)","15752.73255"
"1993","(65 +)","10661.44784"
"1993","Hombres","16048.74818"
"1993","Mujeres","11434.39346"
"1994","(15-24)","9519.58578"
"1994","(25-64)","15891.99773"
"1994","(65 +)","11594.93511"
"1994","Hombres","15935.77363"
"1994","Mujeres","11960.32745"
"1995","(15-24)","8704.06522"
"1995","(25-64)","15773.76545"
"1995","(65 +)","11322.86176"
"1995","Hombres","16145.97249"
"1995","Mujeres","11135.06636"
"1996","(15-24)","8237.21968"
"1996","(25-64)","15295.97798"
"1996","(65 +)","12881.32846"
"1996","Hombres","15551.74556"
"1996","Mujeres","10991.34488"
"1997","(15-24)","8261.79542"
"1997","(25-64)","15159.59025"
"1997","(65 +)","12287.52080"
"1997","Hombres","15304.51326"
"1997","Mujeres","11203.30571"
"1998","(15-24)","8220.29807"
"1998","(25-64)","15853.47295"
"1998","(65 +)","16611.99209"
"1998","Hombres","16448.80041"
"1998","Mujeres","11367.50864"
"1999","(15-24)","7966.90014"
"1999","(25-64)","15201.67358"
"1999","(65 +)","13189.09756"
"1999","Hombres","15587.48765"
"1999","Mujeres","11185.61110"
"2000","(15-24)","7560.67724"
"2000","(25-64)","14885.40262"
"2000","(65 +)","11759.41261"
"2000","Hombres","15219.15690"
"2000","Mujeres","11055.58359"
"2001","(15-24)","6861.18050"
"2001","(25-64)","14362.16104"
"2001","(65 +)","11638.12922"
"2001","Hombres","14551.95340"
"2001","Mujeres","10849.71127"
"2002","(15-24)","5009.70618"
"2002","(25-64)","10439.14744"
"2002","(65 +)","9141.50917"
"2002","Hombres","10695.26478"
"2002","Mujeres","7865.42475"
"2003","(15-24)","4850.67272"
"2003","(25-64)","10062.84600"
"2003","(65 +)","9461.17934"
"2003","Hombres","10422.15999"
"2003","Mujeres","7562.20760"
"2004","(15-24)","5140.97417"
"2004","(25-64)","10491.77347"
"2004","(65 +)","8919.23518"
"2004","Hombres","10695.29708"
"2004","Mujeres","7970.88869"
"2005","(15-24)","6041.23721"
"2005","(25-64)","11664.63709"
"2005","(65 +)","9691.80753"
"2005","Hombres","11853.52482"
"2005","Mujeres","9022.41536"
"2006","(15-24)","6538.24437"
"2006","(25-64)","12782.92761"
"2006","(65 +)","10688.36221"
"2006","Hombres","12973.69414"
"2006","Mujeres","9967.22896"
"2007","(15-24)","7105.24028"
"2007","(25-64)","12926.68555"
"2007","(65 +)","10746.75163"
"2007","Hombres","13529.50317"
"2007","Mujeres","9630.52333"
"2008","(15-24)","7238.64280"
"2008","(25-64)","12619.48113"
"2008","(65 +)","9909.85555"
"2008","Hombres","13125.06879"
"2008","Mujeres","9766.88960"
"2009","(15-24)","7311.58420"
"2009","(25-64)","12956.35150"
"2009","(65 +)","11480.01109"
"2009","Hombres","13366.73427"
"2009","Mujeres","10455.53008"
"2010","(15-24)","7456.72207"
"2010","(25-64)","13067.26356"
"2010","(65 +)","11921.87417"
"2010","Hombres","13565.98531"
"2010","Mujeres","10436.97630"
"2011","(15-24)","8033.02154"
"2011","(25-64)","13988.40959"
"2011","(65 +)","11792.47094"
"2011","Hombres","14488.50204"
"2011","Mujeres","11218.14802"
"2012","(15-24)","7996.55808"
"2012","(25-64)","13634.70389"
"2012","(65 +)","11739.26913"
"2012","Hombres","14010.25908"
"2012","Mujeres","11115.47960"
"2013","(15-24)","8267.65044"
"2013","(25-64)","13750.26810"
"2013","(65 +)","12180.92137"
"2013","Hombres","14297.79161"
"2013","Mujeres","11158.15819"
"2014","(15-24)","7422.07716"
"2014","(25-64)","12591.98338"
"2014","(65 +)","12303.41451"
"2014","Hombres","13110.23397"
"2014","Mujeres","10259.79465"
"2015","(15-24)","7926.24896"
"2015","(25-64)","12833.80211"
"2015","(65 +)","11453.69643"
