"indicador","anio","valor","unidad_medida"
"Valor agregado bruto directo turístico (VABDT)","2016","0.0177544116732571","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2017","0.0182872868333427","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2018","0.0167013436094726","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2019","0.0170722974806701","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2020","0.0088314327155367","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2021","0.00811055714060183","en % sobre el total"
"Valor agregado bruto directo turístico (VABDT)","2022","0.0163746522673191","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2016","0.0520283355227618","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2017","0.0544126229619009","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2018","0.0507683667527758","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2019","0.0499680232286997","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2020","0.031701838583771","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2021","0.0337276865011012","en % sobre el total"
"Valor agregado bruto de las industrias turísticas (VABIT)","2022","0.0440969343730599","en % sobre el total"
