"anio","geocodigoFundar","geonombreFundar","arribos_turisticos_internacionales_millon"
"2024","ZEUR","Europa","758.6"
"2024","APA","Asia y el Pacífico","317.8"
"2024","X21","Américas","218.3"
"2024","DESHUM_AHDI.MEA","Medio Oriente","101.2"
"2024","X06","África","73.9"
"2023","ZEUR","Europa","710.6"
"2023","APA","Asia y el Pacífico","237.8"
"2023","X21","Américas","200.2"
"2023","DESHUM_AHDI.MEA","Medio Oriente","93.4"
"2023","X06","África","65.2"
"2022","ZEUR","Europa","610.7"
"2022","X21","Américas","157.1"
"2022","APA","Asia y el Pacífico","92.7"
"2022","DESHUM_AHDI.MEA","Medio Oriente","68"
"2022","X06","África","47.2"
"2021","ZEUR","Europa","302.8"
"2021","X21","Américas","81.7"
"2021","DESHUM_AHDI.MEA","Medio Oriente","30.5"
"2021","APA","Asia y el Pacífico","26.5"
"2021","X06","África","19.9"
"2020","ZEUR","Europa","240.8"
"2020","X21","Américas","69.7"
"2020","APA","Asia y el Pacífico","59"
"2020","DESHUM_AHDI.MEA","Medio Oriente","19.4"
"2020","X06","África","18.9"
"2019","ZEUR","Europa","745.8"
"2019","APA","Asia y el Pacífico","362.1"
"2019","X21","Américas","219.3"
"2019","DESHUM_AHDI.MEA","Medio Oriente","71.6"
"2019","X06","África","68.8"
"2018","ZEUR","Europa","717.7"
"2018","APA","Asia y el Pacífico","348"
"2018","X21","Américas","215.9"
"2018","X06","África","67.5"
"2018","DESHUM_AHDI.MEA","Medio Oriente","65.4"
"2017","ZEUR","Europa","677.6"
"2017","APA","Asia y el Pacífico","325.3"
"2017","X21","Américas","210.9"
"2017","X06","África","63"
"2017","DESHUM_AHDI.MEA","Medio Oriente","61.3"
"2016","ZEUR","Europa","622.3"
"2016","APA","Asia y el Pacífico","306.4"
"2016","X21","Américas","201.4"
"2016","X06","África","58.1"
"2016","DESHUM_AHDI.MEA","Medio Oriente","57.3"
"1950","X06","África","0.5"
"1960","X06","África","0.8"
"1965","X06","África","1.4"
"1970","X06","África","2.4"
"1975","X06","África","4.7"
"1980","X06","África","7.2"
"1981","X06","África","8.1"
"1982","X06","África","7.6"
"1983","X06","África","8.2"
"1984","X06","África","8.9"
"1985","X06","África","9.7"
"1986","X06","África","9.4"
"1987","X06","África","9.9"
"1988","X06","África","12.6"
"1989","X06","África","13.9"
"1990","X06","África","15.2"
"1991","X06","África","16.3"
"1992","X06","África","18.3"
"1993","X06","África","18.9"
"1994","X06","África","19.3"
"1995","X06","África","20.4"
"1996","X06","África","22.2"
"1997","X06","África","23.2"
"1998","X06","África","25.6"
"1999","X06","África","27"
"2000","X06","África","27.9"
"2001","X06","África","29.1"
"2002","X06","África","30"
"2003","X06","África","31.6"
"2004","X06","África","34.5"
"2005","X06","África","37.3"
"2006","X06","África","41.4"
"2007","X06","África","44.3"
"2008","X06","África","44.4"
"2009","X06","África","45.9"
"2010","X06","África","50.4"
"2014","X06","África","55.2"
"2015","X06","África","53.8"
"1950","ZEUR","Europa","16.8"
"1960","ZEUR","Europa","50.4"
"1965","ZEUR","Europa","83.7"
"1970","ZEUR","Europa","113"
"1975","ZEUR","Europa","153.9"
"1980","ZEUR","Europa","178.5"
"1981","ZEUR","Europa","175.5"
"1982","ZEUR","Europa","175.3"
"1983","ZEUR","Europa","179.6"
"1984","ZEUR","Europa","193.4"
"1985","ZEUR","Europa","204.3"
"1986","ZEUR","Europa","206.2"
"1987","ZEUR","Europa","223.9"
"1988","ZEUR","Europa","231.6"
"1989","ZEUR","Europa","250.7"
"1990","ZEUR","Europa","265.6"
"1991","ZEUR","Europa","263.9"
"1992","ZEUR","Europa","282.2"
"1993","ZEUR","Europa","290.8"
"1994","ZEUR","Europa","303.1"
"1995","ZEUR","Europa","315"
"1996","ZEUR","Europa","332.1"
"1997","ZEUR","Europa","352.9"
"1998","ZEUR","Europa","364.6"
"1999","ZEUR","Europa","370.5"
"2000","ZEUR","Europa","391"
"2001","ZEUR","Europa","395.2"
"2002","ZEUR","Europa","407"
"2003","ZEUR","Europa","407.1"
"2004","ZEUR","Europa","424.4"
"2005","ZEUR","Europa","441.5"
"2006","ZEUR","Europa","462.1"
"2007","ZEUR","Europa","484.9"
"2008","ZEUR","Europa","485.2"
"2009","ZEUR","Europa","461.7"
"2010","ZEUR","Europa","489.4"
"2014","ZEUR","Europa","580.2"
"2015","ZEUR","Europa","607.5"
"1950","X21","Américas","7.5"
"1960","X21","Américas","16.7"
"1965","X21","Américas","23.2"
"1970","X21","Américas","42.3"
"1975","X21","Américas","50"
"1980","X21","Américas","62.3"
"1981","X21","Américas","62.5"
"1982","X21","Américas","59.7"
"1983","X21","Américas","59.9"
"1984","X21","Américas","67.4"
"1985","X21","Américas","65.1"
"1986","X21","Américas","70.9"
"1987","X21","Américas","76.6"
"1988","X21","Américas","83"
"1989","X21","Américas","86.9"
"1990","X21","Américas","92.8"
"1991","X21","Américas","95.3"
"1992","X21","Américas","102.2"
"1993","X21","Américas","102.2"
"1994","X21","Américas","105.1"
"1995","X21","Américas","109"
"1996","X21","Américas","114.5"
"1997","X21","Américas","116.2"
"1998","X21","Américas","119.1"
"1999","X21","Américas","121.9"
"2000","X21","Américas","128.2"
"2001","X21","Américas","122.1"
"2002","X21","Américas","116.7"
"2003","X21","Américas","113.1"
"2004","X21","Américas","125.7"
"2005","X21","Américas","133.5"
"2006","X21","Américas","135.8"
"2007","X21","Américas","142.5"
"2008","X21","Américas","147.8"
"2009","X21","Américas","141.7"
"2010","X21","Américas","150.1"
"2014","X21","Américas","181.9"
"2015","X21","Américas","192.7"
"1950","DESHUM_AHDI.MEA","Medio Oriente","0.2"
"1960","DESHUM_AHDI.MEA","Medio Oriente","0.6"
"1965","DESHUM_AHDI.MEA","Medio Oriente","2.4"
"1970","DESHUM_AHDI.MEA","Medio Oriente","1.9"
"1975","DESHUM_AHDI.MEA","Medio Oriente","3.5"
"1980","DESHUM_AHDI.MEA","Medio Oriente","7.1"
"1981","DESHUM_AHDI.MEA","Medio Oriente","7.6"
"1982","DESHUM_AHDI.MEA","Medio Oriente","8.3"
"1983","DESHUM_AHDI.MEA","Medio Oriente","7.5"
"1984","DESHUM_AHDI.MEA","Medio Oriente","7.7"
"1985","DESHUM_AHDI.MEA","Medio Oriente","8.1"
"1986","DESHUM_AHDI.MEA","Medio Oriente","6.9"
"1987","DESHUM_AHDI.MEA","Medio Oriente","7.2"
"1988","DESHUM_AHDI.MEA","Medio Oriente","9.1"
"1989","DESHUM_AHDI.MEA","Medio Oriente","9.2"
"1990","DESHUM_AHDI.MEA","Medio Oriente","9.6"
"1991","DESHUM_AHDI.MEA","Medio Oriente","8.9"
"1992","DESHUM_AHDI.MEA","Medio Oriente","11.3"
"1993","DESHUM_AHDI.MEA","Medio Oriente","11.4"
"1994","DESHUM_AHDI.MEA","Medio Oriente","12.1"
"1995","DESHUM_AHDI.MEA","Medio Oriente","13.7"
"1996","DESHUM_AHDI.MEA","Medio Oriente","15.8"
"1997","DESHUM_AHDI.MEA","Medio Oriente","16.7"
"1998","DESHUM_AHDI.MEA","Medio Oriente","18"
"1999","DESHUM_AHDI.MEA","Medio Oriente","21.5"
"2000","DESHUM_AHDI.MEA","Medio Oriente","24.4"
"2001","DESHUM_AHDI.MEA","Medio Oriente","24.5"
"2002","DESHUM_AHDI.MEA","Medio Oriente","28.5"
"2003","DESHUM_AHDI.MEA","Medio Oriente","29.5"
"2004","DESHUM_AHDI.MEA","Medio Oriente","36.3"
"2005","DESHUM_AHDI.MEA","Medio Oriente","39"
"2006","DESHUM_AHDI.MEA","Medio Oriente","41.4"
"2007","DESHUM_AHDI.MEA","Medio Oriente","47.4"
"2008","DESHUM_AHDI.MEA","Medio Oriente","55.2"
"2009","DESHUM_AHDI.MEA","Medio Oriente","52.8"
"2010","DESHUM_AHDI.MEA","Medio Oriente","55.4"
"2014","DESHUM_AHDI.MEA","Medio Oriente","55.4"
"2015","DESHUM_AHDI.MEA","Medio Oriente","55.9"
"1950","APA","Asia y el Pacífico","0.2"
"1960","APA","Asia y el Pacífico","0.9"
"1965","APA","Asia y el Pacífico","2.1"
"1970","APA","Asia y el Pacífico","6.2"
"1975","APA","Asia y el Pacífico","10.2"
"1980","APA","Asia y el Pacífico","23"
"1981","APA","Asia y el Pacífico","24.9"
"1982","APA","Asia y el Pacífico","26"
"1983","APA","Asia y el Pacífico","26.6"
"1984","APA","Asia y el Pacífico","29.5"
"1985","APA","Asia y el Pacífico","32.9"
"1986","APA","Asia y el Pacífico","36.8"
"1987","APA","Asia y el Pacífico","42.1"
"1988","APA","Asia y el Pacífico","48.7"
"1989","APA","Asia y el Pacífico","49.4"
"1990","APA","Asia y el Pacífico","56.2"
"1991","APA","Asia y el Pacífico","58"
"1992","APA","Asia y el Pacífico","65.8"
"1993","APA","Asia y el Pacífico","72.3"
"1994","APA","Asia y el Pacífico","80.1"
"1995","APA","Asia y el Pacífico","82.4"
"1996","APA","Asia y el Pacífico","90.4"
"1997","APA","Asia y el Pacífico","89.7"
"1998","APA","Asia y el Pacífico","89.4"
"1999","APA","Asia y el Pacífico","98.7"
"2000","APA","Asia y el Pacífico","110.6"
"2001","APA","Asia y el Pacífico","115.7"
"2002","APA","Asia y el Pacífico","124.9"
"2003","APA","Asia y el Pacífico","113.3"
"2004","APA","Asia y el Pacífico","144.2"
"2005","APA","Asia y el Pacífico","155.4"
"2006","APA","Asia y el Pacífico","166.8"
"2007","APA","Asia y el Pacífico","184.2"
"2008","APA","Asia y el Pacífico","184.1"
"2009","APA","Asia y el Pacífico","181.1"
"2010","APA","Asia y el Pacífico","205.5"
"2014","APA","Asia y el Pacífico","264.4"
"2015","APA","Asia y el Pacífico","279.3"
