"anio","indicador","expo_turisticas"
"1976","Viajes","180"
"1977","Viajes","212"
"1978","Viajes","279"
"1979","Viajes","267"
"1980","Viajes","344"
"1981","Viajes","413"
"1982","Viajes","610"
"1983","Viajes","453"
"1984","Viajes","440"
"1985","Viajes","523"
"1986","Viajes","562"
"1987","Viajes","615"
"1988","Viajes","634"
"1989","Viajes","790"
"1990","Viajes","903"
"1991","Viajes","782"
"1992","Viajes","1478.9"
"1993","Viajes","1695.6"
"1994","Viajes","1933"
"1995","Viajes","2222"
"1996","Viajes","2620.6"
"1997","Viajes","2777.5"
"1998","Viajes","3024.8"
"1999","Viajes","2897.9"
"2000","Viajes","2903.7"
"2001","Viajes","2641.8"
"2002","Viajes","1535.11"
"2003","Viajes","2005.48"
"2004","Viajes","2234.77"
"2005","Viajes","2729.1"
"2006","Viajes","3351.27264411116"
"2007","Viajes","4325.1913919352"
"2008","Viajes","4664.06961998559"
"2009","Viajes","3988.85496444718"
"2010","Viajes","4989.21042410833"
"2011","Viajes","5430.95285639422"
"2012","Viajes","5013.7288063777"
"2013","Viajes","4524.64221933038"
"2014","Viajes","4960.04505111692"
"2015","Viajes","4926.95479294362"
"2016","Viajes","4966.91064260252"
"2017","Viajes","5369.61769592281"
"2018","Viajes","5562.80782832514"
"2019","Viajes","5240.66273677672"
"2020","Viajes","1727.46752449954"
"2021","Viajes","394.199529154335"
"2022","Viajes","3473.51964800575"
"2023","Viajes","5486.31978479593"
"2024","Viajes","4959.48076720387"
"2006","Viajes y transporte","3926.70464411116"
"2007","Viajes y transporte","5030.0603919352"
"2008","Viajes y transporte","5273.29261998559"
"2009","Viajes y transporte","4454.77096444718"
"2010","Viajes y transporte","5605.10142410832"
"2011","Viajes y transporte","6057.5858443942"
"2012","Viajes y transporte","5664.3000778899"
"2013","Viajes y transporte","5199.05382942515"
"2014","Viajes y transporte","5644.6607090153"
"2015","Viajes y transporte","5441.26781149514"
"2016","Viajes y transporte","5465.77135852044"
"2017","Viajes y transporte","5829.54965135526"
"2018","Viajes y transporte","5999.10057655855"
"2019","Viajes y transporte","5653.45487172308"
"2020","Viajes y transporte","1793.74280409231"
"2021","Viajes y transporte","433.021003190457"
"2022","Viajes y transporte","3693.53365356605"
"2023","Viajes y transporte","5852.13925802395"
"2024","Viajes y transporte","5385.09494252869"
