"categoria","anio","exportaciones_en_usd_mill","tipo"
"Complejos oleaginosos","2006","9770","Bienes"
"Complejos oleaginosos","2007","14401","Bienes"
"Complejos oleaginosos","2008","18394","Bienes"
"Complejo soja","2006","8931","Bienes"
"Complejo soja","2007","13605","Bienes"
"Complejo soja","2008","16609","Bienes"
"Complejo girasol","2006","811","Bienes"
"Complejo girasol","2007","764","Bienes"
"Complejo girasol","2008","1729","Bienes"
"Complejos petrolero-petroquímico","2006","8665","Bienes"
"Complejos petrolero-petroquímico","2007","7679","Bienes"
"Complejos petrolero-petroquímico","2008","8510","Bienes"
"Complejos cerealeros","2006","3292","Bienes"
"Complejos cerealeros","2007","5243","Bienes"
"Complejos cerealeros","2008","7662","Bienes"
"Complejo maicero","2006","1298","Bienes"
"Complejo maicero","2007","2296","Bienes"
"Complejo maicero","2008","3593","Bienes"
"Complejo triguero","2006","1677","Bienes"
"Complejo triguero","2007","2386","Bienes"
"Complejo triguero","2008","3143","Bienes"
"Complejo arrocero","2006","136","Bienes"
"Complejo arrocero","2007","148","Bienes"
"Complejo arrocero","2008","234","Bienes"
"Complejos de origen bovino","2006","3130","Bienes"
"Complejos de origen bovino","2007","3236","Bienes"
"Complejos de origen bovino","2008","3522","Bienes"
"Complejo carne","2006","1358","Bienes"
"Complejo carne","2007","1493","Bienes"
"Complejo carne","2008","1735","Bienes"
"Complejo cuero","2006","997","Bienes"
"Complejo cuero","2007","1099","Bienes"
"Complejo cuero","2008","964","Bienes"
"Complejo lácteo","2006","774","Bienes"
"Complejo lácteo","2007","644","Bienes"
"Complejo lácteo","2008","823","Bienes"
"Complejo automotriz","2006","4655","Bienes"
"Complejo automotriz","2007","6010","Bienes"
"Complejo automotriz","2008","7247","Bienes"
"Complejos frutihortícolas","2006","1418","Bienes"
"Complejos frutihortícolas","2007","1805","Bienes"
"Complejos frutihortícolas","2008","2334","Bienes"
"Complejo frutícola","2006","949","Bienes"
"Complejo frutícola","2007","1187","Bienes"
"Complejo frutícola","2008","1568","Bienes"
"Complejo hortícola","2006","470","Bienes"
"Complejo hortícola","2007","618","Bienes"
"Complejo hortícola","2008","765","Bienes"
"Complejo siderúrgico","2006","1764","Bienes"
"Complejo siderúrgico","2007","1955","Bienes"
"Complejo siderúrgico","2008","2326","Bienes"
"Complejo pesquero","2006","1250","Bienes"
"Complejo pesquero","2007","1108","Bienes"
"Complejo pesquero","2008","1304","Bienes"
"Complejo cobre","2006","1343","Bienes"
"Complejo cobre","2007","1496","Bienes"
"Complejo cobre","2008","1137","Bienes"
"Complejo uva","2006","616","Bienes"
"Complejo uva","2007","771","Bienes"
"Complejo uva","2008","997","Bienes"
"Complejos de origen forestal","2006","926","Bienes"
"Complejos de origen forestal","2007","973","Bienes"
"Complejos de origen forestal","2008","982","Bienes"
"Complejo celulósico-papelero","2006","498","Bienes"
"Complejo celulósico-papelero","2007","544","Bienes"
"Complejo celulósico-papelero","2008","555","Bienes"
"Complejo maderero","2006","319","Bienes"
"Complejo maderero","2007","301","Bienes"
"Complejo maderero","2008","288","Bienes"
"Complejo aluminio","2006","466","Bienes"
"Complejo aluminio","2007","535","Bienes"
"Complejo aluminio","2008","792","Bienes"
"Complejo oro","2006","554","Bienes"
"Complejo oro","2007","573","Bienes"
"Complejo oro","2008","704","Bienes"
"Complejo maní","2006","354","Bienes"
"Complejo maní","2007","461","Bienes"
"Complejo maní","2008","594","Bienes"
"Complejo tabacalero","2006","253","Bienes"
"Complejo tabacalero","2007","275","Bienes"
"Complejo tabacalero","2008","354","Bienes"
"Complejo de origen ovino","2006","201","Bienes"
"Complejo de origen ovino","2007","252","Bienes"
"Complejo de origen ovino","2008","231","Bienes"
"Complejo lanero, cueros y pieles","2006","178","Bienes"
"Complejo lanero, cueros y pieles","2007","234","Bienes"
"Complejo lanero, cueros y pieles","2008","209","Bienes"
"Complejo carne ovina","2006","23","Bienes"
"Complejo carne ovina","2007","17","Bienes"
"Complejo carne ovina","2008","22","Bienes"
"Complejos algodoneros","2006","94","Bienes"
"Complejos algodoneros","2007","112","Bienes"
"Complejos algodoneros","2008","119","Bienes"
"Complejo algodonero, textil","2006","92","Bienes"
"Complejo algodonero, textil","2007","110","Bienes"
"Complejo algodonero, textil","2008","116","Bienes"
"Complejo aceite de algodón","2006","2","Bienes"
"Complejo aceite de algodón","2007","2","Bienes"
"Complejo aceite de algodón","2008","3","Bienes"
"Resto de exportaciones","2006","7795","Bienes"
"Resto de exportaciones","2007","9093","Bienes"
"Resto de exportaciones","2008","12809","Bienes"
"Complejos oleaginosos","2009","13964","Bienes"
"Complejos oleaginosos","2010","18079","Bienes"
"Complejos oleaginosos","2011","21286","Bienes"
"Complejos oleaginosos","2012","18629","Bienes"
"Complejo soja","2009","12990","Bienes"
"Complejo soja","2010","17317","Bienes"
"Complejo soja","2011","19833","Bienes"
"Complejo soja","2012","17361","Bienes"
"Complejo girasol","2009","934","Bienes"
"Complejo girasol","2010","721","Bienes"
"Complejo girasol","2011","1367","Bienes"
"Complejo girasol","2012","1148","Bienes"
"Complejos cerealeros","2009","3931","Bienes"
"Complejos cerealeros","2010","5417","Bienes"
"Complejos cerealeros","2011","9197","Bienes"
"Complejos cerealeros","2012","10541","Bienes"
"Complejo maicero","2009","1679","Bienes"
"Complejo maicero","2010","3227","Bienes"
"Complejo maicero","2011","4532","Bienes"
"Complejo maicero","2012","4952","Bienes"
"Complejo triguero","2009","1430","Bienes"
"Complejo triguero","2010","1359","Bienes"
"Complejo triguero","2011","3044","Bienes"
"Complejo triguero","2012","3499","Bienes"
"Complejo arrocero","2009","267","Bienes"
"Complejo arrocero","2010","230","Bienes"
"Complejo arrocero","2011","357","Bienes"
"Complejo arrocero","2012","296","Bienes"
"Complejo automotriz","2009","5982","Bienes"
"Complejo automotriz","2010","8620","Bienes"
"Complejo automotriz","2011","10628","Bienes"
"Complejo automotriz","2012","10169","Bienes"
"Complejos petrolero-petroquímico","2009","6772","Bienes"
"Complejos petrolero-petroquímico","2010","7213","Bienes"
"Complejos petrolero-petroquímico","2011","7441","Bienes"
"Complejos petrolero-petroquímico","2012","7661","Bienes"
"Complejos de origen bovino","2009","3230","Bienes"
"Complejos de origen bovino","2010","3278","Bienes"
"Complejos de origen bovino","2011","3945","Bienes"
"Complejos de origen bovino","2012","3461","Bienes"
"Complejo carne","2009","1888","Bienes"
"Complejo carne","2010","1356","Bienes"
"Complejo carne","2011","1501","Bienes"
"Complejo carne","2012","1283","Bienes"
"Complejo lácteo","2009","647","Bienes"
"Complejo lácteo","2010","886","Bienes"
"Complejo lácteo","2011","1484","Bienes"
"Complejo lácteo","2012","1306","Bienes"
"Complejo cuero","2009","696","Bienes"
"Complejo cuero","2010","1036","Bienes"
"Complejo cuero","2011","961","Bienes"
"Complejo cuero","2012","871","Bienes"
"Complejos frutihortícolas","2009","1910","Bienes"
"Complejos frutihortícolas","2010","2259","Bienes"
"Complejos frutihortícolas","2011","2669","Bienes"
"Complejos frutihortícolas","2012","2341","Bienes"
"Complejo frutícola","2009","1245","Bienes"
"Complejo frutícola","2010","1335","Bienes"
"Complejo frutícola","2011","1610","Bienes"
"Complejo frutícola","2012","1365","Bienes"
"Complejo hortícola","2009","665","Bienes"
"Complejo hortícola","2010","924","Bienes"
"Complejo hortícola","2011","1059","Bienes"
"Complejo hortícola","2012","977","Bienes"
"Complejo oro","2009","1042","Bienes"
"Complejo oro","2010","2014","Bienes"
"Complejo oro","2011","2316","Bienes"
"Complejo oro","2012","2255","Bienes"
"Complejo siderúrgico","2009","1702","Bienes"
"Complejo siderúrgico","2010","1570","Bienes"
"Complejo siderúrgico","2011","1869","Bienes"
"Complejo siderúrgico","2012","1821","Bienes"
