"industria_turistica","ratio"
"Media industrias turísticas","30.2705470192255"
"Alojamiento","90.4135411632185"
"Gastronomía","12.7631406381814"
"Transporte aéreo de pasajeros","99.678453125714"
"Otros transportes","11.8399619347841"
"Agencias de viaje","100"
"Otros servicios","9.22371878869709"
"Otros productos no característicos","0.435977195597981"
