"anio","proporcion_viajera"
"2010","43.4914488703053"
"2011","43.5999986792672"
"2012","43.075988646281"
"2013","46.8188647748449"
"2014","48.1319763836372"
"2015","48.4306797290491"
"2016","41.6645420821126"
"2017","42.4310611751876"
"2018","37.0729057242219"
"2019","38.5878983554068"
"2020","23.6905587615405"
"2021","27.9509696117851"
"2022","33.2131110925096"
