"anio","medida","arribos_turistas","fuente","tipo_serie"
"1887","Arribos turísticos en temporada, en cantidad de personas","1416","Pastoriza (2008)","original"
"1888","Arribos turísticos en temporada, en cantidad de personas","2510","Pastoriza (2008)","original"
"1901","Arribos turísticos en temporada, en cantidad de personas","10000","Pastoriza (2008)","original"
"1921","Arribos turísticos en temporada, en cantidad de personas","40370","Pastoriza (2008)","original"
"1931","Arribos turísticos en temporada, en cantidad de personas","65010","Pastoriza (2008)","original"
"1936","Arribos turísticos en temporada, en cantidad de personas","121276","Pastoriza (2008)","original"
"1941","Arribos turísticos en temporada, en cantidad de personas","376893","Pastoriza (2008)","original"
"1946","Arribos turísticos en temporada, en cantidad de personas","504517","Pastoriza (2008)","original"
"1951","Arribos turísticos en temporada, en cantidad de personas","990542","Pastoriza (2008)","original"
"1956","Arribos turísticos en temporada, en cantidad de personas","1141536","Pastoriza (2008)","original"
"1957","Arribos turísticos en temporada, en cantidad de personas","1044170","Pastoriza (2008)","original"
"1958","Arribos turísticos en temporada, en cantidad de personas","1209324","Pastoriza (2008)","original"
"1959","Arribos turísticos en temporada, en cantidad de personas","1211061","Pastoriza (2008)","original"
"1960","Arribos turísticos en temporada, en cantidad de personas","1303052","Pastoriza (2008)","original"
"1961","Arribos turísticos en temporada, en cantidad de personas","1450817","Pastoriza (2008)","original"
"1964","Arribos turísticos en temporada, en cantidad de personas","1623808","Pastoriza (2008)","original"
"1965","Arribos turísticos en temporada, en cantidad de personas","1184920","Pastoriza (2008)","original"
"1966","Arribos turísticos en temporada, en cantidad de personas","1355448","Pastoriza (2008)","original"
"1967","Arribos turísticos en temporada, en cantidad de personas","1493907","Pastoriza (2008)","original"
"1968","Arribos turísticos en temporada, en cantidad de personas","2026201","Pastoriza (2008)","original"
"1971","Arribos turísticos en temporada, en cantidad de personas","2027222","Pastoriza (2008)","original"
"1972","Arribos turísticos en temporada, en cantidad de personas","2475772","Pastoriza (2008)","original"
"1973","Arribos turísticos en temporada, en cantidad de personas","2868593","Pastoriza (2008)","original"
"1975","Arribos turísticos en temporada, en cantidad de personas","2493591","Pastoriza (2008)","original"
"1976","Arribos turísticos en temporada, en cantidad de personas","2290242","Pastoriza (2008)","original"
"1992","Arribos turísticos en temporada, en cantidad de personas","2335305.96615727","EMTUR","original"
"1993","Arribos turísticos en temporada, en cantidad de personas","2324205.78842159","EMTUR","original"
"1994","Arribos turísticos en temporada, en cantidad de personas","2346959.66722081","EMTUR","original"
"1995","Arribos turísticos en temporada, en cantidad de personas","2248554.61559709","EMTUR","original"
"1996","Arribos turísticos en temporada, en cantidad de personas","2371533.25396035","EMTUR","original"
"1997","Arribos turísticos en temporada, en cantidad de personas","2442844.55969301","EMTUR","original"
"1998","Arribos turísticos en temporada, en cantidad de personas","2715976.98279997","EMTUR","original"
"1999","Arribos turísticos en temporada, en cantidad de personas","2574606.31086146","EMTUR","original"
"2000","Arribos turísticos en temporada, en cantidad de personas","2463946.41556006","EMTUR","original"
"2001","Arribos turísticos en temporada, en cantidad de personas","2241239.1536156","EMTUR","original"
"2002","Arribos turísticos en temporada, en cantidad de personas","2161900.53862173","EMTUR","original"
"2003","Arribos turísticos en temporada, en cantidad de personas","2515413.9099892","EMTUR","original"
"2004","Arribos turísticos en temporada, en cantidad de personas","2746142.78316061","EMTUR","original"
"2005","Arribos turísticos en temporada, en cantidad de personas","2900003.54619114","EMTUR","original"
"2006","Arribos turísticos en temporada, en cantidad de personas","3142778.06378249","EMTUR","original"
"2007","Arribos turísticos en temporada, en cantidad de personas","3245319.07427213","EMTUR","original"
"2008","Arribos turísticos en temporada, en cantidad de personas","3273051","EMTUR","original"
"2009","Arribos turísticos en temporada, en cantidad de personas","3233676","EMTUR","original"
"2010","Arribos turísticos en temporada, en cantidad de personas","3355948","EMTUR","original"
"2011","Arribos turísticos en temporada, en cantidad de personas","3309388","EMTUR","original"
"2012","Arribos turísticos en temporada, en cantidad de personas","3538302","EMTUR","original"
"2013","Arribos turísticos en temporada, en cantidad de personas","3379886","EMTUR","original"
"2014","Arribos turísticos en temporada, en cantidad de personas","3370548","EMTUR","original"
"2015","Arribos turísticos en temporada, en cantidad de personas","3547865","EMTUR","original"
"2016","Arribos turísticos en temporada, en cantidad de personas","3505472","EMTUR","original"
"2017","Arribos turísticos en temporada, en cantidad de personas","3417571","EMTUR","original"
"2018","Arribos turísticos en temporada, en cantidad de personas","3468422","EMTUR","original"
"2019","Arribos turísticos en temporada, en cantidad de personas","3184729","EMTUR","original"
"2020","Arribos turísticos en temporada, en cantidad de personas","3475394","EMTUR","original"
"2021","Arribos turísticos en temporada, en cantidad de personas","2231660","EMTUR","original"
"2022","Arribos turísticos en temporada, en cantidad de personas","3414469","EMTUR","original"
"2023","Arribos turísticos en temporada, en cantidad de personas","3633112","EMTUR","original"
"2024","Arribos turísticos en temporada, en cantidad de personas","3451822","EMTUR","original"
"1992","Arribos turísticos anuales en cantidad de personas","5737818","EMTUR","original"
"1993","Arribos turísticos anuales en cantidad de personas","5710545","EMTUR","original"
"1994","Arribos turísticos anuales en cantidad de personas","5766451","EMTUR","original"
"1995","Arribos turísticos anuales en cantidad de personas","5524671","EMTUR","original"
"1996","Arribos turísticos anuales en cantidad de personas","5826828","EMTUR","original"
"1997","Arribos turísticos anuales en cantidad de personas","6002039","EMTUR","original"
"1998","Arribos turísticos anuales en cantidad de personas","6673122","EMTUR","original"
"1999","Arribos turísticos anuales en cantidad de personas","6325776","EMTUR","original"
"2000","Arribos turísticos anuales en cantidad de personas","6053886","EMTUR","original"
"2001","Arribos turísticos anuales en cantidad de personas","5506697","EMTUR","original"
"2002","Arribos turísticos anuales en cantidad de personas","5311763","EMTUR","original"
"2003","Arribos turísticos anuales en cantidad de personas","6180341","EMTUR","original"
"2004","Arribos turísticos anuales en cantidad de personas","6747239","EMTUR","original"
"2005","Arribos turísticos anuales en cantidad de personas","7125273","EMTUR","original"
"2006","Arribos turísticos anuales en cantidad de personas","7721767","EMTUR","original"
"2007","Arribos turísticos anuales en cantidad de personas","7973709","EMTUR","original"
"2008","Arribos turísticos anuales en cantidad de personas","8041846","EMTUR","original"
"2009","Arribos turísticos anuales en cantidad de personas","7989082","EMTUR","original"
"2010","Arribos turísticos anuales en cantidad de personas","8187257","EMTUR","original"
"2011","Arribos turísticos anuales en cantidad de personas","8542696","EMTUR","original"
"2012","Arribos turísticos anuales en cantidad de personas","8621946","EMTUR","original"
"2013","Arribos turísticos anuales en cantidad de personas","8476928","EMTUR","original"
"2014","Arribos turísticos anuales en cantidad de personas","8437644","EMTUR","original"
"2015","Arribos turísticos anuales en cantidad de personas","8846314","EMTUR","original"
"2016","Arribos turísticos anuales en cantidad de personas","8452695","EMTUR","original"
"2017","Arribos turísticos anuales en cantidad de personas","8570980","EMTUR","original"
"2018","Arribos turísticos anuales en cantidad de personas","8355935","EMTUR","original"
"2019","Arribos turísticos anuales en cantidad de personas","8063024","EMTUR","original"
"2020","Arribos turísticos anuales en cantidad de personas","3685937","EMTUR","original"
"2021","Arribos turísticos anuales en cantidad de personas","6216303","EMTUR","original"
"2022","Arribos turísticos anuales en cantidad de personas","8860018","EMTUR","original"
"2023","Arribos turísticos anuales en cantidad de personas","9281017","EMTUR","original"
"2024","Arribos turísticos anuales en cantidad de personas","8508365","EMTUR","original"
