"residencia","localidad","share","top_10"
"no_residentes","Bahia Blanca","0.132145857458576","Resto destinos"
"no_residentes","Bariloche","5.83931121401344","Top 10"
"no_residentes","Caba","59.5020790225606","Top 10"
"no_residentes","Cafayate","0.485663258416329","Resto destinos"
"no_residentes","Calafate","4.74588273651708","Top 10"
"no_residentes","Carlos Paz","0.0998676245372452","Resto destinos"
"no_residentes","Catamarca","0.042989586972644","Resto destinos"
"no_residentes","Cordoba","1.4790852802661","Top 10"
"no_residentes","Corrientes","0.431054575523616","Resto destinos"
"no_residentes","Formosa","0.375265828201521","Resto destinos"
"no_residentes","Gualeguaychu","0.442502802386037","Resto destinos"
"no_residentes","Jujuy","0.445989599093668","Resto destinos"
"no_residentes","La Angostura","0.487387967966964","Resto destinos"
"no_residentes","La Falda","0.00423968849289273","Resto destinos"
"no_residentes","La Rioja","0.0439827633702234","Resto destinos"
"no_residentes","Las Grutas","0.0144918319517769","Resto destinos"
"no_residentes","Malargue Las Lenas","0.119757850779091","Resto destinos"
"no_residentes","Mar Chiquita","0.000886383236549361","Resto destinos"
"no_residentes","Mar Del Plata","0.377513824241204","Resto destinos"
"no_residentes","Mendoza","5.99719422328026","Top 10"
"no_residentes","Merlo","0.00123880066794851","Resto destinos"
"no_residentes","Mina Clavero","0.00364164679112448","Resto destinos"
"no_residentes","Neuquen","0.528877111027136","Resto destinos"
"no_residentes","Parana","0.0854558874562408","Resto destinos"
"no_residentes","Pinamar","0.0138243746953391","Resto destinos"
"no_residentes","Posadas","0.832009498610915","Resto destinos"
"no_residentes","Puerto Iguazu","4.56315429833663","Top 10"
"no_residentes","Puerto Madryn","0.462115366409204","Resto destinos"
"no_residentes","Quebrada","0","Resto destinos"
"no_residentes","Rafaela","0.0187849170251847","Resto destinos"
"no_residentes","Resistencia","0.284715906964148","Resto destinos"
"no_residentes","Rio Cuarto","0.0805434020488588","Resto destinos"
"no_residentes","Rio Gallegos","0.224762226361881","Resto destinos"
"no_residentes","Rosario","1.29954461794239","Top 10"
"no_residentes","Salta","2.96945325799503","Top 10"
"no_residentes","San Juan","0.330022905531144","Resto destinos"
"no_residentes","San Luis","0.129700294070988","Resto destinos"
"no_residentes","San Martin De Los Andes","1.05122915991534","Top 10"
"no_residentes","San Rafael","0.109735312616421","Resto destinos"
"no_residentes","Santa Fe","0.381598662650603","Resto destinos"
"no_residentes","Santa Rosa","0.150946793457915","Resto destinos"
"no_residentes","Santiago Del Estero","0.057748401826996","Resto destinos"
"no_residentes","Tandil","0.00822841305736485","Resto destinos"
"no_residentes","Termas","0.0917673632731164","Resto destinos"
"no_residentes","Tucuman","0.404105321337685","Resto destinos"
"no_residentes","Ushuaia","3.86282610693381","Top 10"
"no_residentes","Valle De Uco","0.897035854362108","Resto destinos"
"no_residentes","Valles","0","Resto destinos"
"no_residentes","Viedma","0.00232275125240345","Resto destinos"
"no_residentes","Villa General Belgrano","0.082300149547803","Resto destinos"
"no_residentes","Villa Gesell","0.00501927856841205","Resto destinos"
"no_residentes","Yungas","0","Resto destinos"
"residentes","Bahia Blanca","1.00522970068201","Resto destinos"
"residentes","Bariloche","4.80090872589899","Top 10"
"residentes","Caba","18.7902649502392","Top 10"
"residentes","Cafayate","1.01516713325603","Resto destinos"
"residentes","Calafate","2.27963804850792","Resto destinos"
"residentes","Carlos Paz","4.37591467162226","Top 10"
"residentes","Catamarca","0.66593404787695","Resto destinos"
"residentes","Cordoba","3.06102193641147","Top 10"
"residentes","Corrientes","0.76050339747025","Resto destinos"
"residentes","Formosa","0.502241725685448","Resto destinos"
"residentes","Gualeguaychu","0.720001621751901","Resto destinos"
"residentes","Jujuy","1.01862306453177","Resto destinos"
"residentes","La Angostura","0.632616551934337","Resto destinos"
"residentes","La Falda","0.910773375256219","Resto destinos"
"residentes","La Rioja","0.518323036083009","Resto destinos"
"residentes","Las Grutas","0.490453884625422","Resto destinos"
"residentes","Malargue Las Lenas","0.439077155353848","Resto destinos"
"residentes","Mar Chiquita","0.507217687111401","Resto destinos"
"residentes","Mar Del Plata","9.64119912903577","Top 10"
"residentes","Mendoza","3.54878932351689","Top 10"
"residentes","Merlo","1.46779269843302","Resto destinos"
"residentes","Mina Clavero","0.729804294741584","Resto destinos"
"residentes","Neuquen","1.83000617474212","Resto destinos"
"residentes","Parana","0.841770671964467","Resto destinos"
"residentes","Pinamar","2.49136129480718","Resto destinos"
"residentes","Posadas","1.24412221801698","Resto destinos"
"residentes","Puerto Iguazu","3.25971407580812","Top 10"
"residentes","Puerto Madryn","1.1808924414349","Resto destinos"
"residentes","Quebrada","0","Resto destinos"
"residentes","Rafaela","0.37556626738078","Resto destinos"
"residentes","Resistencia","1.16714551480472","Resto destinos"
"residentes","Rio Cuarto","0.853190459966195","Resto destinos"
"residentes","Rio Gallegos","0.761122132335969","Resto destinos"
"residentes","Rosario","3.44725015026056","Top 10"
"residentes","Salta","4.22765014829568","Top 10"
"residentes","San Juan","0.954558647943469","Resto destinos"
"residentes","San Luis","1.06705971642034","Resto destinos"
"residentes","San Martin De Los Andes","1.38787157075438","Resto destinos"
"residentes","San Rafael","1.09547949843758","Resto destinos"
"residentes","Santa Fe","1.14662003617962","Resto destinos"
"residentes","Santa Rosa","1.21799045087789","Resto destinos"
"residentes","Santiago Del Estero","1.21433455376733","Resto destinos"
"residentes","Tandil","1.43104390468707","Resto destinos"
"residentes","Termas","1.76794286552983","Resto destinos"
"residentes","Tucuman","2.3872298108371","Resto destinos"
"residentes","Ushuaia","1.78051028354011","Resto destinos"
"residentes","Valle De Uco","0.703542115101523","Resto destinos"
"residentes","Valles","0","Resto destinos"
"residentes","Viedma","0.279775387361716","Resto destinos"
"residentes","Villa General Belgrano","1.42045151155261","Resto destinos"
"residentes","Villa Gesell","2.58430193716613","Top 10"
"residentes","Yungas","0","Resto destinos"
