"anio","tipo_vuelo","fuente","pasajeros_miles"
"1933","Total","Fundación Norte y Sur","4.10589173409038"
"1933","Cabotaje","Fundación Norte y Sur",
"1933","Internacional","Fundación Norte y Sur",
"1934","Total","Fundación Norte y Sur","6.47657417047872"
"1934","Cabotaje","Fundación Norte y Sur",
"1934","Internacional","Fundación Norte y Sur",
"1935","Total","Fundación Norte y Sur","6.89146985606728"
"1935","Cabotaje","Fundación Norte y Sur",
"1935","Internacional","Fundación Norte y Sur",
"1936","Total","Fundación Norte y Sur","9.11510065705714"
"1936","Cabotaje","Fundación Norte y Sur",
"1936","Internacional","Fundación Norte y Sur",
"1937","Total","Fundación Norte y Sur","10.9868579019149"
"1937","Cabotaje","Fundación Norte y Sur",
"1937","Internacional","Fundación Norte y Sur",
"1938","Total","Fundación Norte y Sur","22.5829297219093"
"1938","Cabotaje","Fundación Norte y Sur",
"1938","Internacional","Fundación Norte y Sur",
"1939","Total","Fundación Norte y Sur","37.7082407914671"
"1939","Cabotaje","Fundación Norte y Sur",
"1939","Internacional","Fundación Norte y Sur",
"1940","Total","Fundación Norte y Sur","42.7500111479864"
"1940","Cabotaje","Fundación Norte y Sur",
"1940","Internacional","Fundación Norte y Sur",
"1941","Total","Fundación Norte y Sur","57.8753222175442"
"1941","Cabotaje","Fundación Norte y Sur",
"1941","Internacional","Fundación Norte y Sur",
"1942","Total","Fundación Norte y Sur","58.4005066296816"
"1942","Cabotaje","Fundación Norte y Sur",
"1942","Internacional","Fundación Norte y Sur",
"1943","Total","Fundación Norte y Sur","70.5847849912699"
"1943","Cabotaje","Fundación Norte y Sur",
"1943","Internacional","Fundación Norte y Sur",
"1944","Total","Fundación Norte y Sur","83.0841740001406"
"1944","Cabotaje","Fundación Norte y Sur",
"1944","Internacional","Fundación Norte y Sur",
"1945","Total","Fundación Norte y Sur","93.4828253604616"
"1945","Cabotaje","Fundación Norte y Sur",
"1945","Internacional","Fundación Norte y Sur",
"1946","Total","Fundación Norte y Sur","151.148073813151"
"1946","Cabotaje","Fundación Norte y Sur",
"1946","Internacional","Fundación Norte y Sur",
"1947","Total","Fundación Norte y Sur","246.206452410025"
"1947","Cabotaje","Fundación Norte y Sur",
"1947","Internacional","Fundación Norte y Sur",
"1948","Total","Fundación Norte y Sur","385.06521097916"
"1948","Cabotaje","Fundación Norte y Sur",
"1948","Internacional","Fundación Norte y Sur",
"1949","Total","Fundación Norte y Sur","457.120512324414"
"1949","Cabotaje","Fundación Norte y Sur",
"1949","Internacional","Fundación Norte y Sur",
"1950","Total","Fundación Norte y Sur","509.11376912602"
"1950","Cabotaje","Fundación Norte y Sur",
"1950","Internacional","Fundación Norte y Sur",
"1951","Total","Fundación Norte y Sur","486.320765639255"
"1951","Cabotaje","Fundación Norte y Sur",
"1951","Internacional","Fundación Norte y Sur",
"1952","Total","Fundación Norte y Sur","416.681312589833"
"1952","Cabotaje","Fundación Norte y Sur",
"1952","Internacional","Fundación Norte y Sur",
"1953","Total","Fundación Norte y Sur","430.966328599971"
"1953","Cabotaje","Fundación Norte y Sur",
"1953","Internacional","Fundación Norte y Sur",
"1954","Total","Fundación Norte y Sur","494.408605586172"
"1954","Cabotaje","Fundación Norte y Sur",
"1954","Internacional","Fundación Norte y Sur",
"1955","Total","Fundación Norte y Sur","577.282705821457"
"1955","Cabotaje","Fundación Norte y Sur",
"1955","Internacional","Fundación Norte y Sur",
"1956","Total","Fundación Norte y Sur","768.02968430977"
"1956","Cabotaje","Fundación Norte y Sur",
"1956","Internacional","Fundación Norte y Sur",
"1957","Total","Fundación Norte y Sur","905.628000289775"
"1957","Cabotaje","Fundación Norte y Sur",
"1957","Internacional","Fundación Norte y Sur",
"1958","Total","Fundación Norte y Sur","1033.24781243917"
"1958","Cabotaje","Fundación Norte y Sur","497.162180794477"
"1958","Internacional","Fundación Norte y Sur","533.766270303859"
"1959","Total","Fundación Norte y Sur","1090.17780271487"
"1959","Cabotaje","Fundación Norte y Sur","421.93637170211"
"1959","Internacional","Fundación Norte y Sur","671.814845361247"
"1960","Total","Fundación Norte y Sur","1440.68587937538"
"1960","Cabotaje","Fundación Norte y Sur","611.171526103611"
"1960","Internacional","Fundación Norte y Sur","831.093373023089"
"1961","Total","Fundación Norte y Sur","1467.47028439439"
"1961","Cabotaje","Fundación Norte y Sur","631.632131824269"
"1961","Internacional","Fundación Norte y Sur","836.912750894361"
"1962","Total","Fundación Norte y Sur","1360.75281184807"
"1962","Cabotaje","Fundación Norte y Sur","584.806865000874"
"1962","Internacional","Fundación Norte y Sur","776.994712071638"
"1963","Total","Fundación Norte y Sur","1294.47453903632"
"1963","Cabotaje","Fundación Norte y Sur","564.957023630087"
"1963","Internacional","Fundación Norte y Sur","730.008624073963"
"1964","Total","Fundación Norte y Sur","1582.69574441734"
"1964","Cabotaje","Fundación Norte y Sur","696.882123202086"
"1964","Internacional","Fundación Norte y Sur","886.054164029543"
"1965","Total","Fundación Norte y Sur","1727.7516790497"
"1965","Cabotaje","Fundación Norte y Sur","729.965192153397"
"1965","Internacional","Fundación Norte y Sur","999.855331289966"
"1966","Total","Fundación Norte y Sur","1772.81250161109"
"1966","Cabotaje","Fundación Norte y Sur","775.161754043804"
"1966","Internacional","Fundación Norte y Sur","998.238837436835"
"1967","Total","Fundación Norte y Sur","2040.65655180118"
"1967","Cabotaje","Fundación Norte y Sur","979.462429075441"
"1967","Internacional","Fundación Norte y Sur","1056.75591492018"
"1968","Total","Fundación Norte y Sur","2230.14308770036"
"1968","Cabotaje","Fundación Norte y Sur","1027.81460677351"
"1968","Internacional","Fundación Norte y Sur","1199.97727030759"
"1969","Total","Fundación Norte y Sur","2569.83236547085"
"1969","Cabotaje","Fundación Norte y Sur","1197.09812574591"
"1969","Internacional","Fundación Norte y Sur","1369.27805985884"
"1970","Total","Fundación Norte y Sur","2738.73167241424"
"1970","Cabotaje","Fundación Norte y Sur","1238.22292530385"
"1970","Internacional","Fundación Norte y Sur","1499.02863313682"
"1971","Total","Fundación Norte y Sur","3152.0518047664"
"1971","Cabotaje","Fundación Norte y Sur","1640.81842592673"
"1971","Internacional","Fundación Norte y Sur","1496.87330799931"
"1972","Total","Fundación Norte y Sur","3315.06904629385"
"1972","Cabotaje","Fundación Norte y Sur","1861.10076811331"
"1972","Internacional","Fundación Norte y Sur","1430.92035879157"
"1973","Total","Fundación Norte y Sur","3386.28405257969"
"1973","Cabotaje","Fundación Norte y Sur","1765.10897112535"
