"geocodigoFundar","geonombreFundar","balanza","gdp_current_prices","ratio_balanza_pib"
"MAC","Macao","238465692020.345","332842677050.846","71.6451670600871"
"MDV","Maldivas","27074007492.1716","42089882211.2836","64.324265286049"
"ABW","Aruba","12660615310.1043","25087267866.8804","50.4662977941034"
"LCA","Santa Lucía","7803774775.91663","16162740740.7407","48.2824967689173"
"ATG","Antigua y Barbuda","6187185971.89945","13320707407.4074","46.4478783496053"
"SYC","Seychelles","6304771741.79801","13966032250.006","45.1436143704688"
"AND","Andorra","11366290615.4719","25651670389.4548","44.3101382596294"
"GRD","Granada","4005685414.0984","9274848148.14815","43.1886899937891"
"SXM","San Martín (parte holandesa)","4832009052.30727","11201675049.8324","43.1364865594773"
"BHS","Bahamas","29380948945.6537","98415800000","29.8538943397845"
"KNA","Saint Kitts y Nevis","2358557071.11111","8027673851.85186","29.3803300263255"
"TCA","Islas Turcas y Caicos","2051502371.92371","8818712776.24485","23.2630591785446"
"VCT","San Vicente y las Granadinas","1584098203.71297","7227233333.33333","21.9184593972747"
"BLZ","Belice","4120351504.23552","19565000000","21.0598083528521"
"MNE","Montenegro","9204545839.6228","44674345805.75","20.6036499776525"
"JAM","Jamaica","25380780541.801","125438765355.373","20.2336020048477"
"CPV","Cabo Verde","3033306540.93849","16958039161.7307","17.8871301806153"
"HRV","Croacia","90497278731.4571","514539362180.541","17.5880186013259"
"PLW","Palau","379230000","2186595218.75","17.3434020502795"
"WSM","Samoa","1204696290.82612","7004124727.09692","17.1998120788099"
"DMA","Dominica","750223021.307436","4584722222.22222","16.3635436334854"
"GEO","Georgia","21364508229.26","158084943624.132","13.5145749743613"
"CUW","Curazao","2750794698.70391","23761148282.6534","11.5768592745667"
"GMB","Gambia","1458958524.59444","14900944651.8421","9.79104720326628"
"FJI","Fiji","3763265319.41844","40458563338.3821","9.30152978479174"
"JOR","Jordania","32271549295.7747","359103776056.338","8.98669171629978"
"STP","Santo Tomé y Príncipe","318662547.343065","3626381232.05756","8.78734272409248"
"MUS","Mauricio","9003798493.51279","105944663914.848","8.49858611166063"
"DOM","Rep. Dominicana","59915300000","738269186607.407","8.11564414266438"
"GRC","Grecia","132147193683.99","1686128553503.92","7.83731426701579"
"MLT","Malta","10615855293.1363","136321827957.867","7.78734811010405"
"KHM","Camboya","19894505606.2257","279681877084.097","7.11326232991624"
"BHR","Bahrein","22759840425.5319","320542393617.021","7.1004150710639"
"CYM","Islas Caimán","3323166242.42061","47003335653.3426","7.07006470121507"
"ALB","Albania","8954819091.07239","131683432790.207","6.80026249417334"
"PRT","Portugal","126003719594.957","1941064903860.96","6.49147379586967"
"VUT","Vanuatu","476088406.883142","7520562399.40728","6.33048941819383"
"CYP","Chipre","13624688396.2659","216734777149.547","6.28634157169193"
"THA","Tailandia","230885062892.06","3937786366471.98","5.86332120142208"
"PAN","Panamá","28100289922.55","545234542500","5.15379854579738"
"MAR","Marruecos","51524068880.9702","1025119667469.3","5.02615163048887"
"LBN","Líbano","14276081311.834","286518959506.251","4.98259568457024"
"ISL","Islandia","9888730202.23599","204014211001.161","4.84707910968991"
"BIH","Bosnia y Herzegovina","8221036289.01445","172358157236.885","4.76974018567375"
"SMR","San Marino","544815572.228234","11500360334.3386","4.73737827676133"
"BRB","Barbados","2010771248.6284","45687929350","4.40109954037213"
"CRI","Costa Rica","22915683614.0082","529298803740.924","4.32944179205528"
"SLV","El Salvador","9047748356.40446","222041480000","4.07480095899399"
"TUR","Turquía","274533000000","6834224511455.95","4.01703221104034"
"ESP","España","427928912560.449","11217526575279.1","3.81482414762901"
"LUX","Luxemburgo","20402594521.4907","595500217546.422","3.42612713149852"
"TZA","Tanzanía","16389462656.5724","512636482985.115","3.19709252083181"
"BGR","Bulgaria","18394520000","596380271367.799","3.08436091586533"
"NIC","Nicaragua","3322000000","113101034464.82","2.93719683088601"
"TUN","Túnez","10194740442.8947","353529177651.277","2.8837055290952"
"ARM","Armenia","3155829374.0933","118270689536.103","2.66831062410435"
"UGA","Uganda","7939581559.71581","300688089317.355","2.64047092046141"
"HUN","Hungría","31938410742.374","1325102112174.83","2.41026034514087"
"BMU","Bermuda","1365739774.73776","58835103000","2.32130089878105"
"NZL","Nueva Zelanda","40691167691.7356","1785409228960.69","2.27909473255173"
"AUT","Austria","80987110401.6273","3602502907819.44","2.24807897381124"
"MDG","Madagascar","2474206093.72309","111420634183.079","2.22059954322072"
"SVN","Eslovenia","9673980743.2554","444033088094.047","2.17866213186492"
"ARE","Emiratos Árabes Unidos","73492171545.2689","3386325460093.5","2.17026308933813"
"LKA","Sri Lanka","14365024795.0637","697312726987.568","2.06005487052007"
"EGY","Egipto","57089052000","2843311761911.52","2.00783652235236"
"BWA","Botswana","2764840248.17881","138374925429.622","1.99807894356193"
"ZMB","Zambia","3708665482.37776","193428109328.434","1.91733533210553"
"NAM","Namibia","1855648901.64202","97745650279.6436","1.89844652558261"
"TON","Tonga","63688402.0674121","3397981821.80218","1.87430084701377"
"COM","Comoras","175099240.510986","9590121286.62197","1.82582925989942"
"URY","Uruguay","8951344533.45648","511888679871.351","1.74868968301978"
"SDN","Sudán","6418754424.17838","370782339523.766","1.73113812066202"
"KGZ","Kirguistán","1239558306","75800576745.6124","1.6352887526964"
"HTI","Haití","2023827036.02084","136072609383.769","1.48731404886416"
"MMR","Myanmar","7884326805.81608","546639098391.427","1.44232763975665"
"KEN","Kenia","11058309226.6423","782281803012.581","1.41359663283187"
"MYS","Malasia","36252226039.6463","2862883693065.59","1.2662835772007"
"MEX","México","132007538260","10554422721302.8","1.25073196086376"
"MKD","Macedonia del Norte","1281115908.1","103326319844.799","1.23987374177683"
"SEN","Senegal","2236546704.97516","197076682135.879","1.13486115188053"
"ZAF","Sudáfrica","33849126061.6193","3046105889890.06","1.11122617811691"
"ITA","Italia","153160303335.622","16467500119191.4","0.930076224241996"
"MDA","Moldavia","887098911.71","96757014273.6358","0.916831630625993"
"BEN","Benin","1099991580.96429","123596240200.6","0.889987898643984"
"BTN","Bhután","161111443.715766","18392517098.7927","0.87596190804325"
