"anio","geocodigoFundar","geonombreFundar","arribos_turistas"
"1960","ARG","Argentina","429318.679107208"
"1965","ARG","Argentina","457668.318174706"
"1966","ARG","Argentina","479104.749054162"
"1967","ARG","Argentina","598448.397503878"
"1968","ARG","Argentina","708499.318327035"
"1969","ARG","Argentina","879445.180843447"
"1970","ARG","Argentina","1030294.85271244"
"1971","ARG","Argentina","880626.786446249"
"1972","ARG","Argentina","1083845.1593288"
"1973","ARG","Argentina","1124242.13481835"
"1974","ARG","Argentina","1292934.49605966"
"1975","ARG","Argentina","1757803.6403483"
"1976","ARG","Argentina","1911401.99074628"
"1977","ARG","Argentina","2086780.72748149"
"1978","ARG","Argentina","2234866.89515522"
"1982","ARG","Argentina","1921234.37262556"
"1983","ARG","Argentina","1946538.81983841"
"1984","ARG","Argentina","2384125.77303198"
"1985","ARG","Argentina","2228444.41652116"
"1986","ARG","Argentina","2630789.27839199"
"1987","ARG","Argentina","2732528.93069656"
"1988","ARG","Argentina","3141766.24482263"
"1989","ARG","Argentina","3679313.77036674"
"1990","ARG","Argentina","2861404"
"1991","ARG","Argentina","2564972"
"1992","ARG","Argentina","2576904"
"1993","ARG","Argentina","2922434"
"1994","ARG","Argentina","3201690"
"1995","ARG","Argentina","3521984"
"1996","ARG","Argentina","4024090"
"1997","ARG","Argentina","4228207"
"1998","ARG","Argentina","4588422"
"1999","ARG","Argentina","4380262"
"2000","ARG","Argentina","4395305"
"2001","ARG","Argentina","3957072"
"2002","ARG","Argentina","4248388"
"2003","ARG","Argentina","4318065"
"2004","ARG","Argentina","4500915"
"2005","ARG","Argentina","4684628"
"2006","ARG","Argentina","5195042"
"2007","ARG","Argentina","5722253"
"2008","ARG","Argentina","5971777"
"2009","ARG","Argentina","5575899"
"2010","ARG","Argentina","6738593"
"2011","ARG","Argentina","6674029"
"2012","ARG","Argentina","6461769"
"2013","ARG","Argentina","6510286"
"2014","ARG","Argentina","7165219"
"2015","ARG","Argentina","6815623"
"2016","ARG","Argentina","6668207"
"2017","ARG","Argentina","6711248"
"2018","ARG","Argentina","6941767"
"2019","ARG","Argentina","7398973"
"2020","ARG","Argentina","2089504"
"2021","ARG","Argentina","297421"
"2022","ARG","Argentina","3889701"
"2023","ARG","Argentina","7285646"
"2024","ARG","Argentina","6603828"
"2025","ARG","Argentina","4559995"
