"anio","grupo_edad","poblacion","share"
"1964","20 a 64","11786619","54.5760943701043"
"1964","65 y más","1247616","5.77689060396811"
"1964","menores de 20","8562435","39.6470150259276"
"1965","20 a 64","11967296","54.5399997274663"
"1965","65 y más","1297487","5.9131938097287"
"1965","menores de 20","8677454","39.546806462805"
"1966","20 a 64","12154398","54.5455549072294"
"1966","65 y más","1349805","6.05754910622087"
"1966","menores de 20","8778819","39.3968959865498"
"1967","20 a 64","12349218","54.5827507673782"
"1967","65 y más","1403921","6.20524069136105"
"1967","menores de 20","8871624","39.2120085412607"
"1968","20 a 64","12550865","54.6322685563341"
"1968","65 y más","1458014","6.34654363718316"
"1968","menores de 20","8964476","39.0211878064828"
"1969","20 a 64","12754179","54.673706847162"
"1969","65 y más","1510197","6.47380502182567"
"1969","menores de 20","9063435","38.8524881310124"
"1970","20 a 64","12953825","54.6814593114256"
"1970","65 y más","1560152","6.58580674878959"
"1970","menores de 20","9175634","38.7327339397848"
"1971","20 a 64","13159142","54.6770203551803"
"1971","65 y más","1615837","6.71389916908363"
"1971","menores de 20","9292064","38.6090804757361"
"1972","20 a 64","13358425","54.6415559659518"
"1972","65 y más","1670225","6.83192014127653"
"1972","menores de 20","9418723","38.5265238927716"
"1973","20 a 64","13561678","54.5933074390723"
"1973","65 y más","1724491","6.94203677000097"
"1973","menores de 20","9555114","38.4646557909267"
"1974","20 a 64","13767173","54.5218876272354"
"1974","65 y más","1778687","7.0441021361484"
"1974","menores de 20","9704867","38.4340102366162"
"1975","20 a 64","13968338","54.4108450717502"
"1975","65 y más","1836681","7.15442061448021"
"1975","menores de 20","9866955","38.4347343137696"
"1976","20 a 64","14155758","54.2860376232909"
"1976","65 y más","1895208","7.26794939500674"
"1976","menores de 20","10025275","38.4460129817024"
"1977","20 a 64","14336180","54.1226370485865"
"1977","65 y más","1955042","7.38076869715242"
"1977","menores de 20","10197103","38.4965942542611"
"1978","20 a 64","14512512","53.9192209928299"
"1978","65 y más","2018380","7.49901032071553"
