"anio","poblacion","fuente"
"1820","534000","Maddison Project Database"
"1850","1100000","Maddison Project Database"
"1870","1819048","Lattes et al (1975)"
"1875","2086986","Lattes et al (1975)"
"1880","2345762","Lattes et al (1975)"
"1885","2738723","Lattes et al (1975)"
"1890","3595050","Lattes et al (1975)"
"1895","4049420","Lattes et al (1975)"
"1900","4692719","Lattes et al (1975)"
"1905","5396482","Lattes et al (1975)"
"1910","6770080","Lattes et al (1975)"
"1915","8235651","Lattes et al (1975)"
"1920","8972453","Lattes et al (1975)"
"1925","10424787","Lattes et al (1975)"
"1930","11935738","Lattes et al (1975)"
"1935","13092536","Lattes et al (1975)"
"1940","14152653","Lattes et al (1975)"
"1945","15290566","Lattes et al (1975)"
"1950","17018036","World Population Prospects (UN)"
"1951","17356467","World Population Prospects (UN)"
"1952","17698877","World Population Prospects (UN)"
"1953","18041302","World Population Prospects (UN)"
"1954","18381213","World Population Prospects (UN)"
"1955","18716029","World Population Prospects (UN)"
"1956","19049964","World Population Prospects (UN)"
"1957","19383035","World Population Prospects (UN)"
"1958","19714253","World Population Prospects (UN)"
"1959","20049609","World Population Prospects (UN)"
"1960","20386045","World Population Prospects (UN)"
"1961","20726276","World Population Prospects (UN)"
"1962","21072538","World Population Prospects (UN)"
"1963","21421705","World Population Prospects (UN)"
"1964","21769453","World Population Prospects (UN)"
"1965","22112629","World Population Prospects (UN)"
"1966","22453893","World Population Prospects (UN)"
"1967","22799059","World Population Prospects (UN)"
"1968","23150583","World Population Prospects (UN)"
"1969","23508711","World Population Prospects (UN)"
"1970","23878327","World Population Prospects (UN)"
"1971","24257208","World Population Prospects (UN)"
"1972","24644328","World Population Prospects (UN)"
"1973","25046005","World Population Prospects (UN)"
"1974","25461351","World Population Prospects (UN)"
"1975","25874107","World Population Prospects (UN)"
"1976","26282283","World Population Prospects (UN)"
"1977","26701805","World Population Prospects (UN)"
"1978","27132158","World Population Prospects (UN)"
"1979","27568895","World Population Prospects (UN)"
"1980","28011596","World Population Prospects (UN)"
"1981","28463959","World Population Prospects (UN)"
"1982","28924262","World Population Prospects (UN)"
"1983","29391332","World Population Prospects (UN)"
"1984","29863093","World Population Prospects (UN)"
"1985","30336441","World Population Prospects (UN)"
"1986","30811980","World Population Prospects (UN)"
"1987","31291762","World Population Prospects (UN)"
"1988","31780532","World Population Prospects (UN)"
"1989","32270948","World Population Prospects (UN)"
"1990","32755901","World Population Prospects (UN)"
"1991","33230294","World Population Prospects (UN)"
"1992","33693527","World Population Prospects (UN)"
"1993","34152717","World Population Prospects (UN)"
"1994","34613491","World Population Prospects (UN)"
"1995","35070020","World Population Prospects (UN)"
"1996","35513793","World Population Prospects (UN)"
"1997","35947792","World Population Prospects (UN)"
"1998","36372860","World Population Prospects (UN)"
"1999","36794682","World Population Prospects (UN)"
"2000","37213984","World Population Prospects (UN)"
"2001","37624826","World Population Prospects (UN)"
"2002","38029349","World Population Prospects (UN)"
"2003","38424282","World Population Prospects (UN)"
"2004","38815916","World Population Prospects (UN)"
"2005","39216790","World Population Prospects (UN)"
"2006","39622115","World Population Prospects (UN)"
"2007","40016763","World Population Prospects (UN)"
"2008","40424148","World Population Prospects (UN)"
"2009","40854831","World Population Prospects (UN)"
"2010","41288694","World Population Prospects (UN)"
"2011","41730660","World Population Prospects (UN)"
"2012","42161722","World Population Prospects (UN)"
"2013","42582455","World Population Prospects (UN)"
"2014","43024071","World Population Prospects (UN)"
"2015","43477012","World Population Prospects (UN)"
"2016","43900313","World Population Prospects (UN)"
"2017","44288894","World Population Prospects (UN)"
"2018","44654882","World Population Prospects (UN)"
"2019","44973466","World Population Prospects (UN)"
"2020","45191965","World Population Prospects (UN)"
"2021","45312281","World Population Prospects (UN)"
"2022","45407904","World Population Prospects (UN)"
"2023","45538401","World Population Prospects (UN)"
"2024","45696159","World Population Prospects (UN)"
"2025","45851378","World Population Prospects (UN)"
