"anio","edad","poblacion"
"1950","3","379702"
"1950","6","349689"
"1951","3","391517"
"1951","6","359897"
"1952","3","399581"
"1952","6","370542"
"1953","3","402113"
"1953","6","381657"
"1954","3","411566"
"1954","6","392996"
"1955","3","418511"
"1955","6","400582"
"1956","3","424462"
"1956","6","402677"
"1957","3","429664"
"1957","6","411798"
"1958","3","433418"
"1958","6","418417"
"1959","3","438054"
"1959","6","424158"
"1960","3","443759"
"1960","6","429214"
"1961","3","446590"
"1961","6","432922"
"1962","3","445552"
"1962","6","437291"
"1963","3","455780"
"1963","6","442676"
"1964","3","459649"
"1964","6","445514"
"1965","3","461927"
"1965","6","444644"
"1966","3","468233"
"1966","6","454918"
"1967","3","471678"
"1967","6","458867"
"1968","3","473175"
"1968","6","461282"
"1969","3","469600"
"1969","6","467647"
"1970","3","471249"
"1970","6","471129"
"1971","3","481904"
"1971","6","472605"
"1972","3","495297"
"1972","6","469620"
"1973","3","510616"
"1973","6","471883"
"1974","3","524354"
"1974","6","482555"
"1975","3","542501"
"1975","6","495877"
"1976","3","557437"
"1976","6","510139"
"1977","3","575064"
"1977","6","523027"
"1978","3","595557"
"1978","6","540672"
"1979","3","612492"
"1979","6","555541"
"1980","3","631080"
"1980","6","573163"
"1981","3","648927"
"1981","6","593783"
"1982","3","658728"
"1982","6","610955"
"1983","3","664375"
"1983","6","629865"
"1984","3","666363"
"1984","6","648060"
"1985","3","666116"
"1985","6","658150"
"1986","3","665075"
"1986","6","663983"
"1987","3","662662"
"1987","6","665980"
"1988","3","665706"
"1988","6","665729"
"1989","3","664084"
"1989","6","664676"
"1990","3","670403"
"1990","6","662252"
"1991","3","675344"
"1991","6","665166"
"1992","3","686149"
"1992","6","663267"
"1993","3","690063"
"1993","6","669338"
"1994","3","702534"
"1994","6","674121"
"1995","3","707465"
"1995","6","684893"
"1996","3","711803"
"1996","6","688809"
"1997","3","717700"
"1997","6","701270"
"1998","3","721845"
"1998","6","706214"
"1999","3","716239"
"1999","6","710548"
"2000","3","707503"
"2000","6","716463"
"2001","3","700425"
"2001","6","720625"
"2002","3","700360"
"2002","6","715045"
"2003","3","706720"
"2003","6","706267"
"2004","3","703745"
"2004","6","699098"
"2005","3","697733"
"2005","6","699085"
"2006","3","696551"
"2006","6","705450"
"2007","3","693290"
"2007","6","702499"
"2008","3","696488"
"2008","6","696543"
"2009","3","704654"
"2009","6","695439"
"2010","3","706890"
"2010","6","692272"
"2011","3","706924"
"2011","6","695595"
"2012","3","734434"
"2012","6","703871"
"2013","3","733521"
"2013","6","706222"
"2014","3","745174"
"2014","6","706341"
"2015","3","747829"
"2015","6","733891"
"2016","3","727203"
"2016","6","733020"
"2017","3","743354"
"2017","6","744676"
"2018","3","765671"
"2018","6","747326"
"2019","3","758822"
"2019","6","726742"
"2020","3","728462"
"2020","6","742918"
"2021","3","707365"
"2021","6","765244"
"2022","3","677056"
"2022","6","758376"
"2023","3","618441"
"2023","6","728000"
