"anio","tasa_dependencia"
"1869","123.339856809274"
"1895","109.752401863682"
"1914","105.770669544847"
"1947","80.7702950786185"
"1950","79.7665849540104"
"1951","79.4963084300143"
"1952","79.4364481816267"
"1953","79.5319706973867"
"1954","79.7604679771958"
"1955","80.0349723916473"
"1956","80.3477542906447"
"1957","80.7488166955957"
"1958","81.1424304928364"
"1959","81.5319604308992"
"1960","81.9557838771671"
"1961","82.3512795551435"
"1962","82.7021419115872"
"1963","83.0049562762071"
"1964","83.2304072949164"
"1965","83.3516694163828"
"1966","83.3329960068775"
"1967","83.2080622432935"
"1968","83.042005471336"
"1969","82.9032742915087"
"1970","82.8773431785592"
"1971","82.8921900835176"
"1972","83.0108938740907"
"1973","83.1726354216639"
"1974","83.4125786027386"
"1975","83.7868900365956"
"1976","84.2094291241769"
"1977","84.7655721398587"
"1978","85.4626201170411"
"1979","86.2557453592752"
"1980","86.9224333476429"
"1981","87.5048969080894"
"1982","88.0441821975966"
"1983","88.4145038717498"
"1984","88.6864523735193"
"1985","88.9665502530986"
"1986","89.3569727926231"
"1987","89.831312283965"
"1988","90.2624417396811"
"1989","90.669811239317"
"1990","91.0074673028664"
"1991","91.3012731238442"
"1992","91.5699714524207"
"1993","91.7460772335838"
"1994","91.7729871114739"
"1995","91.6256827040033"
"1996","91.2481866746024"
"1997","90.6452765677558"
"1998","89.8451832138191"
"1999","88.9287162904373"
"2000","88.0281170954902"
"2001","87.1343976161303"
"2002","86.2618599674837"
"2003","85.4234393992136"
"2004","84.59612620926"
"2005","83.8288427077223"
"2006","83.1932448974689"
"2007","82.5757261439798"
"2008","81.924165695834"
"2009","81.4178332485077"
"2010","80.9489549112128"
"2011","80.4493482049492"
"2012","80.0089973452039"
"2013","79.4796640831755"
"2014","79.0146259203553"
"2015","78.6488785779431"
"2016","78.3554152896053"
"2017","77.9946267577647"
"2018","77.6408617839792"
"2019","77.2160184519654"
"2020","76.5201789328664"
"2021","75.4582963384472"
"2022","74.4078412803797"
"2023","73.2369597899466"
"2024","72.2758610011256"
"2025","71.3725935199281"
"2026","70.4486674240973"
"2027","69.5354594238924"
"2028","68.6629545619808"
"2029","67.6474031216118"
"2030","66.6553700177407"
"2031","65.5859664519934"
"2032","64.5170218401846"
"2033","63.6192016827437"
"2034","62.6937407965754"
"2035","61.7153237469686"
"2036","60.8365540796613"
"2037","60.2022066521617"
"2038","59.7417042990698"
"2039","59.5088023746117"
"2040","59.6581469963571"
"2041","60.3442416529265"
"2042","61.1104599020095"
"2043","62.1124108055656"
"2044","63.0981046969566"
"2045","64.0732569293908"
"2046","65.0260913576049"
"2047","65.9388245219901"
"2048","66.8096487979593"
"2049","67.6331483865585"
"2050","68.433159030089"
"2051","69.1807042747783"
"2052","69.9165269020656"
"2053","70.634641573914"
"2054","71.3650525167021"
"2055","72.0789145333516"
"2056","72.8257353348932"
"2057","73.5636960387148"
"2058","74.2952512378519"
"2059","75.0404712642491"
"2060","75.8031507540754"
"2061","76.5322722955878"
"2062","77.2208188232369"
"2063","77.8816171969718"
"2064","78.5577456057726"
"2065","79.2957215328111"
"2066","80.0431095237219"
"2067","80.791982528883"
"2068","81.5742739050904"
"2069","82.3775625220896"
"2070","83.2431216384337"
"2071","84.2117162890357"
"2072","85.2514751088136"
"2073","86.3488961981133"
"2074","87.700275158191"
"2075","89.1044938085541"
"2076","90.6627924600811"
"2077","92.3117896614247"
"2078","93.8726417690052"
"2079","95.6130470934733"
"2080","97.5839041345235"
"2081","99.5553045132956"
"2082","101.313765201065"
"2083","102.920016691882"
"2084","104.274901860694"
"2085","105.109854332393"
"2086","105.105749764507"
"2087","105.046762635829"
"2088","104.669593983602"
"2089","104.349326333258"
"2090","104.045180947935"
"2091","103.745420782921"
"2092","103.470744029144"
"2093","103.215811431518"
"2094","102.989686162986"
"2095","102.810029497716"
"2096","102.67445415322"
"2097","102.592249386825"
"2098","102.565653533796"
"2099","102.609606640553"
"2100","102.714347318689"
"2101","102.87795565435"
