"anio","tasa_migracion_neta","tasa_crecimiento_vegetativo"
"1870","1.02304147465438","1.72043010752688"
"1875","0.388016603501173","1.94730193105938"
"1880","1.17848362670862","1.91247910315665"
"1885","3.80498279074174","1.60346079762544"
"1890","0.819412649617372","1.55824448950226"
"1895","1.37861612198442","1.5648413996637"
"1900","0.969353367957816","1.82095706299806"
"1905","2.58215113507471","1.93381881544556"
"1910","1.96457369817004","1.94218235615562"
"1915","-0.160389583974989","1.87283895374853"
"1920","1.03540717216918","1.95966428144268"
"1925","0.86205585742716","1.84074595827464"
"1930","0.202651409210411","1.64614315052621"
"1935","0.242391320305962","1.31413973837593"
"1940","0.120638651238142","1.42524784925603"
"1945","0.450512538727563","1.57480706067887"
"1950","0.35538766047974","1.6231779037252"
"1951","0.313877242413447","1.6459110025099"
"1952","0.272045508876072","1.6753492326095"
"1953","0.231064254675189","1.65449256378503"
"1954","0.19380113815122","1.65394960604613"
"1955","0.162331443277845","1.60084706002539"
"1956","0.137874276297845","1.63580886557056"
"1957","0.121038836281315","1.57250399640717"
"1958","0.111792214495776","1.58330117808674"
"1959","0.105248935278488","1.57324763789658"
"1960","0.100004684577121","1.54983470310205"
"1961","0.126998212317543","1.53333864703915"
"1962","0.149241633826927","1.50410928194791"
"1963","0.153423828775534","1.4800689300875"
"1964","0.15861675532224","1.42874513199757"
"1965","0.163178245336635","1.37802700890971"
"1966","0.16813120112401","1.35380978256198"
"1967","0.174178241303731","1.35480591545467"
"1968","0.181481390771023","1.34961611981867"
"1969","0.181583754209238","1.35739045837094"
"1970","0.160626831184614","1.42008273862738"
"1971","0.146109148258118","1.42175059883231"
"1972","0.146281123997376","1.45207854724219"
"1973","0.154072475829978","1.48071918056393"
"1974","0.130134492863321","1.52430638892649"
"1975","-0.0204567446520956","1.58289520871194"
"1976","-0.0389425834886566","1.60685051599208"
"1977","-0.0549588314348037","1.65396309350623"
"1978","-0.0540502528401906","1.65269566836519"
"1979","-0.0370453730553945","1.63204582555812"
"1980","0.00689714359724451","1.58412608835284"
"1981","0.0582104548422094","1.5545377928629"
"1982","0.102391549350507","1.49334838690093"
"1983","0.157998963776123","1.44992748202089"
"1984","0.15959164042385","1.41737830036561"
"1985","0.154563285785567","1.41370241815775"
"1986","0.125230510989557","1.41742919474828"
"1987","0.130574302591206","1.41691925178263"
"1988","0.118292544630782","1.4338967012887"
"1989","0.0822876353059104","1.42847988227678"
"1990","0.0479882998791576","1.42464406642333"
"1991","-0.0256904136929995","1.4293132645772"
"1992","-0.0391796323370955","1.40452497003356"
"1993","-0.0481806469453075","1.39019393391161"
"1994","-0.0540916257190007","1.39237905821172"
"1995","-0.0565012509260046","1.33916376437767"
"1996","-0.0576846297437168","1.29017477800808"
"1997","-0.0574472000950712","1.25444422288857"
"1998","-0.0558823254481501","1.21016054277832"
"1999","-0.0549535935655049","1.20675862886925"
"2000","-0.0612001123018702","1.1758536790901"
"2001","-0.0629557728718799","1.14435346491702"
"2002","-0.0596223721841781","1.11716085384475"
"2003","-0.0584265959738688","1.06738754415762"
"2004","-0.0576593374738342","1.07677479516392"
"2005","-0.0562718162297322","1.0919685165461"
"2006","-0.0507519601111652","1.07160862058979"
"2007","-0.0452285458471491","1.00686054991504"
"2008","-0.030964165280614","1.09457099751366"
"2009","-0.0192927000481289","1.07528531937875"
"2010","-0.0121171185506618","1.0688277037777"
"2011","-0.00267668903391415","1.07531249206219"
"2012","0.0070632788670254","0.976065446283242"
"2013","0.0123877310502647","0.990295181430944"
"2014","0.013466879970517","1.04703016132527"
"2015","0.0125675609906219","1.02156514343718"
"2016","0.0118791863739104","0.892401382195156"
"2017","0.0111337167281712","0.847284648833181"
"2018","0.0128586164442222","0.774954460746308"
"2019","0.0120004093080129","0.62252262256149"
"2020","0.000646132559183917","0.334886964972645"
"2021","0.000692968866431597","0.195741635694747"
"2022","0.0123084298275472","0.212826383706238"
"2023","0.00907585665996485","0.339555181131634"
"2024","0.00755862215903092","0.335492092453547"
"2025","0.00623536330794682","0.328927955011516"
