"anio","provincia_id","provincia","tgf"
"2010","2","CABA","1.93589560654955"
"2010","6","Buenos Aires","2.31974685888076"
"2010","10","Catamarca","2.26587180045222"
"2010","14","Córdoba","2.21608346795105"
"2010","18","Corrientes","2.47407850224549"
"2010","22","Chaco","2.49937136305542"
"2010","26","Chubut","2.37226827049176"
"2010","30","Entre Ríos","2.32222039526331"
"2010","34","Formosa","2.68081530307685"
"2010","38","Jujuy","2.40029246991161"
"2010","42","La Pampa","2.2717025282118"
"2010","46","La Rioja","2.11490300992542"
"2010","50","Mendoza","2.46302849898446"
"2010","54","Misiones","2.55069109905704"
"2010","58","Neuquén","2.58168622014637"
"2010","62","Río Negro","2.34933654408432"
"2010","66","Salta","2.77759073755845"
"2010","70","San Juan","2.65067418231334"
"2010","74","San Luis","2.28392412840642"
"2010","78","Santa Cruz","2.63454855412633"
"2010","82","Santa Fe","2.06868861367143"
"2010","86","Santiago del Estero","2.47416750531927"
"2010","90","Tucumán","2.517716666547"
"2010","94","Tierra del Fuego","2.30278563136397"
"2011","2","CABA","1.93306628792456"
"2011","6","Buenos Aires","2.33965620593677"
"2011","10","Catamarca","2.16389164305538"
"2011","14","Córdoba","2.16571817991165"
"2011","18","Corrientes","2.47391853216879"
"2011","22","Chaco","2.65772207053956"
"2011","26","Chubut","2.30305017070885"
"2011","30","Entre Ríos","2.28003391418394"
"2011","34","Formosa","2.73366236638498"
"2011","38","Jujuy","2.44021676145258"
"2011","42","La Pampa","2.19296684933758"
"2011","46","La Rioja","2.12846394906376"
"2011","50","Mendoza","2.43255797332646"
"2011","54","Misiones","2.35785563517335"
"2011","58","Neuquén","2.35446369321437"
"2011","62","Río Negro","2.30868928044674"
"2011","66","Salta","2.75033930613012"
"2011","70","San Juan","2.65375352503632"
"2011","74","San Luis","2.20745908699566"
"2011","78","Santa Cruz","2.48460246424831"
"2011","82","Santa Fe","2.0867244317103"
"2011","86","Santiago del Estero","2.46480125935413"
"2011","90","Tucumán","2.43444789559163"
"2011","94","Tierra del Fuego","2.27064687317169"
"2012","2","CABA","1.86813644402408"
"2012","6","Buenos Aires","2.22574160856302"
"2012","10","Catamarca","2.06260550566095"
"2012","14","Córdoba","2.08429309945719"
"2012","18","Corrientes","2.28174270550655"
"2012","22","Chaco","2.36355482975892"
"2012","26","Chubut","2.2404931331002"
"2012","30","Entre Ríos","2.21793961277962"
"2012","34","Formosa","2.64444628704004"
"2012","38","Jujuy","2.2487377062773"
"2012","42","La Pampa","2.17094895746498"
"2012","46","La Rioja","2.08131466736927"
"2012","50","Mendoza","2.33138047022318"
"2012","54","Misiones","2.68247726829264"
"2012","58","Neuquén","2.31266901581757"
"2012","62","Río Negro","2.24965873061157"
"2012","66","Salta","2.57707997224566"
"2012","70","San Juan","2.61911167597437"
"2012","74","San Luis","2.13973023145173"
"2012","78","Santa Cruz","2.35482810793123"
"2012","82","Santa Fe","2.06897278167386"
"2012","86","Santiago del Estero","2.19908532419696"
"2012","90","Tucumán","2.32401953500845"
"2012","94","Tierra del Fuego","2.34384451179031"
"2013","2","CABA","1.86966986636703"
"2013","6","Buenos Aires","2.29317323087807"
"2013","10","Catamarca","2.11778495122315"
"2013","14","Córdoba","2.05223099097433"
"2013","18","Corrientes","2.26262080309502"
"2013","22","Chaco","2.35716202620098"
"2013","26","Chubut","2.29696471113354"
"2013","30","Entre Ríos","2.24373110271953"
