"anio","imr","prob_sobrevivir"
"1950","71.9957","1.26862094125735"
"1951","70.3774","1.42841793645705"
"1952","68.8103","1.67095068021853"
"1953","67.3408","1.75771641191221"
"1954","66.0098","1.82168316508694"
"1955","64.8515","1.45287460392034"
"1956","63.8812","2.04331469913858"
"1957","63.0844","1.57639742671887"
"1958","62.5968","2.45595181172624"
"1959","61.8138","2.21179677619708"
"1960","61.2133","2.37692952494621"
"1961","60.5499","2.82951624903969"
"1962","59.8","2.73589509545451"
"1963","58.97","2.96577768522029"
"1964","58.094","2.9038238885253"
"1965","57.2063","3.34104575444953"
"1966","56.3393","3.48479783001553"
"1967","55.4311","3.52230250239821"
"1968","54.4458","3.38617006766625"
"1969","53.381","3.28919465574914"
"1970","52.2041","4.07610933727149"
"1971","50.8498","4.7980567723341"
"1972","49.3747","5.03358701299219"
"1973","47.8088","5.17273652273388"
"1974","46.1652","5.64019746059502"
"1975","44.4469","5.70682392098606"
"1976","42.7427","5.86154839047728"
"1977","41.0348","6.18577137149465"
"1978","39.1762","6.36088282769048"
"1979","37.3658","6.18356776502156"
"1980","35.6615","5.80159152397971"
"1981","34.001","6.80327109627717"
"1982","32.5304","5.90648226051658"
"1983","31.2317","5.70645586507459"
"1984","30.1021","5.73689489191431"
"1985","29.1361","7.14848220119339"
"1986","28.2979","7.88908449430386"
"1987","27.5598","8.71525518630229"
"1988","26.8945","9.56953919233486"
"1989","26.2499","10.4853849423214"
"1990","25.6221","10.1489159778589"
"1991","24.9767","11.6721315869713"
"1992","24.3151","11.8890433229755"
"1993","23.6288","12.1993098419707"
"1994","22.9188","13.7561900583682"
"1995","22.1873","13.7884526057468"
"1996","21.4451","14.7942867238101"
"1997","20.7038","15.9823650329655"
"1998","19.977","15.1732431008229"
"1999","19.2718","15.6215453434955"
"2000","18.5965","15.9735330107693"
"2001","17.9415","17.2628827121026"
"2002","17.3167","17.5445366818634"
"2003","16.714","16.4910270379872"
"2004","16.1341","17.4092181915064"
"2005","15.5812","18.5554812808315"
"2006","15.059","18.8403648187088"
"2007","14.5662","17.031081194707"
"2008","14.1002","19.3993097205587"
"2009","13.6577","20.2341048121341"
"2010","13.2336","19.2115876189423"
"2011","12.8206","20.6044765455005"
"2012","12.4178","19.5116306258872"
"2013","12.0274","19.4372363868864"
"2014","11.6524","20.8089397720213"
"2015","11.2954","21.521191981253"
"2016","10.9588","19.8516299863609"
"2017","10.6404","20.7762067886493"
"2018","10.3384","21.8807509233094"
"2019","10.0494","21.5651861701816"
"2020","9.7706","18.7648418360132"
"2021","9.5","15.8706435417451"
"2022","9.2365","17.2443908986521"
"2023","8.9802","22.8404836362429"
