"anio","rango_etario","sexo","poblacion","share"
"1960","85+","M","32083","0.160330521848038"
"1960","00-04","V","1080908","5.40169384751175"
"1960","10-14","V","977614","4.88549583224599"
"1960","15-19","V","835705","4.17632449462378"
"1960","20-24","V","756648","3.78124766060763"
"1960","25-29","V","767118","3.83357009191857"
"1960","30-34","V","774978","3.87284939565343"
"1960","35-39","V","722898","3.61258652815831"
"1960","40-44","V","608338","3.04008817753925"
"1960","45-49","V","592744","2.96215923829734"
"1960","05-09","V","1051986","5.25716000239474"
"1960","50-54","V","522419","2.61071941194185"
"1960","55-59","V","443927","2.21846609021706"
"1960","60-64","V","331305","1.65565263662576"
"1960","65-69","V","237556","1.18715448830011"
"1960","70-74","V","160661","0.802881961494489"
"1960","75-79","V","85262","0.426085495552393"
"1960","80-84","V","37211","0.185957019246559"
"1960","85+","V","18619","0.0930459740762592"
"1970","00-04","M","1158350","4.952319469176"
"1970","10-14","M","1086850","4.6466339319497"
"1970","15-19","M","1039850","4.44569378859814"
"1970","20-24","M","980550","4.19216718219927"
"1970","25-29","M","860150","3.67741838944337"
"1970","30-34","M","795650","3.40166010760986"
"1970","35-39","M","767400","3.28088225548898"
"1970","40-44","M","769600","3.29028796432671"
"1970","45-49","M","698950","2.98823645096954"
"1970","05-09","M","1133950","4.84800160752115"
"1970","50-54","M","584800","2.5002084219572"
"1970","55-59","M","549250","2.34822071778384"
"1970","60-64","M","454750","1.94420276998125"
"1970","65-69","M","350450","1.49828666462876"
"1970","70-74","M","244200","1.04403368098828"
"1970","75-79","M","156550","0.669301690248631"
"1970","80-84","M","89400","0.382213804587848"
"1970","85+","M","52350","0.223813117116039"
"1970","00-04","V","1196950","5.11734690605621"
"1970","10-14","V","1114300","4.7639915263114"
"1970","15-19","V","1058850","4.52692491037856"
"1970","20-24","V","969950","4.14684876689019"
"1970","25-29","V","842550","3.60217271874152"
"1970","30-34","V","784700","3.35484532953115"
"1970","35-39","V","779000","3.33047599299702"
"1970","40-44","V","769500","3.28986043210681"
"1970","45-49","V","683550","2.92239648910541"
"1970","05-09","V","1163050","4.97241348351115"
"1970","50-54","V","562300","2.40401367248039"
"1970","55-59","V","517800","2.21376183462626"
"1970","60-64","V","436050","1.86425424486053"
"1970","65-69","V","322100","1.37708128028799"
"1970","70-74","V","202250","0.864683914741525"
"1970","75-79","V","123150","0.526505928803059"
"1970","80-84","V","62450","0.266993871325628"
"1970","85+","V","28500","0.121846682670623"
"1980","00-04","M","1600842","5.72804398655963"
"1980","10-14","M","1215954","4.35085910891464"
"1980","15-19","M","1165405","4.16998748293493"
"1980","20-24","M","1121363","4.01239884317157"
"1980","25-29","M","1075792","3.84933922047832"
"1980","30-34","M","990669","3.54475682679555"
"1980","35-39","M","870817","3.11590905301329"
"1980","40-44","M","778746","2.78646571139273"
"1980","45-49","M","751281","2.68819197289083"
"1980","05-09","M","1376543","4.9254697549107"
"1980","50-54","M","748089","2.67677053566898"
"1980","55-59","M","658336","2.35562133298334"
"1980","60-64","M","534046","1.91089375394088"
"1980","65-69","M","477192","1.70746192693243"
"1980","70-74","M","355620","1.2724597446221"
"1980","75-79","M","246515","0.882066289706759"
"1980","80-84","M","138393","0.495190150828094"
"1980","85+","M","85860","0.307219486174157"
"1980","00-04","V","1640002","5.86816412490787"
"1980","10-14","V","1240214","4.43766489431628"
"1980","15-19","V","1170002","4.18643621316953"
"1980","20-24","V","1096334","3.92284146465477"
"1980","25-29","V","1057605","3.78426350658303"
"1980","30-34","V","979584","3.50509309508998"
"1980","35-39","V","860191","3.07788768963003"
"1980","40-44","V","771698","2.76124694900564"
"1980","45-49","V","744396","2.66355644805611"
"1980","05-09","V","1407212","5.03520786836837"
"1980","50-54","V","710445","2.54207486437222"
"1980","55-59","V","617699","2.21021627521885"
"1980","60-64","V","468455","1.67619967849656"
"1980","65-69","V","397924","1.42382956925653"
"1980","70-74","V","282028","1.00913693508881"
"1980","75-79","V","180941","0.647433042718823"
"1980","80-84","V","86366","0.309030027287646"
"1980","85+","V","44887","0.160612171859998"
"1991","00-04","M","1654182","5.07176213734758"
"1991","10-14","M","1655580","5.07604843925875"
"1991","15-19","M","1432486","4.39203682368717"
"1991","20-24","M","1240288","3.80275309355715"
"1991","25-29","M","1166881","3.57768545093"
"1991","30-34","M","1120050","3.43410046895454"
"1991","35-39","M","1075966","3.29893785561282"
"1991","40-44","M","994036","3.047738488244"
"1991","45-49","M","857669","2.62963395840165"
"1991","05-09","M","1620423","4.96825622445848"
"1991","50-54","M","767093","2.35192574530757"
"1991","55-59","M","709111","2.17415152684329"
"1991","60-64","M","703455","2.15681009364619"
"1991","65-69","M","582553","1.78612162893699"
"1991","70-74","M","436134","1.33719742326416"
"1991","75-79","M","333540","1.0226417306505"
"1991","80-84","M","200706","0.615369464507826"
"1991","85+","M","127395","0.390596160209333"
"1991","00-04","V","1695891","5.19964294307914"
"1991","10-14","V","1686997","5.17237372333816"
"1991","15-19","V","1417619","4.34645424105966"
"1991","20-24","V","1213835","3.72164755388906"
"1991","25-29","V","1137361","3.48717641486595"
"1991","30-34","V","1094131","3.35463218623963"
"1991","35-39","V","1043202","3.19848263685935"
"1991","40-44","V","969612","2.97285391179318"
"1991","45-49","V","832386","2.55211566711414"
"1991","05-09","V","1657514","5.08197813017162"
"1991","50-54","V","722631","2.21560417479674"
"1991","55-59","V","652436","2.00038460208279"
"1991","60-64","V","601706","1.84484519152963"
"1991","65-69","V","481562","1.47648077320717"
"1991","70-74","V","324719","0.995596330680282"
"1991","75-79","V","222793","0.683088742270246"
"1991","80-84","V","119063","0.365050046100741"
"1991","85+","V","64522","0.197826017104491"
"2001","00-04","M","1646088","4.53966381256769"
"2001","10-14","M","1688456","4.65650840192796"
"2001","15-19","M","1575274","4.34436942173125"
"2001","20-24","M","1601400","4.41642101117674"
"2001","25-29","M","1365848","3.76680392486182"
"2001","30-34","M","1205205","3.3237746251875"
"2001","35-39","M","1143017","3.15226944856513"
"2001","40-44","M","1093389","3.01540286810886"
"2001","45-49","M","1012776","2.79308430499284"
"2001","05-09","M","1710558","4.71746240292023"
"2001","50-54","M","955354","2.6347230415335"
"2001","55-59","M","785887","2.16735847334248"
"2001","60-64","M","687078","1.89485807138584"
"2001","65-69","M","610244","1.6829614234698"
"2001","70-74","M","574099","1.58327893474182"
"2001","75-79","M","438840","1.21025489980317"
"2001","80-84","M","280653","0.773998879761325"
"2001","85+","M","226892","0.625734105200395"
"2001","00-04","V","1703190","4.6971425640228"
"2001","10-14","V","1738744","4.79519516339296"
"2001","15-19","V","1613030","4.44849480683053"
"2001","20-24","V","1597939","4.40687609228097"
"2001","25-29","V","1329493","3.66654228763107"
"2001","30-34","V","1159698","3.19827314463572"
"2001","35-39","V","1086600","2.99667982436908"
"2001","40-44","V","1043147","2.87684296774446"
"2001","45-49","V","959135","2.6451504724335"
"2001","05-09","V","1760659","4.85563344643276"
"2001","50-54","V","895127","2.46862600878706"
"2001","55-59","V","718159","1.98057480764686"
