"anio","grupo_edad","poblacion"
"2093","menores de 20","6761872"
"2094","65 y más","13715223"
"2094","20 a 64","19810474"
"2094","menores de 20","6687522"
"2095","65 y más","13618365"
"2095","20 a 64","19679829"
"2095","menores de 20","6614473"
"2096","65 y más","13524761"
"2096","20 a 64","19544175"
"2096","menores de 20","6542114"
"2097","65 y más","13434093"
"2097","20 a 64","19403110"
"2097","menores de 20","6471994"
"2098","65 y más","13346761"
"2098","20 a 64","19256770"
"2098","menores de 20","6404071"
"2099","65 y más","13262824"
"2099","20 a 64","19103952"
"2099","menores de 20","6339666"
"2100","65 y más","13182104"
"2100","20 a 64","18945770"
"2100","menores de 20","6277920"
"2101","65 y más","13104186"
"2101","20 a 64","18782812"
"2101","menores de 20","6219187"
