"anio","categoria","poblacion"
"1950","Varones de 65 años","38677"
"1951","Varones de 65 años","40752"
"1952","Varones de 65 años","43062"
"1953","Varones de 65 años","45321"
"1954","Varones de 65 años","47169"
"1955","Varones de 65 años","48661"
"1956","Varones de 65 años","50030"
"1957","Varones de 65 años","51574"
"1958","Varones de 65 años","52961"
"1959","Varones de 65 años","54543"
"1960","Varones de 65 años","56083"
"1961","Varones de 65 años","57749"
"1962","Varones de 65 años","59241"
"1963","Varones de 65 años","60735"
"1964","Varones de 65 años","62580"
"1965","Varones de 65 años","64759"
"1966","Varones de 65 años","66775"
"1967","Varones de 65 años","68957"
"1968","Varones de 65 años","71035"
"1969","Varones de 65 años","72743"
"1970","Varones de 65 años","73988"
"1971","Varones de 65 años","75414"
"1972","Varones de 65 años","76340"
"1973","Varones de 65 años","77210"
"1974","Varones de 65 años","78089"
"1975","Varones de 65 años","78941"
"1976","Varones de 65 años","79968"
"1977","Varones de 65 años","81180"
"1978","Varones de 65 años","82727"
"1979","Varones de 65 años","83967"
"1980","Varones de 65 años","84836"
"1981","Varones de 65 años","85984"
"1982","Varones de 65 años","86519"
"1983","Varones de 65 años","87166"
"1984","Varones de 65 años","88796"
"1985","Varones de 65 años","91015"
"1986","Varones de 65 años","93040"
"1987","Varones de 65 años","95248"
"1988","Varones de 65 años","97623"
"1989","Varones de 65 años","99886"
"1990","Varones de 65 años","101781"
"1991","Varones de 65 años","103502"
"1992","Varones de 65 años","105645"
"1993","Varones de 65 años","107532"
"1994","Varones de 65 años","108652"
"1995","Varones de 65 años","109146"
"1996","Varones de 65 años","109637"
"1997","Varones de 65 años","110275"
"1998","Varones de 65 años","111019"
"1999","Varones de 65 años","111782"
"2000","Varones de 65 años","112665"
"2001","Varones de 65 años","113752"
"2002","Varones de 65 años","114592"
"2003","Varones de 65 años","115560"
"2004","Varones de 65 años","117099"
"2005","Varones de 65 años","119667"
"2006","Varones de 65 años","122540"
"2007","Varones de 65 años","125795"
"2008","Varones de 65 años","129150"
"2009","Varones de 65 años","132898"
"2010","Varones de 65 años","136997"
"2011","Varones de 65 años","141279"
"2012","Varones de 65 años","145768"
"2013","Varones de 65 años","150400"
"2014","Varones de 65 años","153880"
"2015","Varones de 65 años","155607"
"2016","Varones de 65 años","159286"
"2017","Varones de 65 años","162546"
"2018","Varones de 65 años","165767"
"2019","Varones de 65 años","168505"
"2020","Varones de 65 años","170791"
"2021","Varones de 65 años","172680"
"2022","Varones de 65 años","174244"
"2023","Varones de 65 años","175843"
"1950","Mujeres de 60 años","49418"
"1951","Mujeres de 60 años","51041"
"1952","Mujeres de 60 años","52479"
"1953","Mujeres de 60 años","54013"
"1954","Mujeres de 60 años","55983"
"1955","Mujeres de 60 años","58499"
"1956","Mujeres de 60 años","60923"
"1957","Mujeres de 60 años","63401"
"1958","Mujeres de 60 años","65889"
"1959","Mujeres de 60 años","68470"
"1960","Mujeres de 60 años","70997"
"1961","Mujeres de 60 años","73520"
"1962","Mujeres de 60 años","76246"
"1963","Mujeres de 60 años","78938"
"1964","Mujeres de 60 años","81440"
"1965","Mujeres de 60 años","83715"
"1966","Mujeres de 60 años","86178"
"1967","Mujeres de 60 años","88343"
"1968","Mujeres de 60 años","90527"
"1969","Mujeres de 60 años","93498"
"1970","Mujeres de 60 años","96881"
"1971","Mujeres de 60 años","99861"
"1972","Mujeres de 60 años","103192"
"1973","Mujeres de 60 años","106384"
"1974","Mujeres de 60 años","108633"
"1975","Mujeres de 60 años","109719"
"1976","Mujeres de 60 años","111403"
"1977","Mujeres de 60 años","112477"
"1978","Mujeres de 60 años","113704"
"1979","Mujeres de 60 años","115823"
"1980","Mujeres de 60 años","119099"
"1981","Mujeres de 60 años","122100"
"1982","Mujeres de 60 años","124856"
"1983","Mujeres de 60 años","127559"
"1984","Mujeres de 60 años","130289"
"1985","Mujeres de 60 años","132979"
"1986","Mujeres de 60 años","135204"
"1987","Mujeres de 60 años","138384"
"1988","Mujeres de 60 años","140914"
"1989","Mujeres de 60 años","142017"
"1990","Mujeres de 60 años","141214"
"1991","Mujeres de 60 años","140667"
"1992","Mujeres de 60 años","139697"
"1993","Mujeres de 60 años","139173"
"1994","Mujeres de 60 años","139086"
"1995","Mujeres de 60 años","140068"
"1996","Mujeres de 60 años","141249"
"1997","Mujeres de 60 años","142307"
"1998","Mujeres de 60 años","143638"
"1999","Mujeres de 60 años","145445"
"2000","Mujeres de 60 años","148039"
"2001","Mujeres de 60 años","151044"
"2002","Mujeres de 60 años","154386"
"2003","Mujeres de 60 años","158182"
"2004","Mujeres de 60 años","162183"
"2005","Mujeres de 60 años","166452"
"2006","Mujeres de 60 años","170993"
"2007","Mujeres de 60 años","175799"
"2008","Mujeres de 60 años","180822"
"2009","Mujeres de 60 años","184106"
"2010","Mujeres de 60 años","184923"
"2011","Mujeres de 60 años","189574"
"2012","Mujeres de 60 años","192745"
"2013","Mujeres de 60 años","195383"
"2014","Mujeres de 60 años","197799"
"2015","Mujeres de 60 años","199541"
"2016","Mujeres de 60 años","201675"
"2017","Mujeres de 60 años","204038"
"2018","Mujeres de 60 años","205279"
"2019","Mujeres de 60 años","205038"
"2020","Mujeres de 60 años","209491"
"2021","Mujeres de 60 años","210869"
"2022","Mujeres de 60 años","211201"
"2023","Mujeres de 60 años","213789"
