"anio","tamanio_medio_hogares"
"1869","7.15416887357916"
"1895","7.54599708227463"
"1947","4.5577853407135"
"1960","4.27523378490699"
"1970","3.63395231528761"
"1980","3.41008672396207"
"1991","3.24122030093023"
"2001","3.01124254084845"
"2010","2.90448399504059"
"2022","2.56529902751663"
