"geocodigoFundar","anio","geonombreFundar","region","variable","valor"
"UKR","2023","Ucrania","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15885.2255859375"
"UKR","2023","Ucrania","Europa","Gasto público consolidado como porcentaje del PIB","74.415917030699"
"ARE","2023","Emiratos Árabes Unidos","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","68577.5405661277"
"ARE","2023","Emiratos Árabes Unidos","Asia","Gasto público consolidado como porcentaje del PIB","23.272932351063"
"GBR","2023","Reino Unido","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","52582.0612138594"
"GBR","2023","Reino Unido","Europa","Gasto público consolidado como porcentaje del PIB","44.171595229316"
"USA","2023","Estados Unidos","América del Norte","PIB per cápita PPP (en dólares internacionales constantes de 2021)","74577.5065396723"
"USA","2023","Estados Unidos","América del Norte","Gasto público consolidado como porcentaje del PIB","36.278671605606"
"URY","2023","Uruguay","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","31019.3113912098"
"URY","2023","Uruguay","América del Sur","Gasto público consolidado como porcentaje del PIB","30.76206073982"
"UZB","2023","Uzbekistán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","10007.6855026198"
"UZB","2023","Uzbekistán","Asia","Gasto público consolidado como porcentaje del PIB","30.200149058878"
"VUT","2023","Vanuatu","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3118.39603259733"
"VUT","2023","Vanuatu","Oceanía","Gasto público consolidado como porcentaje del PIB","42.898129749058"
"VNM","2023","Vietnam","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","13491.879417397"
"VNM","2023","Vietnam","Asia","Gasto público consolidado como porcentaje del PIB","19.519997766626"
