"geocodigoFundar","anio","geonombreFundar","region","variable","valor"
"COD","2023","Rep. Dem. Congo","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","1455.8356229714"
"COD","2023","Rep. Dem. Congo","África","Gasto público consolidado como porcentaje del PIB","16.535661645818"
"COG","2023","Congo","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6172.28776650683"
"COG","2023","Congo","África","Gasto público consolidado como porcentaje del PIB","20.674984196557"
"CRI","2023","Costa Rica","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","25979.6286150717"
"CRI","2023","Costa Rica","América central","Gasto público consolidado como porcentaje del PIB","18.437258550829"
"CIV","2023","Costa de Marfil","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6485.31584901747"
"CIV","2023","Costa de Marfil","África","Gasto público consolidado como porcentaje del PIB","21.485435496083"
"HRV","2023","Croacia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","41137.5357630247"
"HRV","2023","Croacia","Europa","Gasto público consolidado como porcentaje del PIB","47.395517313526"
"CYP","2023","Chipre","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","52195.34765625"
"CYP","2023","Chipre","Europa","Gasto público consolidado como porcentaje del PIB","40.242961432137"
"CZE","2023","Chequia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","47495.2305648524"
"CZE","2023","Chequia","Europa","Gasto público consolidado como porcentaje del PIB","43.740527241576"
"DNK","2023","Dinamarca","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","71454.5209268281"
"DNK","2023","Dinamarca","Europa","Gasto público consolidado como porcentaje del PIB","46.832419227002"
"DJI","2023","Djibouti","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6400.62016334753"
"DJI","2023","Djibouti","África","Gasto público consolidado como porcentaje del PIB","21.009671580771"
"DMA","2023","Dominica","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","17420.2512475009"
"DMA","2023","Dominica","El Caribe","Gasto público consolidado como porcentaje del PIB","61.660590720229"
"DOM","2023","Rep. Dominicana","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","23087.9343626862"
"DOM","2023","Rep. Dominicana","El Caribe","Gasto público consolidado como porcentaje del PIB","18.970379114312"
"ECU","2023","Ecuador","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","14472.3165053895"
"ECU","2023","Ecuador","América del Sur","Gasto público consolidado como porcentaje del PIB","40.217496687555"
"SLV","2023","El Salvador","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","11404.3342262685"
"SLV","2023","El Salvador","América central","Gasto público consolidado como porcentaje del PIB","30.835595774999"
"GNQ","2023","Guinea Ecuatorial","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15688.2384192658"
"GNQ","2023","Guinea Ecuatorial","África","Gasto público consolidado como porcentaje del PIB","19.827139542398"
"EST","2023","Estonia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","41706.5197431068"
"EST","2023","Estonia","Europa","Gasto público consolidado como porcentaje del PIB","43.101703016454"
"SWZ","2023","Eswatini","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","10132.1872615949"
"SWZ","2023","Eswatini","África","Gasto público consolidado como porcentaje del PIB","30.109354924498"
"ETH","2023","Etiopía","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2755.45709577808"
"ETH","2023","Etiopía","África","Gasto público consolidado como porcentaje del PIB","10.821463946737"
"FJI","2023","Fiji","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","13652.4908672464"
"FJI","2023","Fiji","Oceanía","Gasto público consolidado como porcentaje del PIB","30.338496665604"
"FIN","2023","Finlandia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","56505.8386553095"
"FIN","2023","Finlandia","Europa","Gasto público consolidado como porcentaje del PIB","56.648835484812"
"FRA","2023","Francia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","54017.8741632485"
"FRA","2023","Francia","Europa","Gasto público consolidado como porcentaje del PIB","56.989393985024"
"GAB","2023","Gabón","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","18702.6905177984"
"GAB","2023","Gabón","África","Gasto público consolidado como porcentaje del PIB","22.186600932629"
"GEO","2023","Georgia","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","22590.5293543813"
"GEO","2023","Georgia","Asia","Gasto público consolidado como porcentaje del PIB","29.918560067517"
"DEU","2023","Alemania","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","63154.6748740201"
"DEU","2023","Alemania","Europa","Gasto público consolidado como porcentaje del PIB","48.380021741468"
"GHA","2023","Ghana","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6796.47361923819"
"GHA","2023","Ghana","África","Gasto público consolidado como porcentaje del PIB","19.551473949564"
"GRC","2023","Grecia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","36854.50424993"
"GRC","2023","Grecia","Europa","Gasto público consolidado como porcentaje del PIB","49.858341448324"
"GRD","2023","Granada","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","16946.473156154"
"GRD","2023","Granada","El Caribe","Gasto público consolidado como porcentaje del PIB","28.92467449222"
"GTM","2023","Guatemala","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","12389.385871782"
"GTM","2023","Guatemala","América central","Gasto público consolidado como porcentaje del PIB","13.721151797245"
"GIN","2023","Guinea","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3949.34013510824"
"GIN","2023","Guinea","África","Gasto público consolidado como porcentaje del PIB","15.969951492765"
"GNB","2023","Guinea-Bissau","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2578.80453427114"
"GNB","2023","Guinea-Bissau","África","Gasto público consolidado como porcentaje del PIB","21.891431760559"
"GUY","2023","Guyana","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","49315.1603107751"
"GUY","2023","Guyana","América del Sur","Gasto público consolidado como porcentaje del PIB","23.481378071905"
"HTI","2023","Haití","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2956.46213701659"
"HTI","2023","Haití","El Caribe","Gasto público consolidado como porcentaje del PIB","6.3973035149588"
"HND","2023","Honduras","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6468.30192068321"
"HND","2023","Honduras","América central","Gasto público consolidado como porcentaje del PIB","26.123127970271"
"HKG","2023","Hong Kong","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","64467.5756817829"
"HKG","2023","Hong Kong","Asia","Gasto público consolidado como porcentaje del PIB","23.722393979394"
"HUN","2023","Hungría","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","40204.2912222856"
"HUN","2023","Hungría","Europa","Gasto público consolidado como porcentaje del PIB","49.114585020318"
"ISL","2023","Islandia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","66940.5034884203"
"ISL","2023","Islandia","Europa","Gasto público consolidado como porcentaje del PIB","45.503079207763"
"IND","2023","India","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","9160.06365370888"
"IND","2023","India","Asia","Gasto público consolidado como porcentaje del PIB","29.115080610512"
"IDN","2023","Indonesia","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","13889.8828825663"
"IDN","2023","Indonesia","Asia","Gasto público consolidado como porcentaje del PIB","16.652771357036"
"IRN","2023","Irán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15912.0299184195"
"IRN","2023","Irán","Asia","Gasto público consolidado como porcentaje del PIB","14.367422411137"
"IRL","2023","Irlanda","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","115505.338456686"
"IRL","2023","Irlanda","Europa","Gasto público consolidado como porcentaje del PIB","22.654230202058"
"ISR","2023","Israel","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","48338.215819693"
"ISR","2023","Israel","Asia","Gasto público consolidado como porcentaje del PIB","39.000783305373"
"ITA","2023","Italia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","52636.2871475385"
"ITA","2023","Italia","Europa","Gasto público consolidado como porcentaje del PIB","53.799013157895"
"JAM","2023","Jamaica","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","10291.3126701479"
"JAM","2023","Jamaica","El Caribe","Gasto público consolidado como porcentaje del PIB","30.502933378901"
"JPN","2023","Japón","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","45915.353682577"
"JPN","2023","Japón","Asia","Gasto público consolidado como porcentaje del PIB","41.164957698888"
"JOR","2023","Jordania","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","9362.58776056423"
"JOR","2023","Jordania","Asia","Gasto público consolidado como porcentaje del PIB","32.450086347214"
"KEN","2023","Kenia","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","5682.98916248678"
"KEN","2023","Kenia","África","Gasto público consolidado como porcentaje del PIB","22.68391504285"
"KIR","2023","Kiribati","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3195.87039847415"
"KIR","2023","Kiribati","Oceanía","Gasto público consolidado como porcentaje del PIB","103.20849262431"
"KOR","2023","Corea del Sur","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","50414.2083391764"
"KOR","2023","Corea del Sur","Asia","Gasto público consolidado como porcentaje del PIB","23.155482861952"
"KWT","2023","Kuwait","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","46458.2004898213"
"KWT","2023","Kuwait","Asia","Gasto público consolidado como porcentaje del PIB","48.713005367118"
"KGZ","2023","Kirguistán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6403.14308780476"
"KGZ","2023","Kirguistán","Asia","Gasto público consolidado como porcentaje del PIB","35.637307178038"
"LVA","2023","Letonia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","38367.7785951631"
"LVA","2023","Letonia","Europa","Gasto público consolidado como porcentaje del PIB","42.0458014631"
"LSO","2023","Lesotho","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2595.82952310453"
"LSO","2023","Lesotho","África","Gasto público consolidado como porcentaje del PIB","46.952492879387"
"LUX","2023","Luxemburgo","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","130491.299515711"
"LUX","2023","Luxemburgo","Europa","Gasto público consolidado como porcentaje del PIB","48.096008432764"
"MDG","2023","Madagascar","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","1643.30934795137"
"MDG","2023","Madagascar","África","Gasto público consolidado como porcentaje del PIB","17.902693673325"
"MYS","2023","Malasia","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","32812.2997525336"
"MYS","2023","Malasia","Asia","Gasto público consolidado como porcentaje del PIB","24.173062835583"
"MDV","2023","Maldivas","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","22286.9801703571"
"MDV","2023","Maldivas","Asia","Gasto público consolidado como porcentaje del PIB","46.461495998848"
