"anio","gasto_publico_consolidado_pib_empalme"
"1913","12.2099661928164"
"1914","13.3386185299674"
"1915","12.0047566769707"
"1916","10.055266276437"
"1917","10.3630805502055"
"1918","8.31098539174894"
"1919","8.10577587590329"
"1920","8.72140442344025"
"1921","10.4656853081283"
"1922","10.8761043398196"
"1923","10.5682900660511"
"1924","10.4656853081283"
"1925","11.0813138556653"
"1926","11.9021519190479"
"1927","14.6724803829642"
"1928","12.415175708662"
"1929","13.3386185299674"
"1930","15.4933184463468"
"1931","18.1610421523403"
"1932","19.7001135211827"
"1933","18.8792754578001"
"1934","18.2636469102631"
"1935","18.1610421523403"
"1936","17.6480183627261"
"1937","16.8271802993435"
"1938","18.5714611840316"
"1939","20.0079277949512"
"1940","18.7766706998772"
"1941","17.750623120649"
"1942","20.3157420687196"
"1943","21.6496039217164"
"1944","24.0095133539414"
"1945","23.9069085960186"
"1946","21.2391848900251"
"1947","24.214722869787"
"1948","46.5825600969632"
"1949","35.9116652729893"
"1950","33.1413368090729"
"1951","30.9866368926936"
"1952","28.6267274604686"
"1953","29.4475655238512"
"1954","33.7569653566099"
"1955","31.0892416506164"
"1956","29.2423560080055"
"1957","23.9069085960186"
"1958","31.0892416506164"
"1959","25.1381656910925"
"1960","25.0355609331697"
"1961","26.6772370599349"
"1962","25.7537942386294"
"1963","24.830351417324"
"1964","24.0095133539414"
"1965","22.6756515009446"
"1966","24.9329561752468"
"1967","25.7537942386294"
"1968","25.6511894807066"
"1969","25.1381656910925"
"1970","25.7537942386294"
"1971","25.8563989965523"
"1972","25.1381656910925"
"1973","27.2928656074718"
"1974","30.165798829311"
"1975","29.2423560080055"
"1976","26.9850513337034"
"1977","24.214722869787"
"1978","26.6772370599349"
"1979","26.0616085123979"
"1980","29.0371464921599"
"1981","31.342549678034"
"1982","28.0466713752136"
"1983","25.9203560079244"
"1984","26.5816402009775"
"1985","29.9539427981968"
"1986","32.1536192846632"
"1987","34.6379523962948"
"1988","32.1746660820903"
"1989","31.7132590292967"
"1990","30.3695450329188"
"1991","31.0432369697209"
"1992","31.4928070518152"
"1993","31.7125590778916"
"1994","31.8278741114534"
"1995","32.4444885999448"
"1996","30.5447998307878"
"1997","30.3567455599236"
"1998","30.9599549376472"
"1999","34.2326895648179"
"2000","33.8291236479034"
"2001","35.5976619716601"
"2002","29.1075300062972"
"2003","29.449469668082"
"2004","26.6001728242416"
"2005","29.0570548582002"
"2006","29.6454784126122"
"2007","32.4838211956201"
"2008","34.3122709253903"
"2009","39.8645662605781"
"2010","38.2701152914514"
"2011","40.0066990608702"
"2012","41.2792167761169"
"2013","42.8562285902842"
"2014","44.9934368480997"
"2015","46.2994597171992"
"2016","47.3080114519466"
"2017","46.2478183091998"
"2018","43.5896246770766"
"2019","43.4633946794305"
"2020","47.3533215588776"
"2021","42.808883470104"
"2022","42.2564486897026"
"2023","41.8665404522701"
