"anio","codigo","funciones","gasto_publico_social_consolidado"
"1980","1.2.1","Educación, cultura y ciencia y técnica","2.98779621836773"
"1981","1.2.1","Educación, cultura y ciencia y técnica","2.92156808106337"
"1982","1.2.1","Educación, cultura y ciencia y técnica","2.17515605725079"
"1983","1.2.1","Educación, cultura y ciencia y técnica","2.46847298521514"
"1984","1.2.1","Educación, cultura y ciencia y técnica","3.07661587148705"
"1985","1.2.1","Educación, cultura y ciencia y técnica","3.12668525575033"
"1986","1.2.1","Educación, cultura y ciencia y técnica","3.71943656320155"
"1987","1.2.1","Educación, cultura y ciencia y técnica","4.07045818537703"
"1988","1.2.1","Educación, cultura y ciencia y técnica","3.7565041015294"
"1989","1.2.1","Educación, cultura y ciencia y técnica","3.18676942937757"
"1990","1.2.1","Educación, cultura y ciencia y técnica","3.51560515599011"
"1991","1.2.1","Educación, cultura y ciencia y técnica","3.61284699118526"
"1992","1.2.1","Educación, cultura y ciencia y técnica","3.80751296820886"
"1993","1.2.1","Educación, cultura y ciencia y técnica","4.08764573038786"
"1994","1.2.1","Educación, cultura y ciencia y técnica","4.1563154573591"
"1995","1.2.1","Educación, cultura y ciencia y técnica","4.31377037251477"
"1996","1.2.1","Educación, cultura y ciencia y técnica","4.13659167050198"
"1997","1.2.1","Educación, cultura y ciencia y técnica","4.31456926800434"
"1998","1.2.1","Educación, cultura y ciencia y técnica","4.39843838163999"
"1999","1.2.1","Educación, cultura y ciencia y técnica","4.93756308018456"
"2000","1.2.1","Educación, cultura y ciencia y técnica","5.02137036725878"
"2001","1.2.1","Educación, cultura y ciencia y técnica","5.19770808334276"
"2002","1.2.1","Educación, cultura y ciencia y técnica","4.36328804180789"
"2003","1.2.1","Educación, cultura y ciencia y técnica","4.07068691148648"
"2004","1.2.1","Educación, cultura y ciencia y técnica","3.86277960982613"
"2005","1.2.1","Educación, cultura y ciencia y técnica","4.35228941076921"
"2006","1.2.1","Educación, cultura y ciencia y técnica","4.71829076512743"
"2007","1.2.1","Educación, cultura y ciencia y técnica","4.99793100623883"
"2008","1.2.1","Educación, cultura y ciencia y técnica","5.31458691106619"
"2009","1.2.1","Educación, cultura y ciencia y técnica","6.11828071512545"
"2010","1.2.1","Educación, cultura y ciencia y técnica","5.6136181324589"
"2011","1.2.1","Educación, cultura y ciencia y técnica","5.98249041332109"
"2012","1.2.1","Educación, cultura y ciencia y técnica","6.06806212355692"
