"ppg_label","programa_desc","porcentaje","nuevo_programa_desc"
"No PPG","Administracion de Beneficios Previsionales Prefectura Naval Argentina",0.30109248683196,"otros"
"No PPG","Administracion de Beneficios Previsionales Servicio Penitenciario Federal",0.232357285885729,"otros"
"No PPG","Administracion de Bienes del Estado",0.0107199790708823,"otros"
"No PPG","Administracion de Ingresos Publicos y Politica Tributaria",0.00197512926775819,"otros"
"No PPG","Administracion de los Asuntos Economicos y Financieros  Internacionales",0.000301227506631032,"otros"
"No PPG","Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones",0.00344695235271416,"otros"
"No PPG","Administracion del Edificio del Molino",0.0013217525819568,"otros"
"No PPG","Administracion Financiera",0.013387372634136,"otros"
"No PPG","Administracion General de la Corte Suprema de Justicia de la Nacion",0.0315419123325595,"otros"
"No PPG","Administracion y Control Comercial Agropecuario",0.000163191583477493,"otros"
"No PPG","Administracion y Gestion de Proyecto de Fomento y Desarrollo",0.00205585954148493,"otros"
"No PPG","Afianzamiento de la Justicia",0.0156487105319986,"otros"
"No PPG","Alistamiento Operacional de la Armada",0.370378350894403,"otros"
"No PPG","Alistamiento Operacional de la Fuerza Aerea",0.286662623465586,"otros"
"No PPG","Alistamiento Operacional del Ejercito",0.650201842154735,"Alistamiento Operacional del Ejercito"
"No PPG","Analisis y Formulacion de la Politica de Seguridad Social",0.00179631777693991,"otros"
"No PPG","Analisis y Regulacion de la Competencia Comercial Internacional",0.00105495013194147,"otros"
"No PPG","Aplicaciones de la Tecnologia Nuclear",0.0179725695757183,"otros"
"No PPG","Aportes al Sector Externo",0.175901139958613,"otros"
"No PPG","Apoyo al Congreso Nacional en Materia Fiscal",0.00101166396435768,"otros"
"No PPG","Apoyo al Desarrollo de la Atencion Medica",0.00444933408604943,"otros"
"No PPG","Apoyo al Plan Nacional de Primera Infancia",0.00604878515983534,"otros"
"No PPG","Apoyo para el Desarrollo de Infraestructura Urbana en Municipios",0,"otros"
"No PPG","Apoyo para el Desarrollo de la Infraestructura Hidraulica",0.00100804983721224,"otros"
"No PPG","Apoyo para el Desarrollo de Obra Publica",0.00668171459397508,"otros"
"No PPG","Archivo General",0.00602706498948649,"otros"
"No PPG","Articulacion Federal de la Seguridad",0.0454060942051264,"otros"
"No PPG","Asignaciones Familiares",2.52547715792778,"Asignaciones Familiares"
"No PPG","Asistencia a la Actividad Cooperativa y Mutual",0.0158509727155243,"otros"
"No PPG","Asistencia Bibliografica",0.0452808922863232,"otros"
"No PPG","Asistencia Financiera a Agentes del Seguro de Salud",0.065889575200064,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas",0.574099570247947,"Asistencia Financiera a Empresas Publicas"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de  Turismo, Ambiente y Deportes",0.0178464483617429,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Cultura",0,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Educacion",0.0475575222893015,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Energia",2.1090123739849,"Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Energia"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Obras Publicas",0.280734064999754,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Transporte",1.21327615825833,"Asistencia Financiera a Empresas Publicas y Otros Entes de la Secretaria de Transporte"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes del Ministerio de Defensa",0.0337191720058025,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes del Ministerio de Economia",0.24259159784129,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes del Ministerio de Salud",0.801471726592798,"Asistencia Financiera a Empresas Publicas y Otros Entes del Ministerio de Salud"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes dependientes de la Jefatura de Gabinete de Ministros",0.363783983577149,"otros"
"No PPG","Asistencia Financiera a Empresas Publicas y Otros Entes dependientes de la Secretaria de Comunicacion y Prensa",0.0483031716862035,"otros"
"No PPG","Asistencia Financiera a Provincias y Municipios",0.000740092833884995,"otros"
"No PPG","Asistencia Legal y Tecnica",0.010752573344049,"otros"
"No PPG","Asistencia para la Salud Mental y Consumos Problematicos",0.018691675652379,"otros"
"No PPG","Asistencia Sanitaria",0.116206616919696,"otros"
"No PPG","Asistencia Sanitaria de la Fuerza Aerea",0.0653171144587127,"otros"
"No PPG","Asistencia Sanitaria de la Gendarmeria Nacional",0.0286955330853616,"otros"
"No PPG","Asistencia Sanitaria de la Policia Federal Argentina",0.0506740747479235,"otros"
"No PPG","Asistencia Social",0.0100034522735313,"otros"
"No PPG","Asistencia Social Integral al Personal del Congreso de la Nacion",0.0555337498023985,"otros"
