"geocodigoFundar","geonombreFundar","tipo_pais","correlacion_ciclicidad_fiscal"
"ALB","Albania","Economía en desarrollo","0.439028543352051"
"ARG","Argentina","Economía en desarrollo","0.719692938250011"
"BLR","Belarús","Economía en desarrollo","0.511238310165691"
"BOL","Bolivia","Economía en desarrollo","0.485833562138968"
"BGR","Bulgaria","Economía en desarrollo","0.400995239473511"
"CHL","Chile","Economía en desarrollo","0.0207813841272513"
"CHN","China","Economía en desarrollo","0.272795261250836"
"COL","Colombia","Economía en desarrollo","0.648122796428529"
"CRI","Costa Rica","Economía en desarrollo","-0.261403646350902"
"ECU","Ecuador","Economía en desarrollo","0.654608645680547"
"SLV","El Salvador","Economía en desarrollo","-0.187985664219917"
"FJI","Fiji","Economía en desarrollo","0.615790436832516"
"GTM","Guatemala","Economía en desarrollo","-0.36232238848421"
"HND","Honduras","Economía en desarrollo","0.0731958021516328"
"JAM","Jamaica","Economía en desarrollo","0.399092462681135"
"MEX","México","Economía en desarrollo","0.123462428972613"
"FSM","Micronesia","Economía en desarrollo","0.561480148804112"
"MNG","Mongolia","Economía en desarrollo","-0.13976941196917"
"MNE","Montenegro","Economía en desarrollo","0.452368783613484"
"MMR","Myanmar","Economía en desarrollo","0.394817305704911"
"NIC","Nicaragua","Economía en desarrollo","0.769237517073512"
"PAN","Panamá","Economía en desarrollo","-0.0318290931995827"
"PRY","Paraguay","Economía en desarrollo","-0.21264512988676"
"PER","Perú","Economía en desarrollo","-0.271092451302393"
"SRB","Serbia","Economía en desarrollo","0.651628237588728"
"SYC","Seychelles","Economía en desarrollo","0.0967995781791084"
"TON","Tonga","Economía en desarrollo","0.000154945826933129"
"URY","Uruguay","Economía en desarrollo","0.720054369137888"
"VNM","Vietnam","Economía en desarrollo","0.126416736699069"
"AUS","Australia","Economía avanzada","-0.691846666028955"
"AUT","Austria","Economía avanzada","-0.580211968094256"
"CAN","Canadá","Economía avanzada","-0.801793300660302"
"EST","Estonia","Economía avanzada","0.479049264692975"
"ISR","Israel","Economía avanzada","-0.523972863318292"
"PRT","Portugal","Economía avanzada","0.072483315914565"
"BRA","Brasil","Economía en desarrollo","0.324806911086517"
"HUN","Hungría","Economía en desarrollo","0.68744936929546"
"POL","Polonia","Economía en desarrollo","0.158192903821702"
"RUS","Rusia","Economía en desarrollo","0.45939081210527"
"UKR","Ucrania","Economía en desarrollo","0.232872613033603"
"BEL","Bélgica","Economía avanzada","-0.697768403738872"
"CZE","Chequia","Economía avanzada","0.0801303656803323"
"FIN","Finlandia","Economía avanzada","-0.24662262209034"
"FRA","Francia","Economía avanzada","-0.619330156566521"
"ITA","Italia","Economía avanzada","-0.0661224669325909"
"KOR","Corea del Sur","Economía avanzada","-0.367884408953424"
"LUX","Luxemburgo","Economía avanzada","-0.522893776898604"
"NOR","Noruega","Economía avanzada","-0.421922957464994"
"SWE","Suecia","Economía avanzada","0.0405541492052226"
"BIH","Bosnia y Herzegovina","Economía en desarrollo","0.472979581258679"
"MYS","Malasia","Economía en desarrollo","-0.130497167478126"
"MDA","Moldavia","Economía en desarrollo","0.37919655546778"
"MKD","Macedonia del Norte","Economía en desarrollo","-0.00689582323152011"
"PHL","Filipinas","Economía en desarrollo","0.0149513524988634"
"ROU","Rumania","Economía en desarrollo","0.64550232803497"
"TUR","Turquía","Economía en desarrollo","0.26189076073909"
"HRV","Croacia","Economía avanzada","0.266763888099176"
"DNK","Dinamarca","Economía avanzada","-0.646364326550108"
"DEU","Alemania","Economía avanzada","-0.551219245484141"
"GRC","Grecia","Economía avanzada","0.691305792709017"
"ISL","Islandia","Economía avanzada","0.495317208466013"
"IRL","Irlanda","Economía avanzada","0.0794822964764037"
"JPN","Japón","Economía avanzada","-0.809122037672941"
"LVA","Letonia","Economía avanzada","0.766113457320363"
"LTU","Lituania","Economía avanzada","0.432060338643371"
"NLD","Países Bajos","Economía avanzada","-0.0775238300457519"
"NZL","Nueva Zelanda","Economía avanzada","-0.137553336668098"
"SGP","Singapur","Economía avanzada","-0.818280563911053"
"SVK","Eslovaquia","Economía avanzada","0.0574423759287127"
"SVN","Eslovenia","Economía avanzada","-0.0606067112570479"
"ESP","España","Economía avanzada","-0.0556153216334859"
"CHE","Suiza","Economía avanzada","-0.65592804575203"
"TWN","Taiwán","Economía avanzada","0.230957007781033"
"GBR","Reino Unido","Economía avanzada","-0.695133139691274"
"USA","Estados Unidos","Economía avanzada","-0.478866888473218"
