"","iso3","pais_nombre","anio","valor"
"1","ARG","Argentina",2010,18.39075
"2","ARG","Argentina",2011,18.950751
"3","ARG","Argentina",2012,20.310622
"4","ARG","Argentina",2013,21.238413
"5","ARG","Argentina",2014,21.067025
"6","ARG","Argentina",2015,22.797141
"7","ARG","Argentina",2016,22.717452
"8","ARG","Argentina",2017,23.614015
"9","ARG","Argentina",2018,22.341513
"10","BRA","Brasil",2010,18.145887
"11","BRA","Brasil",2011,18.008617
"12","BRA","Brasil",2012,18.253629
"13","BRA","Brasil",2013,18.619445
"14","BRA","Brasil",2014,19.312251
"15","BRA","Brasil",2015,20.254875
"16","BRA","Brasil",2016,21.392805
"17","BRA","Brasil",2017,22.35383
"18","BRA","Brasil",2018,21.371711
"19","COL","Colombia",2010,12.992165
"20","COL","Colombia",2011,12.676735
"21","COL","Colombia",2012,12.620337
"22","COL","Colombia",2013,13.607735
"23","COL","Colombia",2014,13.903186
"24","COL","Colombia",2015,14.163523
"25","COL","Colombia",2016,13.576149
"26","COL","Colombia",2017,13.314528
"27","COL","Colombia",2018,13.051648
"28","CRI","Costa Rica",2011,11.983572
"29","CRI","Costa Rica",2012,11.672883
"30","CRI","Costa Rica",2013,12.075434
"31","CRI","Costa Rica",2014,11.869302
"32","CRI","Costa Rica",2015,12.161832
"33","CRI","Costa Rica",2016,11.863261
"34","CRI","Costa Rica",2017,11.538167
"35","CRI","Costa Rica",2018,11.87973
"36","SLV","El Salvador",2010,9.642862
"37","SLV","El Salvador",2011,9.777744
"38","SLV","El Salvador",2012,9.538272
"39","SLV","El Salvador",2013,10.191413
"40","SLV","El Salvador",2014,9.849372
"41","SLV","El Salvador",2015,9.588725
"42","SLV","El Salvador",2016,9.479505
"43","SLV","El Salvador",2017,8.89573
"44","SLV","El Salvador",2018,8.321098
"45","GTM","Guatemala",2010,4.985656
"46","GTM","Guatemala",2011,4.673461
"47","GTM","Guatemala",2012,4.637921
"48","GTM","Guatemala",2013,4.822173
"49","GTM","Guatemala",2014,5.022361
"50","GTM","Guatemala",2015,4.675971
"51","GTM","Guatemala",2016,4.681706
"52","GTM","Guatemala",2017,4.685093
"53","GTM","Guatemala",2018,4.747716
"54","PER","Perú",2012,6.789969
"55","PER","Perú",2013,7.299195
"56","PER","Perú",2014,7.888843
"57","PER","Perú",2015,7.882709
"58","PER","Perú",2016,7.473935
"59","PER","Perú",2017,8.180834
"60","PER","Perú",2018,7.714344
"61","DOM","Rep. Dominicana",2010,4.251741
"62","DOM","Rep. Dominicana",2011,4.32629
"63","DOM","Rep. Dominicana",2012,4.634852
"64","DOM","Rep. Dominicana",2013,4.601637
"65","DOM","Rep. Dominicana",2014,4.535727
"66","DOM","Rep. Dominicana",2015,4.485877
"67","DOM","Rep. Dominicana",2016,4.43905
"68","DOM","Rep. Dominicana",2017,4.548609
"69","DOM","Rep. Dominicana",2018,4.365954
"70","TTO","Trinidad y Tobago",2010,8.3615
"71","TTO","Trinidad y Tobago",2011,8.3154
"72","TTO","Trinidad y Tobago",2012,8.4494
"73","TTO","Trinidad y Tobago",2013,9.1039
"74","TTO","Trinidad y Tobago",2014,9.2835
"75","TTO","Trinidad y Tobago",2015,11.4256
"76","TTO","Trinidad y Tobago",2016,12.9389
"77","TTO","Trinidad y Tobago",2017,12.7406
"78","TTO","Trinidad y Tobago",2018,12.1501
"79","URY","Uruguay",2011,16.363243
"80","URY","Uruguay",2012,17.170903
"81","URY","Uruguay",2013,17.517083
"82","URY","Uruguay",2014,17.782361
"83","URY","Uruguay",2015,18.464548
"84","URY","Uruguay",2016,18.974397
"85","URY","Uruguay",2017,19.92148
"86","URY","Uruguay",2018,20.335065
"87","SWE","Sweden",2010,26.81
"88","SWE","Sweden",2011,26.38
"89","SWE","Sweden",2012,27.438
"90","SWE","Sweden",2013,28.142
"91","SWE","Sweden",2014,27.857
"92","SWE","Sweden",2015,27.417
"93","SWE","Sweden",2016,27.669
"94","SWE","Sweden",2017,27.234
"95","SWE","Sweden",2018,26.997
"96","LTU","Lithuania",2010,19.488
"97","LTU","Lithuania",2011,17.335
"98","LTU","Lithuania",2012,16.393
"99","LTU","Lithuania",2013,15.406
"100","LTU","Lithuania",2014,15.581
"101","LTU","Lithuania",2015,15.766
"102","LTU","Lithuania",2016,15.602
"103","LTU","Lithuania",2017,15.334
"104","LTU","Lithuania",2018,16.244
"105","ISL","Iceland",2010,17.732
"106","ISL","Iceland",2011,18.198
"107","ISL","Iceland",2012,17.844
"108","ISL","Iceland",2013,17.376
"109","ISL","Iceland",2014,17.573
"110","ISL","Iceland",2015,16.71
"111","ISL","Iceland",2016,16.55
"112","ISL","Iceland",2017,17.559
"113","ISL","Iceland",2018,17.819
"114","LUX","Luxembourg",2010,21.533
"115","LUX","Luxembourg",2011,20.871
"116","LUX","Luxembourg",2012,20.579
"117","LUX","Luxembourg",2013,20.537
"118","LUX","Luxembourg",2014,20.462
"119","LUX","Luxembourg",2015,20.151
"120","LUX","Luxembourg",2016,20.034
"121","LUX","Luxembourg",2017,20.543
"122","LUX","Luxembourg",2018,20.836
"123","NZL","New Zealand",2010,22
"124","NZL","New Zealand",2011,21.238
"125","NZL","New Zealand",2012,21.36
"126","NZL","New Zealand",2013,20.641
"127","NZL","New Zealand",2014,20.68
"128","NZL","New Zealand",2015,20.27
"129","NZL","New Zealand",2016,20.032
"130","NZL","New Zealand",2017,19.859
"131","NZL","New Zealand",2018,19.834
"132","CRI","Costa Rica",2010,NA
"133","CRI","Costa Rica",2011,11.945
"134","CRI","Costa Rica",2012,11.703
"135","CRI","Costa Rica",2013,12.086
"136","CRI","Costa Rica",2014,11.913
"137","CRI","Costa Rica",2015,12.076
"138","CRI","Costa Rica",2016,11.921
"139","CRI","Costa Rica",2017,11.893
"140","CRI","Costa Rica",2018,12.434
"141","JPN","Japan",2010,20.981
"142","JPN","Japan",2011,21.826
"143","JPN","Japan",2012,21.773
"144","JPN","Japan",2013,21.769
"145","JPN","Japan",2014,21.539
"146","JPN","Japan",2015,21.914
"147","JPN","Japan",2016,21.965
"148","JPN","Japan",2017,22.071
"149","JPN","Japan",2018,22.191
"150","SVK","Slovak Republic",2010,17.313
"151","SVK","Slovak Republic",2011,17.089
"152","SVK","Slovak Republic",2012,17.238
"153","SVK","Slovak Republic",2013,17.559
"154","SVK","Slovak Republic",2014,17.637
"155","SVK","Slovak Republic",2015,17.145
"156","SVK","Slovak Republic",2016,17.494
"157","SVK","Slovak Republic",2017,17.411
"158","SVK","Slovak Republic",2018,17.016
"159","DNK","Denmark",2010,29.876
"160","DNK","Denmark",2011,29.994
"161","DNK","Denmark",2012,30.237
"162","DNK","Denmark",2013,29.956
"163","DNK","Denmark",2014,30.033
"164","DNK","Denmark",2015,30.066
"165","DNK","Denmark",2016,29.517
"166","DNK","Denmark",2017,29.024
"167","DNK","Denmark",2018,28.762
"168","AUT","Austria",2010,28.226
"169","AUT","Austria",2011,27.403
"170","AUT","Austria",2012,27.791
"171","AUT","Austria",2013,28.267
"172","AUT","Austria",2014,28.514
"173","AUT","Austria",2015,28.441
"174","AUT","Austria",2016,28.351
"175","AUT","Austria",2017,27.981
"176","AUT","Austria",2018,27.72
"177","FIN","Finland",2010,27.519
